,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Cash & Equivalents,1339,642.95,709.75,554.79,897.8,621.37,799.45,970.03,647.49,847.81,Upgrade
1,Short-Term Investments,0.53,151.5,0.49,0.51,0.47,0.5,0.49,0.5,0.48,0.47,Upgrade
2,Cash & Short-Term Investments,1340,794.45,710.25,555.29,898.27,621.86,799.94,970.52,647.98,848.28,Upgrade
3,Cash Growth,88.63%,43.07%,-20.93%,-10.71%,12.29%,-35.92%,23.45%,14.41%,-23.71%,-15.60%,Upgrade
4,Accounts Receivable,858.93,715.3,888.36,788.96,976.14,804.5,856.85,819.99,1024,707.69,Upgrade
5,Other Receivables,160.56,176.15,229.6,212.42,287.67,356.42,406.23,453.72,361.87,367.18,Upgrade
6,Receivables,1019,891.45,1118,1001,1264,1161,1263,1274,1386,1075,Upgrade
7,Inventory,489.84,554.55,526.07,639.62,552.33,773.38,618.05,725.53,558.08,593.56,Upgrade
8,Other Current Assets,6.82,6.62,-,-,-,-,-,-,1.31,0.5,Upgrade
9,Total Current Assets,2856,2247,2354,2196,2714,2556,2681,2970,2594,2517,Upgrade
10,"Property, Plant & Equipment",2963,3100,3093,3389,3472,3965,4020,4139,4031,3709,Upgrade
11,Long-Term Investments,-,-,-,-,-,-,-,-,57.84,62.03,Upgrade
12,Goodwill,-,-,-,-,-,-,6.45,18.35,17.94,17.25,Upgrade
13,Other Intangible Assets,0.04,0.12,0.26,0.42,0.55,0.77,3.34,3.7,3.93,3.81,Upgrade
14,Long-Term Deferred Tax Assets,244.19,269.56,282.57,260.69,228.99,281.71,170.14,139.49,155.41,97.65,Upgrade
15,Other Long-Term Assets,20.99,19.53,3.92,3.12,4.45,3.51,4.64,5.78,5.81,4.05,Upgrade
16,Total Assets,6084,5637,5734,5850,6420,6807,6885,7276,6866,6410,Upgrade
17,Accounts Payable,895.1,881.7,953.02,885.59,1023,995.04,904.8,976.97,741.2,555,Upgrade
18,Accrued Expenses,1023,895.11,1072,1014,1191,1297,1554,1628,1562,1299,Upgrade
19,Current Portion of Long-Term Debt,311.94,255.99,201.37,409.63,377.83,489.83,286.49,130.31,36.91,241.42,Upgrade
20,Current Portion of Leases,99.34,104.87,88.2,84.67,91.6,96.9,95.78,93.58,100.25,89.96,Upgrade
21,Current Income Taxes Payable,60.28,39.8,21.02,14.23,14.43,12.33,68.99,40.75,143.76,13.78,Upgrade
22,Current Unearned Revenue,40.2,47.92,38.3,63.83,61.49,140.51,73,214.62,43.33,503.34,Upgrade
23,Total Current Liabilities,2430,2225,2373,2472,2759,3032,2983,3084,2627,2703,Upgrade
24,Long-Term Debt,93.27,-,36.08,115.05,60,-,-,-,-,-,Upgrade
25,Long-Term Leases,181.04,198,75.76,51.52,66.77,90.86,94.2,111.85,145.45,153.62,Upgrade
26,Long-Term Deferred Tax Liabilities,73.61,72.56,69.61,76.12,86.68,99.12,105.57,116.25,104.92,101.47,Upgrade
27,Other Long-Term Liabilities,9.22,8.96,8.92,9.48,9.18,10.24,-,-,-,-,Upgrade
28,Total Liabilities,2807,2524,2586,2749,2987,3238,3189,3320,2911,2992,Upgrade
29,Common Stock,1048,1044,1044,1021,1020,1013,1013,984.03,960.56,939.33,Upgrade
30,Retained Earnings,2385,2270,2325,2175,2288,2145,2334,2610,2751,2381,Upgrade
31,Treasury Stock,-,-,-,-,-,-,-10,-,-,-,Upgrade
32,Comprehensive Income & Other,-270.33,-309.47,-330.99,-212.15,-122.39,99.54,47.25,22.07,-66.74,-191.51,Upgrade
33,Total Common Equity,3163,3005,3039,2985,3186,3258,3384,3616,3645,3128,Upgrade
34,Minority Interest,114.74,108.08,109.89,115.88,248.19,311.19,313.04,340.82,310.65,289.71,Upgrade
