,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,736,678,811,697,778,827,1297,772,860,718,1120,Upgrade
1,Market Cap Growth,-2.79%,-2.79%,4.17%,-15.69%,-40.00%,7.14%,50.94%,7.49%,-23.27%,-27.24%,58.42%,Upgrade
2,Enterprise Value,605,516,612,628,702,726,1296,786,844,543,884,Upgrade
3,Last Close Price,0.23,0.21,0.25,0.21,0.23,0.24,0.38,0.23,0.25,0.22,0.35,Upgrade
4,PE Ratio,9.71,9.14,10.92,3.07,3.86,22.75,18.05,6.95,10.16,18.44,14.82,Upgrade
5,Forward PE,-,34.93,34.93,34.93,34.93,34.93,34.93,34.93,34.93,34.93,34.93,Upgrade
6,PS Ratio,0.56,0.52,0.57,0.57,0.88,1.23,2.92,1.73,1.68,1.34,2.05,Upgrade
7,PB Ratio,0.53,0.49,0.59,0.54,0.59,0.72,1.12,0.70,0.82,0.78,1.19,Upgrade
8,P/TBV Ratio,0.50,0.50,0.60,0.54,0.59,0.72,1.12,0.70,0.82,0.78,1.19,Upgrade
9,P/FCF Ratio,4.54,4.18,1.91,1.80,6.83,14.15,22.66,14.09,40.94,-,-10.50,Upgrade
10,P/OCF Ratio,3.92,3.92,1.87,1.77,6.29,7.33,11.84,11.85,28.56,-,-11.62,Upgrade
11,EV/Sales Ratio,0.47,0.40,0.43,0.52,0.80,1.08,2.91,1.77,1.65,1.01,1.62,Upgrade
12,EV/EBITDA Ratio,3.00,2.70,2.89,5.67,12.79,11.12,41.66,-,-,7.36,15.35,Upgrade
13,EV/EBIT Ratio,5.74,5.17,6.83,8.60,16.44,15.99,80.85,-,-,10.72,24.51,Upgrade
14,EV/FCF Ratio,3.73,3.18,1.44,1.62,6.16,12.43,22.64,14.36,40.18,-,-8.28,Upgrade
15,Debt / Equity Ratio,0.30,0.30,0.29,0.33,0.10,0.06,0.14,0.30,0.18,0.24,0.11,Upgrade
16,Debt / FCF Ratio,2.56,2.56,0.95,1.10,1.11,1.15,2.82,6.11,9.09,-,-0.96,Upgrade
17,Return on Capital Employed (ROCE),6.57%,6.57%,5.80%,4.74%,3.21%,3.89%,1.36%,-,-,5.23%,3.64%,Upgrade
18,Earnings Yield,10.07%,10.94%,9.15%,32.60%,25.92%,4.39%,5.54%,14.38%,9.85%,5.42%,6.75%,Upgrade
19,FCF Yield,22.02%,23.91%,52.45%,55.52%,14.64%,7.06%,4.41%,7.10%,2.44%,-3.21%,-9.53%,Upgrade
20,Buyback Yield / Dilution,-,-,-,0.09%,-0.18%,-2.76%,-4.77%,-5.09%,-13.46%,-100.13%,Upgrade,
21,Total Shareholder Return,-,-,-,0.09%,-0.18%,-2.76%,-4.77%,-5.09%,-13.46%,-100.13%,Upgrade,
