,Fiscal Quarter,Q3 2015,Q2 2015,Q1 2015,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,+14 Quarters
,Period Ending,"Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Dec '13 Dec 31, 2013","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Dec '12 Dec 31, 2012","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012","Jan '12 Jan 1, 2012","Sep '11 Sep 30, 2011","Jun '11 Jun 30, 2011","Mar '11 Mar 31, 2011","Jan '11 Jan 1, 2011","Sep '10 Sep 30, 2010",+14 Quarters
0,Cash & Equivalents,12408,9716,22688,-,-,-,13612,5377,21705,21705,12574,9576,12472,44579,54437,4190,9086,3472,6436,-,Upgrade
1,Short-Term Investments,-,-,635691,-,-,-,1005,1025,500,500,-,121.19,121.19,5539,9039,10218,12918,35592,189592,-,Upgrade
2,Cash & Short-Term Investments,12408,9716,658379,-,-,14616,14616,6402,22205,22205,12574,9697,12593,50118,63477,14408,22004,39064,196028,-,Upgrade
3,Cash Growth,-,-33.53%,4404.36%,-,-,-34.18%,16.24%,-33.97%,76.33%,-55.69%,-80.19%,-32.70%,-42.77%,28.30%,-67.62%,-,-87.09%,-86.35%,-56.38%,-,Upgrade
4,Accounts Receivable,250765,240330,328244,-,-,-,115314,108534,217716,217716,107035,22815,22992,20848,14046,16443,16327,16339,25133,-,Upgrade
5,Other Receivables,765108,682766,1114,-,-,-,317832,161993,240522,240522,317921,361691,464695,423642,220145,337530,363833,193479,406023,-,Upgrade
6,Receivables,1015873,923096,329358,-,-,-,433146,329792,458238,458238,431118,384506,487687,444490,338490,353973,380159,314117,431157,-,Upgrade
7,Inventory,247951,193407,80807,-,-,-,8275,8487,10390,10390,696.83,696.83,696.83,836.73,1977,14646,12624,20230,20230,-,Upgrade
8,Prepaid Expenses,616.9,814.01,572.11,-,-,-,45.5,-,-,-,-,10.88,380.69,440.08,-,24.42,311.31,7842,5758,-,Upgrade
9,Other Current Assets,57909,59449,38753,-,-,-,70792,43542,33710,33710,40938,44119,42452,53626,63481,76353,67677,169092,97222,-,Upgrade
10,Total Current Assets,1334757,1186482,1107869,-,-,-,526875,388224,524543,524543,485326,439030,543810,549511,467425,459404,482775,550345,750395,-,Upgrade
11,"Property, Plant & Equipment",65779,66123,33242,-,-,-,341153,323877,309876,309876,376867,421663,417802,402494,388412,868059,832565,782318,717994,-,Upgrade
12,Long-Term Investments,522520,586252,608596,-,-,-,953424,1053306,1053343,1053343,1148623,1236210,1562554,1570933,1575358,1224416,1197916,1077486,787862,-,Upgrade
13,Goodwill,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53481,53481,53481,53481,-,Upgrade
14,Other Intangible Assets,66.71,-,118747,-,-,-,44.38,48.54,52.7,52.7,61.02,65.18,69.34,73.64,77.66,-,-,0.98,2.44,-,Upgrade
15,Long-Term Accounts Receivable,-,489.82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
