,Fiscal Quarter,Q3 2015,Q2 2015,Q1 2015,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,+14 Quarters
,Period Ending,"Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Dec '13 Dec 31, 2013","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Dec '12 Dec 31, 2012","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012","Jan '12 Jan 1, 2012","Sep '11 Sep 30, 2011","Jun '11 Jun 30, 2011","Mar '11 Mar 31, 2011","Jan '11 Jan 1, 2011","Sep '10 Sep 30, 2010",+14 Quarters
0,Revenue,66595,57656,77410,17575,65619,39740,72302,8129,89883,89883,63013,11362,111838,21575,3814,9048,13560,29202,33139,37068,Upgrade
1,Revenue Growth (YoY),1.49%,45.08%,7.06%,116.19%,-26.99%,-55.79%,14.74%,-28.45%,-19.63%,316.61%,1552.30%,25.57%,724.74%,-26.12%,-88.49%,-75.59%,25.46%,-91.01%,-79.44%,-65.43%,Upgrade
2,Cost of Revenue,44930,46029,72890,10239,84778,16822,66587,6990,63087,63087,67429,13495,-1064,12045,10754,9519,13624,14788,22728,19733,Upgrade
3,Gross Profit,21665,11627,4520,7336,-19159,22918,5715,1140,26795,26795,-4417,-2133,112903,9529,-6941,-471.2,-63.8,14414,10411,17335,Upgrade
4,"Selling, General & Admin",10073,9351,8178,5260,5535,2810,5749,3216,4425,4425,25170,5206,5146,5727,18281,2863,3871,2560,3363,2180,Upgrade
5,Operating Expenses,10073,9351,8178,5260,5535,2810,5749,3216,4425,4425,25170,5206,5146,5727,18281,2863,3871,2560,3363,2180,Upgrade
6,Operating Income,11592,2276,-3658,2076,-24693,20108,-34.79,-2076,22370,22370,-29586,-7339,107757,3802,-25222,-3334,-3935,11854,7048,15155,Upgrade
7,Interest Expense,-,-,-,-,-,-,-30454,-,-27109,-27109,-213507,-33295,-46071,-44828,-37293,-33226,-32918,-21029,-45920,-14193,Upgrade
8,Interest & Investment Income,-,-,-,-,-,-,44.81,116.16,114.57,114.57,-,226.71,1366,693.86,1.87,10599,675.68,2004,-,5921,Upgrade
9,Earnings From Equity Investments,-,-,-,-,-,-,7351,-36.63,-862.77,-862.77,30851,-24245,-8378,-4425,-18.61,-,-,-,-,-,Upgrade
10,Currency Exchange Gain (Loss),-,-,-,-,-,-,119.8,-,165.05,165.05,-685,-,-380.58,-2.67,427.72,318.81,-129.22,-,324.23,-56.65,Upgrade
11,Other Non Operating Income (Expenses),-5191,3211,13516,11316,33975,-11211,-107.63,2504,66,66,303139,-113998,-12855,6.8,-1734,-,-,0.12,540.69,-,Upgrade
12,EBT Excluding Unusual Items,6401,5487,9858,13392,9281,8897,-23081,507.13,-5256,-5256,90212,-178649,41438,-44753,-63838,-25642,-36307,-7171,-38007,6827,Upgrade
13,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,26467,-,11373,11373,-136438,-,-,-,-,-,-,-,40000,-,Upgrade
14,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-,1.73,-,-,-,8876,18.79,-,-,53.29,-,Upgrade
15,Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-1694,-,190.88,-190.88,-342.93,-,-,-,-,-,Upgrade
16,Pretax Income,6401,5487,9858,13392,9281,8897,3386,507.13,6117,6117,-47918,-178649,41629,-44943,-55305,-25623,-36307,-7171,2046,6827,Upgrade
17,Income Tax Expense,157.18,1329,295.65,129.74,-3862,3861,1403,-,5447,5447,-10664,-,23453,1772,-161.06,-92.7,-222.43,3138,-3402,1822,Upgrade
18,Earnings From Continuing Operations,6244,4157,9562,13262,13143,5036,1983,507.13,670.48,670.48,-37254,-178649,18176,-46715,-55144,-25531,-36084,-10309,5448,5006,Upgrade
19,Minority Interest in Earnings,-,-204.48,204.48,-,-,-,350.14,206.93,176.53,176.53,9694,2403,-23191,177.06,9876,805.73,2594,-,-35.48,-,Upgrade
20,Net Income,6244,3953,9767,13262,13143,5036,2333,714.06,847.02,847.02,-27560,-176246,-5015,-46538,-45268,-24725,-33491,-10309,5413,5006,Upgrade
21,Net Income to Common,6244,3953,9767,13262,13143,5036,2333,714.06,847.02,847.02,-27560,-176246,-5015,-46538,-45268,-24725,-33491,-10309,5413,5006,Upgrade
22,Net Income Growth,-52.50%,-21.51%,318.56%,1757.33%,1451.73%,494.56%,-,-,-,-,-,-,-,-,-,-,-,-,-82.58%,-82.77%,Upgrade
23,Shares Outstanding (Basic),74,75,-,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,-,Upgrade
24,Shares Outstanding (Diluted),74,75,-,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,-,Upgrade
25,Shares Change (YoY),0.66%,0.84%,-,0.12%,-0.22%,-0.06%,-,-,-,-,-,-,-,-,-,-,-0.00%,-0.00%,-0.00%,-,Upgrade
26,EPS (Basic),84.00,53.00,-,179.00,178.00,68.09,31.53,9.65,11.45,11.45,-372.43,-2381.65,-67.77,-628.88,-611.71,-334.12,-452.57,-139.30,73.14,-,Upgrade
27,EPS (Diluted),84.00,53.00,-,179.00,178.00,68.09,31.53,9.65,11.45,11.45,-372.43,-2381.65,-67.77,-628.88,-611.71,-334.12,-452.57,-139.30,73.14,-,Upgrade
28,EPS Growth,-52.81%,-22.16%,-,1755.07%,1455.14%,494.89%,-,-,-,-,-,-,-,-,-,-,-,-,-82.58%,-,Upgrade
29,Free Cash Flow,-15442,52752,-95538,-76385,-108846,15330,22566,-6705,-51815,-51815,88550,-85016,-13876,-1409,1483,35477,43191,152436,-644085,-17612,Upgrade
30,Free Cash Flow Per Share,-207.76,707.30,-,-1030.95,-1474.10,207.28,304.94,-90.61,-700.18,-700.18,1196.59,-1148.85,-187.51,-19.04,20.04,479.41,583.64,2059.91,-8703.66,-,Upgrade
31,Gross Margin,32.53%,20.17%,5.84%,41.74%,-29.20%,57.67%,7.90%,14.02%,29.81%,29.81%,-7.01%,-18.77%,100.95%,44.17%,-181.99%,-5.21%,-0.47%,49.36%,31.42%,46.77%,Upgrade
32,Operating Margin,17.41%,3.95%,-4.73%,11.81%,-37.63%,50.60%,-0.05%,-25.54%,24.89%,24.89%,-46.95%,-64.59%,96.35%,17.62%,-661.35%,-36.85%,-29.02%,40.59%,21.27%,40.89%,Upgrade
33,Profit Margin,9.38%,6.86%,12.62%,75.46%,20.03%,12.67%,3.23%,8.78%,0.94%,0.94%,-43.74%,-1551.24%,-4.48%,-215.71%,-1186.99%,-273.27%,-246.97%,-35.30%,16.33%,13.50%,Upgrade
34,Free Cash Flow Margin,-23.19%,91.49%,-123.42%,-434.62%,-165.88%,38.58%,31.21%,-82.48%,-57.65%,-57.65%,140.53%,-748.28%,-12.41%,-6.53%,38.88%,392.10%,318.50%,522.00%,-1943.61%,-47.51%,Upgrade
35,EBITDA,15949,5783,-780.06,3107,-23665,20940,2246,220.89,24788,24788,-26337,-5462,109560,5051,-24022,-2040,-2634,13154,8181,16079,Upgrade
36,EBITDA Margin,23.95%,10.03%,-1.01%,17.68%,-36.06%,52.69%,3.11%,2.72%,27.58%,27.58%,-41.80%,-48.08%,97.96%,23.41%,-,-22.55%,-19.43%,45.04%,24.69%,43.38%,Upgrade
37,D&A For EBITDA,4357,3508,2878,1031,1028,831.35,2281,2297,2418,2418,3249,1876,1803,1249,1199,1294,1301,1300,1133,923.63,Upgrade
38,EBIT,11592,2276,-3658,2076,-24693,20108,-34.79,-2076,22370,22370,-29586,-7339,107757,3802,-25222,-3334,-3935,11854,7048,15155,Upgrade
39,EBIT Margin,17.41%,3.95%,-4.73%,11.81%,-37.63%,50.60%,-0.05%,-25.54%,24.89%,24.89%,-46.95%,-64.59%,96.35%,17.62%,-,-36.85%,-29.02%,40.59%,21.27%,40.89%,Upgrade
40,Effective Tax Rate,2.46%,24.23%,3.00%,0.97%,-,43.40%,41.43%,-,89.04%,89.04%,-,-,56.34%,-,-,-,-,-,-,26.68%,Upgrade
41,Revenue as Reported,-,57656,77410,-,65619,39740,72302,8129,89883,89883,63013,11362,111838,21575,3814,9048,13560,29202,33139,37068,Upgrade
