,Fiscal Quarter,Current,Q3 2015,Q2 2015,Q1 2015,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,+14 Quarters
,Period Ending,"Mar '25 Mar 11, 2025","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Dec '13 Dec 31, 2013","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Dec '12 Dec 31, 2012","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012","Jan '12 Jan 1, 2012","Sep '11 Sep 30, 2011","Jun '11 Jun 30, 2011","Mar '11 Mar 31, 2011","Jan '11 Jan 1, 2011","Sep '10 Sep 30, 2010",+14 Quarters
0,Market Capitalization,2834267,251605,347808,370008,340407,303407,303407,325607,162804,140603,177604,333007,333007,451410,355208,569812,629014,658614,599413,902820,1176626,Upgrade
1,Market Cap Growth,70.83%,-17.07%,14.63%,13.64%,109.09%,115.79%,70.83%,-2.22%,-51.11%,-68.85%,-50.00%,-41.56%,-47.06%,-31.46%,-40.74%,-36.89%,-46.54%,-63.67%,-66.12%,-48.19%,-37.54%,Upgrade
2,Enterprise Value,1042537,985828,1086938,1109138,1079538,1042537,1042537,1087360,1058982,1101650,1138651,1306820,1565696,1650896,1592964,1941596,1912230,1873470,910203,1213609,1487415,Upgrade
3,Last Close Price,19150.00,2341.48,3236.75,3443.35,3167.88,2823.55,2823.55,3030.15,1515.07,1308.47,1652.81,3099.01,3099.01,4200.89,3305.62,5302.76,5853.69,6129.16,5578.23,8401.77,10949.85,Upgrade
4,PE Ratio,158.81,7.57,8.67,8.98,10.08,14.29,33.97,68.67,-6.47,-0.70,-0.85,-,-,-,-,-,-,-,-,27.86,20.27,Upgrade
5,PS Ratio,6.75,1.15,1.59,1.85,1.74,1.63,1.44,1.25,0.65,0.55,0.64,1.60,2.24,3.09,7.40,10.24,7.40,5.83,5.44,2.22,2.20,Upgrade
6,PB Ratio,3.46,0.55,0.77,0.83,-,-,0.74,0.79,0.40,0.34,0.44,0.82,0.75,0.73,0.59,0.88,0.81,0.82,0.72,1.06,-,Upgrade
7,P/TBV Ratio,0.74,0.55,0.77,1.13,-,-,0.74,0.80,0.40,0.35,0.44,0.82,0.77,0.74,0.58,0.86,0.97,0.97,0.84,1.25,-,Upgrade
8,P/FCF Ratio,-,-,-1.53,-,-,-,-14.71,-3.71,-,-,-,-28.34,-,-,-,2.45,-1.52,-1.41,-1.43,-,-,Upgrade
9,P/OCF Ratio,15.92,-,-2.12,-,-,-,15.92,-6.74,-,-,-,-28.34,-,4.39,1.82,1.41,5.00,14.69,12.75,-,-,Upgrade
10,EV/Sales Ratio,4.96,4.50,4.98,5.54,5.53,5.61,4.96,4.18,4.22,4.33,4.12,6.29,10.54,11.29,33.19,34.91,22.51,16.58,8.26,2.99,2.79,Upgrade
11,EV/EBITDA Ratio,21.63,40.98,-69.88,-,410.92,-,21.63,20.89,45.14,61.97,11.10,-,-,18.64,-67.37,-,-,-,28.80,93.86,77.12,Upgrade
12,EV/EBIT Ratio,25.83,80.24,-45.29,-,-424.30,-,25.83,-,-,140.95,12.22,-,-,19.89,-55.53,-,-,-,33.03,134.02,100.99,Upgrade
13,EV/FCF Ratio,-,-,-4.77,-,-,-,-50.55,-12.39,-,-,-,-111.20,-,-,-,8.35,-4.63,-4.02,-2.17,-,-,Upgrade
14,Debt / Equity Ratio,1.83,1.67,1.65,1.40,-,-,1.83,1.83,1.88,2.25,2.25,2.51,2.19,1.98,2.08,2.01,1.70,1.55,1.41,1.22,-,Upgrade
15,Debt / EBITDA Ratio,15.61,11.95,32.16,-,-,-,8.98,83.76,867.65,9.24,9.24,-,-,2.81,62.29,-,-,-,22.45,31.64,-,Upgrade
16,Debt / FCF Ratio,-,-,-3.26,-,-,-,-36.49,-8.57,-,-,-,-86.92,-,-,-,5.63,-3.19,-2.65,-2.81,-,-,Upgrade
17,Asset Turnover,0.13,0.12,-,-,-,-,0.16,0.02,0.19,0.18,0.12,0.02,0.18,0.03,0.01,0.01,0.02,0.05,-,-,Upgrade,
18,Inventory Turnover,-,0.81,1.34,-,-,-,-,31.78,2.96,24.29,45.52,387.06,77.46,-,34.25,5.18,2.79,3.32,2.92,-,-,Upgrade
19,Quick Ratio,-,2.77,2.75,2.06,-,-,-,0.56,0.38,0.58,0.58,0.44,0.42,0.42,0.41,0.27,0.44,0.52,0.31,1.00,-,Upgrade
20,Current Ratio,-,3.60,3.49,2.31,-,-,-,0.66,0.54,0.64,0.64,0.49,0.46,0.45,0.46,0.43,0.55,0.62,0.69,1.19,-,Upgrade
21,Return on Equity (ROE),5.50%,3.71%,-,-,-,4.91%,1.94%,0.50%,0.66%,0.66%,-35.05%,-134.06%,11.85%,-29.78%,-30.96%,-12.98%,-17.63%,-4.89%,-,-,Upgrade,
22,Return on Assets (ROA),1.43%,0.29%,-,-,-,-,-0.00%,-0.28%,2.93%,2.84%,-3.56%,-0.78%,10.56%,0.38%,-2.48%,-0.32%,-0.39%,1.23%,-,-,Upgrade,
23,Return on Capital (ROIC),2.40%,0.50%,-,-,-,6.40%,-0.01%,-0.42%,4.22%,4.06%,-5.20%,-1.12%,14.50%,0.50%,-3.11%,-0.40%,-0.49%,1.52%,-,-,Upgrade,
24,Return on Capital Employed (ROCE),-,0.72%,-1.46%,-,-,-,-,-,-,0.72%,8.59%,-,-,6.15%,-2.11%,-,-,-,1.62%,0.53%,-,Upgrade
25,Earnings Yield,0.32%,13.21%,11.54%,11.14%,9.92%,7.00%,2.94%,1.46%,-15.45%,-143.75%,-117.10%,-76.68%,-82.00%,-26.93%,-42.23%,-19.97%,-10.03%,-5.07%,3.34%,3.59%,4.93%,Upgrade
26,FCF Yield,-0.73%,-53.50%,-65.56%,-71.74%,-43.28%,-25.59%,-6.80%,-26.96%,-13.38%,-71.19%,-35.00%,-3.53%,-29.67%,4.80%,22.17%,40.82%,-65.66%,-70.77%,-70.05%,-77.48%,23.71%,Upgrade
27,Payout Ratio,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1343.93%,Upgrade
