,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,2839798,2906462,2899040,2292346,2479570,2456526,2663304,2291291,2515448,2844738,3251884,2662359,2404423,2087331,2456945,2047381,2119984,1873725,1707572,1825484,Upgrade
1,Revenue Growth (YoY),14.53%,18.32%,8.85%,0.05%,-1.43%,-13.65%,-18.10%,-13.94%,4.62%,36.29%,32.35%,30.04%,13.42%,11.40%,43.89%,12.16%,4.92%,-12.37%,-16.67%,2.87%,Upgrade
2,"Selling, General & Admin",114189,138745,103732,124878,125473,118637,82402,147229,116164,108252,95321,128345,97987,97947,73775,105265,122564,104660,104236,112308,Upgrade
3,Other Operating Expenses,2735671,2654492,2654081,2125279,2274360,2321753,2517725,2011439,2210921,2613176,3070586,2426093,2214309,1885294,2293507,1911886,1916659,1657361,1608233,1654151,Upgrade
4,Total Operating Expenses,2849859,2793237,2757814,2250158,2399833,2440390,2600128,2158668,2327085,2721427,3165907,2554438,2312297,1983241,2367282,2017150,2039223,1762021,1712469,1766459,Upgrade
5,Operating Income,-10062,113225,141226,42188,79737,16136,63176,132623,188362,123311,85976,107921,92126,104090,89663,30231,80760,111704,-4897,59025,Upgrade
6,Interest Expense,-3238,-,-,-,-7354,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
7,Interest Income,8595,6798,7318,8344,9773,15076,15192,11529,9020,4665,3135,3045,2635,3520,2967,2426,3402,1626,2195,3145,Upgrade
8,Net Interest Expense,5357,6798,7318,8344,2418,15076,15192,11529,9020,4665,3135,3045,2635,3520,2967,2426,3402,1626,2195,3145,Upgrade
9,Other Non-Operating Income (Expenses),2499,-885.7,-2263,-833.82,5518,-2185,-2880,-955.41,-2769,-1203,-1020,-778.2,-32182,-1539,-18560,20742,-87.18,-884.46,-788.62,3.64,Upgrade
10,EBT Excluding Unusual Items,-2205,119137,146281,49698,87674,29028,75488,143197,194614,126773,88091,110188,62579,106071,74070,53398,84075,112445,-3491,62174,Upgrade
11,Gain (Loss) on Sale of Assets,-,-,-,-,21,-,-,-,0.69,-,-,-,27128,-,-,-,87.18,-,-,-,Upgrade
12,Insurance Settlements,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,346.6,-346.6,-,Upgrade
13,Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1155,1155,-,Upgrade
14,Pretax Income,-2205,119137,146281,49698,87695,29028,75488,143197,194614,126773,88091,110188,89707,106071,74070,53398,84163,111637,-2682,62174,Upgrade
15,Income Tax Expense,-,21534,29289,12920,19406,6002,12458,31753,40812,25839,17709,22592,18594,21355,18579,10699,16860,22347,711.82,12459,Upgrade
16,Net Income,-2205,97604,116992,36778,68289,23025,63030,111444,153803,100934,70381,87595,71113,84716,55491,42699,67303,89290,-3394,49715,Upgrade
17,Preferred Dividends & Other Adjustments,-950,-,10002,6000,5622,-,4903,11962,5540,-,-3460,20080,4855,-,4605,9960,11523,-,1900,4308,Upgrade
18,Net Income to Common,-1255,97604,106990,30778,62667,23025,58128,99481,148263,100934,73841,67515,66258,84716,50886,32739,55781,89290,-5294,45407,Upgrade
19,Net Income Growth,-,323.90%,85.61%,-67.00%,-55.60%,-77.19%,-10.44%,27.23%,116.28%,19.14%,26.83%,105.14%,5.66%,-5.12%,-,-14.11%,31.11%,33.27%,-,15.17%,Upgrade
20,Shares Outstanding (Basic),99,99,99,99,93,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,Upgrade
21,Shares Outstanding (Diluted),99,99,99,99,93,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,Upgrade
22,Shares Change (YoY),6.95%,-,-,-,-6.50%,-0.00%,-0.00%,-0.00%,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
23,EPS (Basic),-12.68,985.92,1080.74,310.90,677.03,232.59,587.16,1004.89,1497.63,1019.55,745.89,681.99,669.29,855.74,514.01,330.71,563.45,901.94,-53.48,458.67,Upgrade
24,EPS (Diluted),-12.68,985.92,1080.74,310.90,677.03,232.59,587.16,1004.89,1497.55,1019.55,745.89,681.99,669.29,855.74,514.01,330.71,563.45,901.94,-53.48,458.67,Upgrade
25,EPS Growth,-,323.90%,84.06%,-69.06%,-54.79%,-77.19%,-21.28%,47.35%,123.75%,19.14%,45.11%,106.22%,18.78%,-5.12%,-,-27.90%,29.41%,33.27%,-,27.31%,Upgrade
26,Free Cash Flow,177908,23139,488540,-96310,-274546,8878,307898,54185,3593,51620,418680,-7441,282503,-324380,423201,-488614,124937,332656,-28422,63563,Upgrade
27,Free Cash Flow Per Share,1797.10,233.73,4934.88,-972.86,-2966.07,89.68,3110.17,547.33,36.29,521.42,4229.18,-75.16,2853.62,-3276.64,4274.85,-4935.60,1262.02,3360.24,-287.09,642.07,Upgrade
28,Dividend Per Share,-,-,-,-,1500.000,-,-,-,4090.909,-,-,-,2272.727,-,-,-,1818.182,-,-,-,Upgrade
29,Dividend Growth,-,-,-,-,-63.33%,-,-,-,80.00%,-,-,-,25.00%,-,-,-,-20.00%,-,-,-,Upgrade
30,Profit Margin,-0.04%,3.36%,3.69%,1.34%,2.53%,0.94%,2.18%,4.34%,5.89%,3.55%,2.27%,2.54%,2.76%,4.06%,2.07%,1.60%,2.63%,4.77%,-0.31%,2.49%,Upgrade
31,Free Cash Flow Margin,6.26%,0.80%,16.85%,-4.20%,-11.07%,0.36%,11.56%,2.36%,0.14%,1.81%,12.87%,-0.28%,11.75%,-15.54%,17.22%,-23.87%,5.89%,17.75%,-1.66%,3.48%,Upgrade
32,EBITDA,3199,126857,155246,54889,94833,28232,75455,145555,201814,137106,101811,123953,109040,119585,103338,44657,98025,129999,15584,79402,Upgrade
33,EBITDA Margin,0.11%,4.36%,5.36%,2.39%,3.82%,1.15%,2.83%,6.35%,8.02%,4.82%,3.13%,4.66%,4.53%,5.73%,4.21%,2.18%,4.62%,6.94%,0.91%,4.35%,Upgrade
34,D&A For EBITDA,13261,13632,14020,12701,15097,12095,12279,12932,13452,13796,15835,16032,16914,15495,13675,14426,17265,18295,20480,20377,Upgrade
35,EBIT,-10062,113225,141226,42188,79737,16136,63176,132623,188362,123311,85976,107921,92126,104090,89663,30231,80760,111704,-4897,59025,Upgrade
36,EBIT Margin,-0.35%,3.90%,4.87%,1.84%,3.22%,0.66%,2.37%,5.79%,7.49%,4.33%,2.64%,4.05%,3.83%,4.99%,3.65%,1.48%,3.81%,5.96%,-0.29%,3.23%,Upgrade
37,Effective Tax Rate,-,18.07%,20.02%,26.00%,22.13%,20.68%,16.50%,22.17%,20.97%,20.38%,20.10%,20.50%,20.73%,20.13%,25.08%,20.04%,20.03%,20.02%,-,20.04%,Upgrade
38,Revenue as Reported,2839798,2906462,2899040,2292346,2479570,2456526,2663304,2291291,2515448,2844738,3251884,2662359,2404423,2087331,2456945,2047381,2119984,1873725,1707572,1825484,Upgrade
