,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,473343,356677,341011,145051,289675,125646,107298,127048,28149,190974,78221,240485,78941,211898,351908,147048,152934,402036,97135,148105,Upgrade
1,Cash & Short-Term Investments,473343,356677,341011,145051,289675,125646,107298,127048,28149,190974,78221,240485,78941,211898,351908,147048,152934,402036,97135,148105,Upgrade
2,Cash Growth,63.41%,183.87%,217.82%,14.17%,929.08%,-34.21%,37.17%,-47.17%,-64.34%,-9.87%,-77.77%,63.54%,-48.38%,-47.29%,262.29%,-0.71%,144.38%,150.01%,22.39%,139.88%,Upgrade
3,Accounts Receivable,670474,800464,994543,893486,813750,921806,828894,623205,593793,589015,779337,682466,679244,667776,878806,614698,565522,757440,737798,636387,Upgrade
4,Other Receivables,34684,30683,28849,33719,23189,46279,37082,39574,45962,42613,36525,24520,27369,47406,38569,19949,50250,28322,19479,32423,Upgrade
5,Receivables,705158,831147,1023392,927205,836938,968085,865977,662779,639755,631628,815862,706986,706613,715182,917375,634647,615772,785762,757277,668810,Upgrade
6,Inventory,1220500,1343549,1048013,1200743,1313327,1328892,1587339,1644615,1879213,1817907,1764836,1779194,1648387,1625512,1355604,1559970,1336077,1039672,1201386,1173424,Upgrade
7,Prepaid Expenses,2169,4201,3072,3126,2321,4342,3427,3615,4127,4077,2313,1729,2767,9424,12946,17813,1985,5163,9235,12949,Upgrade
8,Other Current Assets,509072,532241,498800,488837,420293,378850,381973,378378,461181,746299,511639,461400,366723,443431,328137,390665,148888,283849,288696,212347,Upgrade
9,Total Current Assets,2910242,3067816,2914288,2764961,2862554,2805815,2946014,2816434,3012424,3390886,3172872,3189793,2803430,3005449,2965971,2750144,2255657,2516483,2353728,2215634,Upgrade
10,"Property, Plant & Equipment",784531,801234,842814,864074,879887,904338,950473,989912,1032699,1068149,1096500,1146321,1199942,1241088,1287405,1329939,1384380,1416990,1420248,1462550,Upgrade
11,Long-Term Investments,6990,6990,6990,6990,6250,6250,6250,6250,6250,6250,6250,6250,6250,6250,6250,6250,6250,6250,6250,6250,Upgrade
12,Other Intangible Assets,81575,82374,83173,85390,83766,84365,84964,85562,86161,86760,87359,87957,88556,89155,89754,90352,90951,91550,92149,92747,Upgrade
13,Long-Term Deferred Tax Assets,-,-,-,-,-,-,-,-,-,-,-,419.48,-,203.27,203.27,203.27,204.52,573.51,1174,-,Upgrade
14,Other Long-Term Assets,34314,37521,43302,48597,51843,57135,61865,59740,66702,63527,56818,51586,55133,66174,62039,70642,75807,54288,49967,45996,Upgrade
15,Total Assets,3817652,3995934,3890567,3770013,3884301,3857904,4049566,3957899,4204237,4615573,4419799,4482327,4153313,4408319,4411622,4247531,3813250,4086134,3923516,3823178,Upgrade
16,Accounts Payable,264632,336817,512090,270355,341130,351406,451470,332755,336493,437292,415431,312366,283674,336686,298622,289916,239044,225206,322004,234841,Upgrade
17,Accrued Expenses,227084,285077,299013,183752,185887,155997,118051,111940,163972,165217,154057,132430,173051,192310,211154,177632,188660,252112,183827,104542,Upgrade
18,Short-Term Debt,1868029,1900279,1587221,1843192,1900033,1906181,1979985,2027166,2142586,2516820,2354870,2443888,2056474,2294543,2283824,2156623,1674548,1896728,1722144,1740434,Upgrade
19,Current Portion of Long-Term Debt,-,1439,-,4318,-,1439,5045,9049,-,6616,13820,19810,-,6581,14048,22401,0.01,8329,13779,20954,Upgrade
