,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,1512929,1601010,1274591,1559560,1544016,1264228,1305678,1450754,1383397,1492204,1616554,1839348,1880799,1958517,1865255,1854892,1958517,1823805,1637279,1544016,1440391,Upgrade
1,Market Cap Growth,26.64%,26.64%,-2.38%,7.50%,11.61%,-15.28%,-19.23%,-21.13%,-26.45%,-23.81%,-13.33%,-0.84%,-3.97%,7.39%,13.92%,20.13%,35.97%,28.94%,6.76%,3.83%,-8.25%,Upgrade
2,Enterprise Value,2956327,3202525,2591786,3339097,3241123,3138922,3280891,3467377,3634314,3969352,4056031,4229011,4079135,4291506,4077570,4164996,3839865,3705152,3654520,3555861,3480754,Upgrade
3,Last Close Price,14600.00,15450.00,12300.00,14694.49,14548.03,11911.81,12302.36,13360.96,12740.63,13742.70,14598.84,16610.86,16985.19,17687.06,16844.82,16751.24,17195.75,16012.98,14375.28,13088.98,12210.52,Upgrade
4,PE Ratio,19.83,20.98,19.66,25.50,29.49,31.79,19.27,20.30,17.71,18.84,19.13,55.18,51.08,46.61,-,19.60,21.50,20.12,17.38,20.35,22.74,Upgrade
5,Forward PE,11.52,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,7.19,Upgrade
6,PS Ratio,0.32,0.34,0.27,0.31,0.30,0.24,0.25,0.27,0.26,0.28,0.30,0.37,0.38,0.40,0.40,0.37,0.41,0.39,0.35,0.34,0.33,Upgrade
7,PB Ratio,1.11,1.17,0.94,1.17,1.15,0.95,1.00,1.13,1.06,1.15,1.27,1.47,1.49,1.56,1.46,1.42,1.52,1.43,1.31,1.22,1.15,Upgrade
8,P/TBV Ratio,1.25,1.25,1.00,1.25,1.23,1.02,1.07,1.21,1.13,1.23,1.36,1.58,1.60,1.68,1.57,1.53,1.63,1.54,1.42,1.31,1.24,Upgrade
