,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,1192415,1107492,1265112,1147157,1278717,1352712,1368392,1235086,1203742,1485925,1401796,1229169,1355485,1011602,1392996,1079425,1226560,1275531,1245615,944328,Upgrade
1,Revenue Growth (YoY),-6.75%,-18.13%,-7.55%,-7.12%,6.23%,-8.97%,-2.38%,0.48%,-11.19%,46.89%,0.63%,13.87%,10.51%,-20.69%,11.83%,14.31%,0.14%,9.40%,21.23%,11.51%,Upgrade
2,Cost of Revenue,1055147,966758,1065680,999614,1095142,1184443,1244619,1153536,1065830,1313976,1242923,1108347,1213343,947252,1214502,914323,1054914,1054348,1050241,798148,Upgrade
3,Gross Profit,137268,140734,199432,147543,183574,168268,123772,81551,137912,171949,158874,120822,142142,64350,178494,165102,171646,221184,195374,146180,Upgrade
4,"Selling, General & Admin",125138,90166,190338,103773,139485,123233,74276,49505,66083,92893,98305,82453,66033,70740,124634,120337,107892,150672,141268,93681,Upgrade
5,Operating Expenses,125138,90166,190338,103773,139485,123233,74276,49505,66083,92893,98305,82453,66033,70740,124634,120337,107892,150672,141268,93681,Upgrade
6,Operating Income,12130,50568,9093,43771,44089,45035,49497,32046,71829,79056,60569,38369,76108,-6390,53859,44765,63755,70512,54106,52499,Upgrade
7,Interest Expense,-23977,-40746,-1574,-29537,-35377,-39639,-41795,-37627,-33596,-29785,-27563,-23792,-25712,-27022,-29210,-27335,-30223,-30359,-32742,-39793,Upgrade
8,Interest & Investment Income,32780,8308,10153,1854,7983,15736,-,282.47,4637,12198,8626,29.77,2800,6192,4354,24.62,3751,321.69,5363,-,Upgrade
