,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,47.27,62.89,20.74,55.52,16.67,37.92,30.59,31.7,43.19,31.8
1,Short-Term Investments,-,-,-,-,-,-,-,9.13,-,-
2,Cash & Short-Term Investments,47.27,62.89,20.74,55.52,16.67,37.92,30.59,40.83,43.19,31.8
3,Cash Growth,127.88%,13.28%,24.43%,46.39%,-45.51%,-7.11%,-29.17%,28.38%,-25.15%,-51.29%
4,Accounts Receivable,480.68,496.93,468.55,442.8,367.68,343.5,305.34,251.75,172,149.55
5,Other Receivables,1.19,1.18,0.88,0.84,1.04,0.91,1.63,4.24,2.65,5.34
6,Receivables,481.87,498.12,469.43,443.63,370.61,344.42,308.5,262.19,180.65,160.89
7,Inventory,61.24,58.7,43.02,19.43,12.47,14.47,12.49,12.51,8.33,9.78
8,Prepaid Expenses,7.88,6.44,18.14,14.85,9.75,2.44,2.01,2.29,8.05,3.99
9,Other Current Assets,1.63,1.58,2.18,1.97,2.9,2.7,6.29,4.99,7.98,6.48
10,Total Current Assets,599.89,627.74,553.51,535.4,412.4,401.96,359.88,322.81,248.2,212.94
11,"Property, Plant & Equipment",5.2,6.23,6.94,7.9,6.77,7.7,8.7,9.62,9.64,9.78
12,Long-Term Investments,3.65,3.64,3.65,3.63,3.59,3.6,3.57,3.42,3.43,3.41
13,Other Intangible Assets,1.75,3.34,4.95,8.84,13.77,19.16,21.55,27.65,31.14,36.84
14,Long-Term Deferred Tax Assets,8.26,5.57,4.67,3.37,2.96,1.56,0.47,0.19,0.25,0.35
15,Other Long-Term Assets,10,10,-,-,-,-,-,-,-,-
16,Total Assets,628.75,656.51,573.72,559.13,439.49,433.98,394.17,363.69,292.64,263.32
17,Accounts Payable,138.83,151.93,120.68,136.68,71.62,95.23,80.82,67.52,28.81,20.32
18,Accrued Expenses,41.03,40.57,38.26,38.4,27.89,21.45,20.66,13.36,13.52,10.07
19,Short-Term Debt,10.33,10.17,107.41,10.16,-,57.93,38.64,31.27,27.8,13
20,Current Portion of Long-Term Debt,129.2,132.46,-,70.63,54.63,-,-,-,-,-
21,Current Portion of Leases,0.56,0.68,0.99,1.23,0.33,0.62,0.63,0.65,0.5,0.21
22,Current Income Taxes Payable,23.86,23.94,22.21,21.58,21.26,18.63,15.99,13.14,10.01,8.55
23,Other Current Liabilities,4.85,7.7,7.16,8.3,14.9,5.01,15.96,22.9,14.77,16.2
24,Total Current Liabilities,348.66,367.44,296.71,286.99,190.63,198.87,172.69,148.83,95.4,68.35
25,Long-Term Debt,14.9,9.92,3,3,3,-,-,-,-,-
26,Long-Term Leases,-,-,0.3,0.68,-,-,0.23,0.5,0.4,0.14
27,Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,-,0.86,0.51,1.29
28,Other Long-Term Liabilities,2.05,2.06,2.09,-,-,-,-,-,-,-
29,Total Liabilities,365.6,379.42,302.1,290.66,193.63,198.87,172.92,150.19,96.31,69.78
30,Common Stock,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.14
31,Additional Paid-In Capital,140.02,140.02,140.02,140.02,140.02,140.02,140.02,140.02,140.02,-
32,Retained Earnings,65.27,79.26,73.72,70.9,48.03,38.33,24.17,16.31,-1.41,-
33,Comprehensive Income & Other,53.73,53.68,53.76,53.42,53.68,52.63,52.93,53.05,53.6,189.4
34,Shareholders' Equity,263.14,277.09,271.63,268.47,245.86,235.11,221.25,213.5,196.33,193.54
35,Total Liabilities & Equity,628.75,656.51,573.72,559.13,439.49,433.98,394.17,363.69,292.64,263.32
36,Total Debt,155,153.22,111.7,85.7,57.96,58.55,39.5,32.41,28.7,13.34
37,Net Cash (Debt),-107.73,-90.33,-90.96,-30.18,-41.29,-20.62,-8.91,8.42,14.5,18.46
38,Net Cash Growth,-,-,-,-,-,-,-,-54.39%,-53.73%,-55.47%
39,Net Cash Per Share,-0.22,-0.18,-0.18,-0.06,-0.08,-0.04,-0.02,0.02,0.03,0.04
40,Filing Date Shares Outstanding,495.42,495.42,495.42,494.08,495.42,495.42,495.42,495.42,495.42,496.7
41,Total Common Shares Outstanding,495.42,495.42,495.42,494.08,495.42,495.42,495.42,495.42,495.42,496.7
42,Working Capital,251.23,260.3,256.8,248.41,221.76,203.1,187.2,173.97,152.8,144.59
43,Book Value Per Share,0.53,0.56,0.55,0.54,0.50,0.47,0.45,0.43,0.40,0.39
44,Tangible Book Value,261.4,273.75,266.67,259.63,232.09,215.95,199.7,185.85,165.2,156.7
45,Tangible Book Value Per Share,0.53,0.55,0.54,0.53,0.47,0.44,0.40,0.38,0.33,0.32
46,Machinery,-,2.42,-,2.07,-,1.92,-,1.98,-,2.4
47,Leasehold Improvements,-,11.52,-,11.52,-,11.52,-,11.52,-,11.52
