,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 5, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,67,80,94,109,100,84,141,198,178,134,184
1,Market Cap Growth,-26.62%,-26.62%,-5.97%,29.06%,-29.47%,-57.50%,-20.83%,48.33%,-2.84%,-45.55%,-26.94%
2,Enterprise Value,187,178,191,143,145,109,152,188,162,113,149
3,Last Close Price,0.14,0.16,0.19,0.22,0.20,0.17,0.28,0.40,0.36,0.27,0.37
4,PE Ratio,-,-,10.34,3.94,2.68,3.20,5.19,6.41,7.21,-1.73,-
5,PS Ratio,0.14,0.17,0.18,0.19,0.19,0.19,0.30,0.47,0.51,0.65,1.03
6,PB Ratio,0.23,0.27,0.31,0.37,0.32,0.31,0.49,0.74,0.70,0.60,0.87
7,P/TBV Ratio,0.28,0.28,0.32,0.38,0.34,0.33,0.53,0.82,0.81,0.71,1.07
8,P/FCF Ratio,-,-,-1.78,-,23.21,-,-6.61,-,-,-,11.56
9,P/OCF Ratio,-,-,-1.79,-,22.34,-,-8.03,-,-,-,11.49
10,EV/Sales Ratio,0.40,0.38,0.36,0.25,0.28,0.25,0.33,0.44,0.46,0.55,0.83
11,EV/EBITDA Ratio,-,-,13.05,4.82,3.35,3.25,4.26,4.71,4.99,-3.02,-
12,EV/EBIT Ratio,-,-,14.39,4.79,3.47,3.32,4.49,4.86,5.26,-3.21,-
13,EV/FCF Ratio,-122.76,-,-3.63,-,33.82,-,-7.11,-,-,-,9.40
14,Debt / Equity Ratio,0.59,0.59,0.55,0.41,0.32,0.24,0.25,0.18,0.15,0.15,0.07
15,Debt / FCF Ratio,-,-,-3.15,-,22.82,-,-3.38,-,-,-,0.92
16,Return on Capital Employed (ROCE),-,-,4.24%,10.05%,13.44%,11.92%,11.66%,14.48%,12.06%,-15.68%,-
17,Earnings Yield,-13.89%,-11.74%,9.67%,25.36%,37.38%,31.27%,19.27%,15.59%,13.87%,-57.96%,-41.24%
18,FCF Yield,-2.26%,-1.91%,-56.30%,-38.01%,4.31%,-22.00%,-15.14%,-16.35%,-12.18%,17.30%,8.65%
19,Buyback Yield / Dilution,-,-,-,-,-,-,-,0.25%,0.89%,-24.54%,
20,Total Shareholder Return,-,-,-,-,-,-,-,0.25%,0.89%,-24.54%,
