,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,1868,1678,1861,1741,1864,1799,1875,1747,1620,1377,1357,1524,1716,2239,1937,2044,2022,-,-,-,-
1,Market Cap Growth,-6.70%,-6.70%,-0.74%,-0.33%,15.08%,30.64%,38.21%,14.62%,-5.57%,-38.49%,-29.98%,-25.44%,-15.16%,-,-,-,-,-,-,-,-
2,Enterprise Value,1538,1348,1498,1383,1549,1483,1576,1461,1332,1089,1070,1237,1413,1936,1605,1707,1918,-,-,-,-
3,Last Close Price,22.82,20.50,22.54,21.17,22.22,21.44,22.35,20.82,18.89,16.05,15.85,17.81,19.83,25.87,22.39,23.44,23.19,-,-,-,-
4,PE Ratio,27.49,24.74,25.44,20.07,22.86,23.89,33.26,31.37,35.11,30.34,26.46,30.29,31.86,42.06,31.62,37.42,39.30,-,-,-,-
5,PS Ratio,4.14,3.72,4.14,4.03,4.59,4.68,5.48,5.25,5.43,4.64,4.45,4.95,5.15,7.02,6.48,7.34,8.21,-,-,-,-
6,PB Ratio,3.09,2.78,3.08,2.86,3.04,3.01,3.26,3.16,2.97,2.57,2.57,2.92,3.33,4.29,3.80,4.17,4.13,-,-,-,-
7,P/TBV Ratio,2.90,2.90,3.22,2.92,3.10,3.08,3.33,3.23,3.04,2.64,2.64,3.00,3.42,4.41,3.91,4.29,4.25,-,-,-,-
8,P/FCF Ratio,-,-,26.45,23.85,27.68,25.60,34.48,35.40,32.46,49.51,67.20,-326.58,-,-427.10,-,67.56,-,-,-,-,-
9,P/OCF Ratio,-,-,23.72,21.44,23.57,21.98,31.16,31.06,30.46,40.50,39.38,144.76,-,101.91,-,40.41,-,-,-,-,-
10,EV/Sales Ratio,3.41,2.99,3.33,3.20,3.81,3.86,4.60,4.39,4.47,3.67,3.51,4.01,4.24,6.07,5.37,6.12,7.78,-,-,-,-
11,EV/EBITDA Ratio,18.92,16.57,20.22,16.70,20.41,20.43,28.07,30.03,34.55,29.43,28.73,29.33,24.98,35.23,23.70,27.48,34.29,-,-,-,-
12,EV/EBIT Ratio,20.18,17.68,21.73,17.80,21.85,21.94,30.78,33.33,39.43,33.66,32.70,32.47,26.87,37.67,24.85,28.75,35.49,-,-,-,-
13,EV/FCF Ratio,-,-,21.30,18.94,23.00,21.11,28.97,29.60,26.69,39.16,53.00,-265.10,-,-369.38,-,56.41,-,-,-,-,-
14,Debt / Equity Ratio,0.04,0.04,0.04,0.03,0.03,0.01,0.01,0.02,0.02,0.02,0.06,0.06,0.02,0.02,0.00,0.00,0.00,0.01,-,0.18,0.11
15,Debt / EBITDA Ratio,0.29,0.21,0.36,0.19,0.28,0.08,0.08,0.14,0.18,0.33,0.43,1.45,0.25,0.39,0.01,0.02,0.06,0.03,-,0.81,0.87
16,Debt / FCF Ratio,-,-,0.34,0.23,0.26,0.12,0.14,0.17,0.18,0.35,1.51,-6.68,-,-2.25,-,0.04,-,0.07,-,-3.64,-
17,Asset Turnover,-,0.57,0.65,0.50,0.72,0.54,0.59,0.44,0.54,0.51,0.39,0.44,0.60,0.56,0.58,0.47,-,-,-,-,
18,Inventory Turnover,-,-,1.95,2.22,1.72,2.52,1.62,1.92,1.53,1.76,1.52,1.21,1.41,2.03,1.64,2.34,1.77,-,-,-,-
19,Quick Ratio,-,-,3.03,3.73,3.55,4.14,3.85,3.90,4.07,4.69,3.81,3.53,3.64,4.15,3.66,3.33,4.00,1.88,-,1.89,-
20,Current Ratio,-,-,4.07,4.68,4.60,5.24,5.15,5.20,5.58,6.07,5.11,4.83,5.06,5.33,5.07,4.18,4.95,2.68,-,2.76,-
21,Return on Equity (ROE),11.78%,5.25%,16.88%,10.76%,15.75%,15.27%,15.01%,7.42%,3.13%,15.90%,8.55%,7.16%,7.79%,15.93%,11.94%,9.38%,-,-,22.17%,-,
22,Return on Assets (ROA),-,4.99%,6.46%,4.94%,7.00%,8.85%,4.85%,4.44%,1.29%,6.48%,1.05%,3.94%,1.46%,8.98%,7.12%,4.68%,-,-,-,-,
23,Return on Capital (ROIC),10.74%,6.06%,7.75%,5.88%,8.28%,10.45%,5.68%,5.13%,1.47%,7.46%,1.23%,4.66%,1.73%,10.96%,8.72%,5.85%,-,-,12.46%,-,
