,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,127.4,109.52,122.51,91.51,125.94,92.27,96.29,69.19,84.51,82.18,62.1,68.13,92.39,85.44,86.91,53.97,72.44,65.2,54.75,30.11
1,Other Revenue,-,-0.07,0.07,-,0.32,-0.17,0.17,-,0.13,-0.03,0.03,-,0.12,-0.07,0.07,-,0.07,-0.01,0.01,-
2,Revenue,127.4,109.45,122.58,91.51,126.26,92.1,96.45,69.19,84.64,82.15,62.13,68.13,92.51,85.36,86.99,53.97,72.5,65.19,54.76,30.11
3,Revenue Growth (YoY),0.90%,18.84%,27.08%,32.26%,49.17%,12.10%,55.25%,1.56%,-8.50%,-3.76%,-28.58%,26.22%,27.59%,30.95%,58.84%,79.22%,-,-,-,-
4,Cost of Revenue,-182.58,61.67,69.73,51.18,73.55,49.37,55.46,40.47,48.61,46.52,36.69,38.45,56.2,43.98,50.72,30.33,38.89,31.33,30.77,14.47
5,Gross Profit,309.98,47.78,52.84,40.33,52.71,42.72,41,28.72,36.04,35.63,25.44,29.67,36.31,41.38,36.27,23.64,33.61,33.85,24,15.64
6,"Selling, General & Admin",-71.52,29.16,20.94,21.42,24.33,15.8,21.27,12.76,21.59,14.06,15.13,12.04,24.9,14.08,12.82,9.86,8.97,12.89,7.94,7.39
7,Research & Development,-22.89,8.94,7.3,6.65,7.19,5.03,7.5,6.1,8.44,6.65,9.52,7.82,7.58,6.04,7.64,5.77,6,4.93,5.41,3.71
8,Other Operating Expenses,379.64,-5.47,2.81,-2.29,0.78,-2.55,-1.6,-1.43,0.99,-1.44,-1.74,-0.06,-0.57,-0.97,-1.73,-0.68,1.99,-1.03,-2.28,-1.78
9,Operating Expenses,283.01,32.56,33.33,25.78,33.01,18.78,28.3,17.43,32.78,19.05,22.79,19.81,32.7,19.42,19.12,14.96,16.81,17.13,12.17,9.5
10,Operating Income,26.97,15.22,19.51,14.55,19.69,23.94,12.7,11.29,3.25,16.58,2.65,9.87,3.61,21.96,17.15,8.68,16.8,16.72,11.83,6.14
11,Interest Expense,-10.81,-0.43,-,-0.14,-2.14,-0.29,-,-0.1,-9.93,-,-,-0.2,-0.62,-,-0.03,-,-,-1.77,-,-
12,Interest & Investment Income,0.56,3.79,4.09,2.94,-,2,2.73,1.15,-,11.48,2.13,0.37,3.48,0.61,0.95,0.47,2.16,-,0.58,0.29
13,Currency Exchange Gain (Loss),-,-1.21,1.21,-,3.26,-6.67,6.67,-,10.26,-4.71,4.71,-,-1.86,0.47,-0.47,-,-4.01,-0.65,0.65,-
