,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,16298,15257,15448,17712,19135,16944,18678,19825,16241,20312,15263,16872,-,-,-,-
1,Market Cap Growth,-9.96%,-9.96%,-17.30%,-10.66%,17.82%,-16.58%,22.38%,17.50%,-,-,-,-,-,-,-,-
2,Enterprise Value,17932,15868,16830,18771,20194,15325,16144,17322,14032,18030,12552,16131,-,-,-,-
3,Last Close Price,23.36,22.22,22.50,25.26,27.29,24.30,26.79,27.73,22.72,28.41,21.35,23.14,-,-,-,-
4,PE Ratio,16.64,15.63,13.47,14.58,14.92,13.73,13.63,12.87,10.72,13.62,11.21,16.35,-,-,-,-
5,Forward PE,16.88,11.51,10.32,12.79,14.40,12.43,12.07,12.80,9.47,-,-,-,-,-,-,-
6,PS Ratio,0.99,0.94,1.02,1.25,1.42,1.53,1.73,1.80,1.40,1.62,1.19,1.36,-,-,-,-
7,PB Ratio,2.24,2.12,2.21,2.47,2.75,2.61,3.08,3.20,2.74,3.66,3.00,3.43,-,-,-,-
8,P/TBV Ratio,2.14,2.14,2.23,2.49,2.78,2.64,3.11,3.23,2.77,3.70,3.04,3.47,-,-,-,-
9,P/FCF Ratio,-,-21.22,-,-,-,-,-,23.07,63.40,-,35.09,-,-,-,-,-
10,P/OCF Ratio,-,-32.49,-,-,73.80,-,-,18.15,32.78,136.83,25.29,-,-,-,-,-
11,EV/Sales Ratio,1.10,0.97,1.12,1.33,1.50,1.38,1.49,1.57,1.21,1.44,0.98,1.30,-,-,-,-
12,EV/EBITDA Ratio,17.10,14.51,15.15,15.89,15.84,14.86,13.78,13.02,10.00,12.14,8.57,13.54,-,-,-,-
13,EV/EBIT Ratio,18.82,15.74,16.37,17.07,16.88,16.03,14.70,13.75,10.52,12.71,8.96,14.26,-,-,-,-
14,EV/FCF Ratio,-24.95,-22.07,-,-,-,-,-,20.16,54.77,-,28.86,-,-,-,-,-
15,Debt / Equity Ratio,0.81,0.81,0.68,0.77,0.58,0.64,0.34,0.32,0.26,0.21,0.33,0.05,0.08,-,-,0.33
16,Debt / EBITDA Ratio,5.55,5.55,7.63,8.25,1.98,3.71,2.32,1.91,1.42,0.70,1.10,0.20,0.16,-,-,0.95
17,Debt / FCF Ratio,-,-8.10,-,-,-,-,-,2.32,5.92,-,3.88,-,0.41,-,-,31.89
18,Asset Turnover,1.22,0.98,0.76,1.42,1.19,1.07,0.86,1.04,1.41,1.39,1.66,-,-,-,-,
19,Inventory Turnover,4.13,3.89,3.22,3.43,6.24,5.00,4.35,3.36,3.85,5.66,5.24,5.24,-,-,-,-
20,Quick Ratio,0.88,0.88,0.97,0.86,1.31,0.83,1.39,1.56,1.64,1.62,1.47,1.82,1.07,-,-,-
21,Current Ratio,1.47,1.47,1.55,1.58,1.66,1.56,1.90,2.18,2.20,2.17,1.93,2.47,1.71,-,-,-
22,Return on Equity (ROE),8.36%,12.61%,10.45%,24.88%,20.44%,19.06%,16.71%,25.73%,34.41%,36.97%,24.00%,-,-,-,-,
23,Return on Assets (ROA),3.84%,2.16%,2.47%,8.85%,5.40%,4.87%,6.01%,6.41%,10.62%,10.62%,12.08%,-,-,-,-,
24,Return on Capital (ROIC),4.86%,2.71%,3.10%,11.28%,6.94%,6.25%,7.77%,8.75%,14.91%,15.32%,19.57%,-,-,-,-,
25,Return on Capital Employed (ROCE),13.17%,13.93%,14.57%,15.25%,17.09%,14.68%,18.02%,20.22%,22.35%,25.38%,27.34%,22.80%,35.75%,-,-,-
26,Earnings Yield,5.99%,6.40%,7.43%,6.86%,6.70%,7.28%,7.34%,7.77%,9.33%,7.34%,8.92%,6.12%,-,-,-,-
27,FCF Yield,-4.41%,-4.71%,-9.06%,-3.67%,0.28%,2.98%,3.60%,4.33%,1.58%,-0.22%,2.85%,1.96%,-,-,-,-
28,Dividend Yield,2.49%,-,-,-,2.20%,-,-,-,2.94%,-,-,-,-,-,-,-
29,Payout Ratio,43.32%,0.66%,188.22%,0.75%,-,0.83%,156.20%,0.28%,0.10%,0.65%,68.34%,0.12%,28.98%,45.85%,7.31%,9.94%
30,Buyback Yield / Dilution,-1.03%,-3.31%,-0.90%,-0.24%,-2.86%,-1.01%,-4.26%,-1.66%,-12.36%,-10.35%,-11.32%,-10.52%,-,-,-,-
31,Total Shareholder Return,1.46%,-3.31%,-0.90%,-0.24%,-0.66%,-1.01%,-4.26%,-1.66%,-9.42%,-10.35%,-11.32%,-10.52%,-,-,-,-
