,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Other Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-38.27,38.27,-
1,Revenue,4791,3766,2835,4885,3590,2805,2167,2505,3346,3008,2729,3460,3591,2604,2234
2,Revenue Growth (YoY),33.46%,34.27%,30.80%,95.04%,7.29%,-6.76%,-20.57%,-27.60%,-6.82%,15.52%,22.12%,-,-,-,-
3,Cost of Revenue,4172,3238,2477,3945,3038,2262,1754,1897,2659,2433,2221,2749,3051,2337,1953
4,Gross Profit,619.04,527.38,357.45,939.91,551.27,542.64,413.28,608.09,687.24,574.39,507.6,710.4,539.74,266.87,281.55
5,"Selling, General & Admin",242.18,192.81,164.9,211.07,156.31,155.99,113.71,153.37,140.35,135.64,100.84,140.99,84.56,89.77,65.71
6,Research & Development,191.75,153.47,138.23,179.65,161.21,163.08,112.94,119.5,138.19,139.35,112.02,208.04,96.72,94.91,76.42
7,Other Operating Expenses,-67.08,32.45,-46.79,-12.04,-42.05,-10.35,-39.17,112.24,-18.73,-105.23,-22.13,-2.62,-13.16,-33.68,-22.43
8,Operating Expenses,378.27,394.68,210.63,451.97,290.63,338.29,170.08,360.05,284.61,208.04,190.73,377.2,155.1,170.45,119.7
9,Operating Income,240.77,132.71,146.82,487.94,260.64,204.35,243.2,248.04,402.64,366.35,316.87,333.21,384.65,96.41,161.85
10,Interest Expense,-,-20.2,-16.66,-9,-13.29,-12.26,-1.6,-2.31,-3.5,-1.59,-0.44,-8.49,-0.72,-9.04,-3.3
11,Interest & Investment Income,32.61,37.82,43.3,29.83,24.96,31.55,15.78,16.05,10.78,3.45,3.54,9.72,3.04,-,6.83
12,Currency Exchange Gain (Loss),-21.79,21.79,-,15.35,-46.43,46.43,-,185.5,-75.45,79.05,-3.6,-,-14.22,12.03,2.2
13,Other Non Operating Income (Expenses),-34.8,-31.06,26.97,-37.56,30.93,20.55,-19.76,-219.71,215.15,-2.78,2.92,-8.62,12.1,-2.16,-3.36
14,EBT Excluding Unusual Items,216.78,141.06,200.43,486.56,256.81,290.62,237.62,227.56,549.62,444.48,319.29,325.82,384.84,97.24,164.21
15,Gain (Loss) on Sale of Investments,8.87,8.79,4.35,6.92,6.43,-30.13,3.5,7.97,-2.53,-12.66,1.41,7.16,0.99,-0.2,-
