,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,3039,1934,2723,1545,1718,2768,3325,2517,1778,2190,2976,950.83,-,-,-
1,Short-Term Investments,-,770.62,-,1909,-,522.64,-,200.89,-,85.69,-,11.77,-,-,-
2,Trading Asset Securities,1155,1453,1452,1770,1377,425.78,1216,1313,1617,1705,3.73,9.95,-,-,-
3,Cash & Short-Term Investments,4195,4158,4175,5224,3095,3716,4541,4031,3395,3981,2980,972.55,-,-,956.78
4,Cash Growth,35.54%,11.88%,-8.05%,29.62%,-8.84%,-6.64%,52.38%,314.44%,-,-,211.46%,-,-,-,-
5,Accounts Receivable,3633,3277,2934,3745,2613,2314,1815,2153,2826,2311,2020,1725,-,-,-
6,Other Receivables,94.26,343.22,123.52,345.91,76.68,325.91,30.13,259.76,21.49,155.56,58.76,123.53,-,-,-
7,Receivables,3728,3621,3057,4091,2690,2639,1845,2413,2847,2467,2079,1849,-,-,-
8,Inventory,3975,4603,3431,2340,2716,2150,2008,2164,1779,1982,1735,1658,-,-,-
9,Prepaid Expenses,-,10.47,-,10.93,-,0.83,-,0.75,-,6.31,-,2.18,-,-,-
10,Other Current Assets,1414,85.03,2610,133.01,2355,143.3,556.84,23.42,349.27,43.59,56.59,34.86,-,-,-
11,Total Current Assets,13312,12477,13273,11799,10856,8649,8951,8632,8370,8479,6850,4516,-,-,-
12,"Property, Plant & Equipment",1002,983.74,916.53,909.07,854.89,857.3,859.34,829.48,780.26,756.05,732.36,702.13,-,-,-
13,Long-Term Investments,-,-,-,-,-,933,-,-,-,100,-,-,-,-,-
14,Other Intangible Assets,51.59,51.97,52.45,52.95,53.5,53.02,53.52,50.75,51.25,51.7,51.51,52.03,-,-,-
15,Long-Term Deferred Tax Assets,177.91,156.45,130.63,97.26,129.46,132.33,94.06,97.79,118.96,106.24,79.86,81.34,-,-,-
16,Long-Term Deferred Charges,28.19,19.23,22.1,23.2,26.16,18.8,17.59,16.46,17.94,18.68,21.08,24.06,-,-,-
17,Other Long-Term Assets,1699,1420,1233,1209,1564,11.47,361.01,267.03,103.58,2.38,1.75,1.49,-,-,-
18,Total Assets,16271,15108,15628,14091,13484,10655,10336,9893,9442,9514,7736,5377,-,-,-
19,Accounts Payable,2579,2822,2407,2588,2245,1918,1651,1806,2070,2154,1969,1899,-,-,-
20,Accrued Expenses,167,155.93,97.8,245.64,162.17,160.16,89.25,227.3,176.02,151.62,90.92,189.74,-,-,-
21,Short-Term Debt,5814,4752,5541,4042,4142,2086,1996,1517,1175,1689,261.18,226.98,-,-,-
22,Current Portion of Leases,2.33,2.42,2.41,2.42,-,-,-,-,-,-,-,-,-,-,-
23,Current Income Taxes Payable,69.37,52.88,64.33,4.34,63.98,26.26,36.16,55.38,179.26,68.47,108.45,41.76,-,-,-
24,Current Unearned Revenue,381.91,235.14,282.97,176.76,339.62,333.93,317.15,298.39,235.32,296.39,335.05,241.77,-,-,-
25,Other Current Liabilities,20.73,28.15,20.7,32.79,17.53,35.52,13.1,21.13,14.33,29.13,10.91,47.65,-,-,-
26,Total Current Liabilities,9035,8049,8416,7092,6971,4560,4102,3925,3850,4389,2775,2647,-,-,-
27,Long-Term Leases,3.11,3.64,4.49,4.99,-,-,-,-,-,-,-,-,-,-,-
28,Long-Term Unearned Revenue,3.05,2.78,2.95,3.13,2.79,3.12,3.51,3.79,5.04,5.39,2.6,3.36,-,-,-
29,Long-Term Deferred Tax Liabilities,6.69,5.85,4.18,5.67,3.81,2.9,5.69,6.78,2.03,0.53,0.06,1.19,-,-,-
30,Other Long-Term Liabilities,40.38,43.55,37.1,37.1,26.06,26.97,28.26,27.39,32.47,32.47,38.36,37.42,-,-,-
31,Total Liabilities,9088,8105,8465,7143,7003,4593,4140,3963,3890,4428,2816,2689,-,-,-
32,Common Stock,687.04,686.57,686.22,685.42,683.88,680.2,523.23,523.23,523.23,523.23,402.49,360,-,-,-
33,Additional Paid-In Capital,2501,2469,2442,2411,2363,2270,2398,2385,2377,2368,2484,526.3,-,-,-
