,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,36,57,66,95,95,95,171,186,200,308,737
1,Market Cap Growth,-40.25%,-40.25%,-30.38%,0%,-44.37%,-48.70%,-14.46%,-39.84%,-72.88%,-82.09%,-55.05%
2,Enterprise Value,278,321,325,348,348,357,436,454,494,492,1114
3,Last Close Price,0.15,0.24,0.28,0.40,0.40,0.40,0.71,0.77,0.83,1.28,3.06
4,PE Ratio,-,-,-,-0.11,-,-,-,-0.50,-,-,-
5,PS Ratio,1.46,2.29,0.98,0.69,0.45,0.20,0.25,0.15,0.18,0.29,0.43
6,PB Ratio,-0.08,-0.08,-0.09,-0.16,-0.13,0.32,0.41,0.16,0.18,0.22,0.52
7,P/TBV Ratio,-,-,-,-,-,0.33,0.41,0.16,0.18,0.22,0.52
8,P/FCF Ratio,-,-,-,-9.52,-,-5.70,-,1.73,-24.82,-,-35.15
9,P/OCF Ratio,-,-,-,-9.56,-,-5.72,-,1.73,-25.21,-,-36.04
10,EV/Sales Ratio,11.20,12.93,4.81,2.52,1.63,0.75,0.64,0.38,0.46,0.47,0.65
11,EV/EBITDA Ratio,-,-5.75,-,-0.51,-,-,-,-1.17,-,-,12.25
12,EV/EBIT Ratio,-,-5.52,-,-0.51,-,-,-,-1.15,-,-,-
13,EV/FCF Ratio,-19.61,-,-,-34.86,-,-21.42,-,4.23,-61.28,-,-53.10
14,Debt / Equity Ratio,-0.34,-0.34,-0.37,-0.42,-0.38,0.90,0.72,0.31,0.41,0.27,0.33
15,Debt / FCF Ratio,-,-,-,-25.97,-,-16.17,-,3.21,-56.85,-,-22.35
16,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-34.80%,-,-,-
17,Earnings Yield,-265.40%,-168.68%,-27.44%,-929.90%,-1158.21%,-829.53%,-414.84%,-198.51%,-197.02%,-9.98%,7.03%
18,FCF Yield,-39.23%,-24.94%,-8.68%,-10.50%,-9.61%,-17.53%,3.56%,57.85%,-4.03%,-11.95%,-2.84%
19,Buyback Yield / Dilution,-,-,-,0.00%,-0.00%,-0.00%,-,-1.35%,-8.99%,-11.74%,
20,Total Shareholder Return,-,-,-,0.00%,-0.00%,-0.00%,-,-1.35%,-8.99%,-11.74%,
