,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,2835,3176,2626,2755,2075,1856,1321,1129,864.38,1218
1,Revenue Growth (YoY),7.95%,15.30%,26.54%,48.45%,57.15%,64.38%,52.78%,-7.31%,-20.81%,6.75%
2,Cost of Revenue,2383,2634,2085,2162,1628,1484,1067,942.96,691.98,987.82
3,Gross Profit,451.97,542.66,540.96,592.81,447.8,371.91,253.27,185.85,172.4,230.02
4,"Selling, General & Admin",296.78,384.79,327.82,282.71,250.83,227.01,187.03,165.72,120.91,154.18
5,Operating Expenses,296.78,384.79,327.82,282.71,250.83,227.01,187.03,165.72,120.91,154.18
6,Operating Income,155.19,157.88,213.14,310.11,196.97,144.9,66.24,20.13,51.49,75.84
7,Interest Expense,-56.93,-53.9,-46.82,-28.79,-15.75,-12.37,-11.16,-10.36,-9.59,-16.48
8,Interest & Investment Income,3.86,-,3.29,1.55,2.71,2.62,2.33,1.44,2.55,3.5
9,Earnings From Equity Investments,0.31,0.05,-0.26,2.55,-0.45,0.88,-0.31,-0.63,-0.4,-0.97
10,Currency Exchange Gain (Loss),-29.12,-13.37,-35.55,-24.5,-23.97,3,-0.13,31.79,-3.7,-14.48
11,Other Non Operating Income (Expenses),8.39,13,11.35,14.7,8.21,10.99,9.76,8.09,7.31,9.8
12,EBT Excluding Unusual Items,81.69,103.67,145.15,275.62,167.71,150.03,66.73,50.45,47.66,57.22
13,Gain (Loss) on Sale of Investments,-,53.38,-,11.59,-,-,-,-,-,-
14,Gain (Loss) on Sale of Assets,-,-0.04,0.04,-0.03,0.03,-0.01,0.01,-0.07,0.07,-0.02
15,Pretax Income,81.69,157.01,145.19,287.18,167.74,150.03,66.74,50.38,47.73,57.2
16,Income Tax Expense,-13.4,-3.42,-6.93,27.47,16.35,13.26,3.3,0.53,2.78,1.31
17,Earnings From Continuing Operations,95.09,160.44,152.11,259.71,151.4,136.77,63.44,49.85,44.95,55.89
18,Minority Interest in Earnings,2.59,2.51,2.34,2.7,1.16,0.4,-,-,-,-
19,Net Income,97.68,162.94,154.46,262.41,152.56,137.17,63.44,49.85,44.95,55.89
20,Net Income to Common,97.68,162.94,154.46,262.41,152.56,137.17,63.44,49.85,44.95,55.89
21,Net Income Growth,-36.76%,-37.91%,1.25%,91.30%,140.48%,175.16%,41.13%,-10.81%,-28.45%,-40.04%
22,Shares Outstanding (Basic),1088,1088,1087,1087,1085,1084,1075,1036,1036,1036
23,Shares Outstanding (Diluted),1088,1089,1104,1101,1094,1108,1090,1036,1036,1040
24,Shares Change (YoY),-1.46%,-1.06%,0.94%,-0.61%,0.33%,6.93%,5.22%,-0.34%,-0.52%,2.66%
25,EPS (Basic),0.09,0.15,0.14,0.24,0.14,0.13,0.06,0.05,0.04,0.05
26,EPS (Diluted),0.09,0.15,0.14,0.24,0.14,0.12,0.06,0.05,0.04,0.05
27,EPS Growth,-35.82%,-37.23%,0.29%,92.51%,139.69%,157.32%,34.14%,-10.59%,-28.05%,-41.57%
28,Free Cash Flow,-,-85.5,-63.63,-334,-33.57,-146.2,82.13,-11.62,89.88,75.07
29,Free Cash Flow Per Share,-,-0.08,-0.06,-0.30,-0.03,-0.13,0.08,-0.01,0.09,0.07
30,Operating Margin,5.47%,4.97%,8.12%,11.26%,9.49%,7.81%,5.02%,1.78%,5.96%,6.23%
31,Profit Margin,3.45%,5.13%,5.88%,9.53%,7.35%,7.39%,4.80%,4.42%,5.20%,4.59%
32,Free Cash Flow Margin,-,-2.69%,-2.42%,-12.13%,-1.62%,-7.88%,6.22%,-1.03%,10.40%,6.16%
33,EBITDA,181.6,181.55,242.3,327.18,217.77,159.16,80.01,31.22,67.08,86.3
34,D&A For EBITDA,26.41,23.67,29.16,17.07,20.8,14.25,13.78,11.09,15.59,10.46
35,EBIT,155.19,157.88,213.14,310.11,196.97,144.9,66.24,20.13,51.49,75.84
