,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,1904,1545,2415,4948,4435,6348,5857,4824,3025,2362,2310
1,Market Cap Growth,-68.78%,-68.78%,-45.54%,-22.06%,-24.28%,31.59%,93.62%,104.23%,30.94%,-31.94%,-17.41%
2,Enterprise Value,3211,2784,3343,5664,4670,6442,5620,4897,2971,2328,2240
3,Last Close Price,1.75,1.42,2.10,4.31,3.75,5.38,4.87,4.01,2.62,2.04,1.97
4,PE Ratio,6.80,5.52,6.91,10.98,9.45,18.71,23.79,35.41,26.87,21.35,17.40
5,Forward PE,6.62,4.00,3.69,7.64,10.98,23.66,25.65,20.41,17.78,13.63,10.37
6,PS Ratio,0.29,0.24,0.38,0.85,0.81,1.38,1.50,1.64,1.28,1.03,0.89
7,PB Ratio,0.75,0.61,0.93,2.10,1.83,2.95,2.74,2.52,1.97,1.72,1.67
8,P/TBV Ratio,0.74,0.74,0.94,2.50,1.85,3.48,2.77,2.82,2.01,1.84,1.69
9,P/FCF Ratio,-,-,-,-,-,-,-,56.88,-,13.05,-20.32
10,P/OCF Ratio,-,-,-,-16.59,-,-,-,33.22,18.99,7.88,234.65
11,PEG Ratio,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
12,EV/Sales Ratio,0.50,0.43,0.52,0.97,0.86,1.40,1.44,1.66,1.26,1.02,0.87
13,EV/EBITDA Ratio,8.22,7.13,7.16,9.20,7.58,14.59,19.14,36.61,25.45,13.84,11.11
14,EV/EBIT Ratio,9.54,8.28,8.18,10.02,8.15,16.09,21.69,47.15,34.93,16.67,12.54
15,EV/FCF Ratio,-,-,-,-,-,-,-,57.75,-,12.86,-19.69
16,Debt / Equity Ratio,0.82,0.82,0.71,0.65,0.46,0.37,0.38,0.31,0.35,0.35,0.39
17,Debt / FCF Ratio,-,-,-,-,-,-,-,6.99,-,2.67,-4.76
18,Return on Capital Employed (ROCE),11.44%,11.44%,14.03%,22.04%,23.39%,18.38%,11.98%,5.38%,5.48%,10.09%,12.70%
19,Earnings Yield,14.71%,18.13%,14.48%,9.10%,10.58%,5.35%,4.20%,2.82%,3.72%,4.68%,5.75%
20,FCF Yield,-,-6.80%,-8.68%,-9.37%,-3.32%,-1.34%,1.76%,3.07%,7.66%,-4.92%,
21,Buyback Yield / Dilution,1.26%,1.46%,1.06%,-0.94%,0.61%,-0.33%,-6.93%,-5.22%,0.34%,0.52%,-2.66%
22,Total Shareholder Return,6.86%,1.46%,1.06%,-0.94%,0.61%,-0.33%,-6.93%,-5.22%,0.34%,0.52%,-2.66%
