,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,1878,2682,1851,1636,1878,1690,1744,2226,2280,2065,2414,Upgrade
1,Market Cap Growth,63.93%,63.93%,-1.43%,-3.17%,7.69%,-24.10%,-23.53%,7.79%,-5.56%,-20.62%,-14.29%,Upgrade
2,PE Ratio,31.01,44.30,21.59,14.23,18.72,21.59,20.03,41.05,49.32,47.04,50.57,Upgrade
3,PS Ratio,35.01,50.01,22.67,21.26,30.76,17.57,16.30,19.90,22.33,17.31,17.94,Upgrade
4,PB Ratio,0.68,0.97,0.66,0.59,0.68,0.63,0.64,0.83,0.86,0.78,0.92,Upgrade
5,P/FCF Ratio,12.88,18.40,19.55,7.10,7.84,84.73,-,41.21,-,10.18,-17.09,Upgrade
6,P/OCF Ratio,18.31,18.31,19.39,7.09,7.82,84.29,-,41.16,-,10.18,-17.10,Upgrade
7,Debt / Equity Ratio,0.04,0.04,0.04,0.02,0.05,0.08,0.09,0.09,0.10,0.10,0.11,Upgrade
8,Debt / FCF Ratio,0.78,0.78,1.23,0.21,0.58,11.21,-,4.64,-,1.36,-2.01,Upgrade
9,Earnings Yield,3.22%,2.26%,4.63%,7.03%,5.34%,4.63%,4.99%,2.44%,2.03%,2.13%,1.98%,Upgrade
10,Earnings Yield,3.22%,2.26%,4.63%,7.03%,5.34%,4.63%,4.99%,2.44%,2.03%,2.13%,1.98%,Upgrade
11,FCF Yield,7.76%,5.43%,5.12%,14.08%,12.75%,1.18%,0.83%,2.43%,6.52%,9.83%,-5.85%,Upgrade
