,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,2177416,2094636,2180689,1563353,2082218,1020979,993781,1669780,2581358,3349117,2615317,2237410,2291978,1782833,897049,1331633,1475766,1028099,1113582,490459,Upgrade
1,Short-Term Investments,1119239,1035059,1149586,1159828,780833,1159183,1041655,1077654,1006095,176952,152774,139931,144292,83241,101656,66542,62891,99782,149782,146627,Upgrade
2,Cash & Short-Term Investments,3296655,3129696,3330275,2723181,2863051,2180163,2035436,2747434,3587453,3526069,2768091,2377341,2436269,1866073,998705,1398175,1538657,1127882,1263364,637086,Upgrade
3,Cash Growth,15.14%,43.55%,63.61%,-0.88%,-20.19%,-38.17%,-26.47%,15.57%,47.25%,88.96%,177.17%,70.03%,58.34%,65.45%,-20.95%,119.46%,105.80%,38.39%,99.40%,30.32%,Upgrade
4,Accounts Receivable,1920002,2195230,2144577,2009432,1924734,1904820,1603915,1908821,2251380,2395077,1446895,2104653,2284026,2665482,2263434,1430350,1629005,1616810,1171043,1451654,Upgrade
5,Other Receivables,91379,49393,44136,62392,56757,69704,38320,90461,39916,92619,100834,92079,39858,226254,292162,248421,111331,41959,67933,50579,Upgrade
6,Receivables,2320925,2654498,2602437,2350549,2270216,2270748,1937327,2294362,2546388,2682083,1612129,2203618,2384401,2895123,2640582,1682271,1740336,1660119,1241626,1506533,Upgrade
7,Inventory,1588459,1429695,1540210,1113062,943727,871862,1022249,920838,890118,998869,950771,765664,903574,1073665,1261034,976873,729554,1069890,1124514,1089711,Upgrade
8,Prepaid Expenses,17693,15377,19741,14000,12689,11046,13221,9336,11278,5873,9246,7991,9033,2667,4366,3946,2881,2293,3470,2652,Upgrade
9,Other Current Assets,842013,852373,821805,955979,778718,903367,967394,928945,878167,1015609,1304512,1072319,856162,1000818,1353074,1596561,1703803,1533891,1151909,742250,Upgrade
10,Total Current Assets,8065745,8081638,8314469,7156771,6868402,6237186,5975626,6900915,7913405,8228503,6644749,6426934,6589440,6838345,6257761,5657826,5715232,5394074,4784883,3978232,Upgrade
11,"Property, Plant & Equipment",9331312,9414648,9392204,9508697,9631925,9773544,9887998,9991447,9977451,9672268,9659053,9544172,9585184,8751768,7587399,5848761,4180612,4006375,3794735,3797024,Upgrade
12,Long-Term Investments,1708564,1656397,1645833,1655674,1606570,1603098,1607521,1541821,1538001,1545770,1548889,1345022,638667,417309,397225,397038,81345,67805,66960,65086,Upgrade
13,Goodwill,181248,190021,198795,207568,216342,225116,233889,242663,251436,240384,248668,256975,265234,425540,281875,272289,283882,319390,347565,586494,Upgrade
14,Other Intangible Assets,1175880,1189085,1395089,1411880,1428799,1445646,1463787,1481950,1498895,920797,934074,944668,1156121,968648,979858,2491,1892,1918,1954,2051,Upgrade
15,Long-Term Deferred Tax Assets,30292,29624,31494,33768,34227,37971,39759,39561,40711,2983,4382,3313,23248,23004,58277,32003,13597,-,-,-,Upgrade
16,Other Long-Term Assets,461888,459975,473682,440196,448534,483078,523189,519598,534514,666100,646848,648433,429141,373280,377573,366719,445108,364542,354278,285864,Upgrade
17,Total Assets,20954929,21021389,21451566,20414554,20234798,19805639,19731769,20717955,21754414,21276805,19686662,19169517,18687035,17797894,15939967,12577127,10721668,10154104,9350375,8714751,Upgrade
18,Accounts Payable,1109812,941185,1043043,894280,1048602,887395,972983,1007479,1284962,1735342,922268,1139555,1756356,2714996,2483535,1841106,1107919,937391,686912,638767,Upgrade
19,Accrued Expenses,490240,492273,962532,463157,416565,468534,362676,394192,451491,424247,349668,270908,311327,624652,306114,265235,302360,293218,374039,225762,Upgrade
20,Short-Term Debt,2103519,2354011,2609867,2527235,2092379,1773605,1952200,2648303,3231035,2764568,2424676,2645735,2481726,2408097,4096318,2401288,1436680,1442147,1335316,1196693,Upgrade
21,Current Portion of Long-Term Debt,846765,977250,909839,602740,744513,495487,462697,464727,446229,425448,398837,326692,340677,163897,165493,153050,149768,117358,158651,231410,Upgrade
22,Current Portion of Leases,-,1212,1719,1587,1587,1587,572.03,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
23,Current Income Taxes Payable,99320,74645,49500,58255,64860,56008,16692,7270,78446,89907,21175,11697,22637,44847,81048,38370,91633,60231,55015,22813,Upgrade
24,Current Unearned Revenue,7632,6955,5332,15417,4697,3022,3880,2383,1965,1294,914.81,926.74,837.79,13841,69356,5896,852.89,820.27,690.71,966.33,Upgrade
25,Other Current Liabilities,404523,407093,274172,451459,341418,510138,419991,394015,456220,739598,884470,953613,885148,275464,423944,541235,654606,461531,221201,491326,Upgrade
26,Total Current Liabilities,5061811,5254624,5856005,5014130,4714621,4195775,4191691,4918369,5950348,6180404,5002010,5349127,5798709,6245793,7625807,5246180,3743819,3312697,2831825,2807739,Upgrade
27,Long-Term Debt,7830630,7796420,7831981,7700698,7901191,8126580,8129497,8214870,8280357,8248133,7846030,7042930,6237700,5214873,2188144,2144519,2171328,2146982,2216927,2086070,Upgrade
28,Long-Term Leases,-,-,21.85,418.5,815.15,2805,2712,3599,3833,-,-,-,-,-,-,-,-,-,-,-,Upgrade
29,Long-Term Unearned Revenue,480.76,807.88,807.88,926.92,926.92,1254,-,-,339.35,-,459.72,459.72,459.72,-,-,-,-,-,-,-,Upgrade
30,Long-Term Deferred Tax Liabilities,305206,299021,298851,302075,304987,308444,311807,312965,315982,263021,292900,302996,325820,278970,253789,13501,14587,18200,18195,18195,Upgrade
31,Other Long-Term Liabilities,57162,43773,49827,41625,41860,34648,26674,31209,30808,34447,44580,39817,43510,23041,25537,20838,22408,13551,11846,10425,Upgrade
32,Total Liabilities,13255290,13394646,14037494,13059873,12964400,12669506,12662381,13481011,14581667,14726005,13185980,12735329,12406199,11762677,10093276,7425038,5952142,5491430,5078793,4922429,Upgrade
33,Common Stock,3576421,3109956,3109956,3109956,3109956,2704330,2704330,2704330,2704330,2351596,2351596,2351596,2351596,1911882,1911882,1911882,1911882,1593243,1593243,1593243,Upgrade
34,Additional Paid-In Capital,711137,711137,711137,711137,711137,711137,711137,711137,711137,711137,711137,711137,711137,711137,711137,711137,711137,711137,711137,711137,Upgrade
35,Retained Earnings,1112338,1520724,1374298,1329074,1249524,1581976,1523817,1620190,1605605,1764240,1701058,1682700,1549569,1786139,1642959,1349228,1275540,1508747,1349490,1148758,Upgrade
36,Treasury Stock,-,-,-,-,-,-,-,-,-,-,-,-,-,-4.32,-4.32,-4.32,-4.32,-4.32,-4.32,-4.32,Upgrade
37,Comprehensive Income & Other,113649,113323,117208,113197,113064,113122,107737,95026,95037,95153,95153,88929,88929,88929,88929,88881,88881,70992,70992,70818,Upgrade
38,Total Common Equity,5513544,5455139,5312599,5263364,5183680,5110565,5047020,5130683,5116108,4922126,4858944,4834362,4701231,4498082,4354902,4061123,3987435,3884113,3724856,3523951,Upgrade
39,Minority Interest,2186095,2171604,2101473,2091318,2086717,2025568,2022368,2106261,2056638,1628675,1641739,1599825,1579605,1537135,1491789,1090966,782091,778561,546726,268371,Upgrade
40,Shareholders' Equity,7699639,7626743,7414072,7354681,7270397,7136133,7069388,7236944,7172746,6550801,6500682,6434187,6280836,6035217,5846691,5152089,4769526,4662674,4271582,3792322,Upgrade
41,Total Liabilities & Equity,20954929,21021389,21451566,20414554,20234798,19805639,19731769,20717955,21754414,21276805,19686662,19169517,18687035,17797894,15939967,12577127,10721668,10154104,9350375,8714751,Upgrade
42,Total Debt,10780914,11128893,11353428,10832678,10740485,10400063,10547678,11331498,11961454,11438148,10669543,10015357,9060104,7786867,6449955,4698857,3757776,3706487,3710894,3514174,Upgrade
43,Net Cash (Debt),-7484259,-7999198,-8023153,-8109497,-7877434,-8219900,-8512243,-8584064,-8374001,-7912080,-7901452,-7638016,-6623835,-5920793,-5451250,-3300683,-2219119,-2578606,-2447530,-2877088,Upgrade
