,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,6640,3791,5279,6374,13076,23337,33683,71516,91225,-,-
1,Market Cap Growth,-40.52%,-40.52%,-59.63%,-72.69%,-61.18%,-67.37%,-63.08%,-,-,-,-
2,Enterprise Value,2648,-762,813,1344,7676,16337,25815,63463,90753,-,-
3,Last Close Price,3.66,2.03,2.78,3.39,6.77,12.12,17.02,36.94,45.71,-,-
4,PE Ratio,-,-,-,-,-,-,-,-97.61,-,-,-
5,Forward PE,131.07,85.49,-,-,-,59.97,62.31,116.47,177.55,-,-
6,PS Ratio,3.95,2.21,2.92,3.48,6.37,9.52,12.56,29.61,45.05,-,-
7,PB Ratio,1.33,0.75,0.97,1.16,2.27,3.63,4.63,9.06,11.69,-,-
8,P/TBV Ratio,0.75,0.75,0.97,1.16,2.28,3.66,4.67,9.21,11.75,-,-
9,P/FCF Ratio,-,-,-32.54,-,-24.00,-,-,-,212.13,-,-
10,P/OCF Ratio,-,-,-34.49,-,-31.44,-,307.79,158.54,189.23,-,-
11,PEG Ratio,-,-,-,-,-,3.74,2.08,3.57,5.38,-,-
12,EV/Sales Ratio,1.54,-,0.45,0.73,3.74,6.67,9.63,26.28,44.81,-,-
13,EV/EBITDA Ratio,-,-,-,-,-,-,-,199.54,268.24,-,-
14,EV/EBIT Ratio,-,-,-,-,-,-,-,211.87,277.52,-,-
15,EV/FCF Ratio,-67.24,-,-5.01,-,-14.09,-,-,-,211.03,-,-
16,Debt / Equity Ratio,0.02,0.02,0.03,0.03,0.04,0.04,0.02,0.01,0.01,1.14,1.34
17,Debt / FCF Ratio,-,-,-0.90,-,-0.47,-,-,-,0.17,1.02,1.12
18,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,3.77%,4.15%,74.13%,75.33%
19,Earnings Yield,-6.11%,-10.70%,-12.22%,-15.53%,-9.98%,-5.37%,-1.25%,-1.02%,-0.92%,-,-
20,FCF Yield,-0.59%,-1.04%,-3.07%,-4.51%,-4.17%,-3.20%,-0.58%,0.53%,0.47%,-,-
21,Buyback Yield / Dilution,-2.03%,-1.80%,-2.26%,3.33%,2.77%,-0.13%,-16.84%,-40.34%,-17.47%,-0.14%,-
22,Total Shareholder Return,0.70%,-1.80%,-2.26%,3.33%,2.77%,-0.13%,-16.84%,-40.34%,-17.47%,-0.14%,-
