,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,1903248,2111955,3975121,3116621,2284400,2304957,2140644,2386904,2125625,772152,1996496,1045379,427653,663120,1159558,435783,509995,373810,563542,389863,Upgrade
1,Short-Term Investments,6708759,6503600,6653671,7813572,8243174,7512000,8372000,6842000,6812673,6912000,5212000,5562000,4362000,3412000,2932000,2602000,2302000,2202000,1902000,2002000,Upgrade
2,Cash & Short-Term Investments,8612008,8615555,10628792,10930194,10527574,9816957,10512644,9228904,8938298,7684152,7208496,6607379,4789653,4075120,4091558,3037783,2811995,2575810,2465542,2391863,Upgrade
3,Cash Growth,-18.20%,-12.24%,1.10%,18.43%,17.78%,27.76%,45.84%,39.68%,86.62%,88.56%,76.18%,117.51%,70.33%,58.21%,65.95%,27.00%,13.70%,22.50%,3.81%,-13.77%,Upgrade
4,Accounts Receivable,230645,339848,432848,7988,198471,4219,66042,7180,1405,433269,750723,13951,7164,1399,14988,1066,44613,294200,23611,3343,Upgrade
5,Other Receivables,65227,61635,58094,97208,108626,195531,203867,123054,95860,80207,54922,54973,93038,76271,71056,113514,154940,161188,253716,365742,Upgrade
6,Receivables,295872,401483,490942,105197,307097,199749,269909,130234,97265,513476,805645,68924,100201,77670,86045,114580,199552,455389,277327,369085,Upgrade
7,Inventory,2950301,3172773,2789840,2278973,2160588,2418732,2300583,2244293,2282528,2111601,2546620,2061619,2204078,1446281,886077,738921,834135,1029378,1300334,1654372,Upgrade
8,Prepaid Expenses,316757,298346,314353,311518,306058,32355,61824,58419,49287,36269,39061,60277,28842,11479,21040,35670,34291,18222,8843,27004,Upgrade
