,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,4213742,2634448,3863354,2744041,3534299,3010593,3290948,2734703,4458812,3307144,4083772,4074799,3821716,1811730,2363563,1872753,2266344,2018986,1929163,1346782,Upgrade
1,Revenue Growth (YoY),19.22%,-12.49%,17.39%,0.34%,-20.73%,-8.97%,-19.41%,-32.89%,16.67%,82.54%,72.78%,117.58%,68.63%,-10.27%,22.52%,39.05%,7.52%,35.64%,-3.53%,-6.93%,Upgrade
2,Cost of Revenue,3405405,2259692,3242565,2034440,2618848,2833260,2920607,2166028,3087294,2299681,2736579,2097543,2419541,1228558,1835291,1605436,1823403,1762049,1512427,1146549,Upgrade
3,Gross Profit,808337,374757,620789,709602,915451,177333,370341,568675,1371517,1007463,1347193,1977256,1402176,583172,528272,267317,442940,256938,416737,200233,Upgrade
4,"Selling, General & Admin",514485,276094,252750,452088,479383,277484,195300,397021,324248,299172,306287,421183,356544,225700,232514,134134,247699,170638,155254,99816,Upgrade
5,Operating Expenses,514485,276094,252750,452088,479383,277484,195300,397021,324248,299172,306287,421183,356544,225700,232514,134134,247699,170638,155254,99816,Upgrade
6,Operating Income,293852,98663,368039,257513,436068,-100151,175041,171654,1047269,708291,1040907,1556074,1045631,357471,295758,133183,195241,86300,261482,100417,Upgrade
7,Interest Expense,-15650,-12655,-8839,-7237,-3945,-2551,-3591,-68.78,-385.95,-2310,-,-7579,-12460,-772.32,-1864,-3484,-5093,-7586,-15239,-15383,Upgrade
8,Interest & Investment Income,67935,39144,140049,35600,119015,200152,95496,103812,89605,80618,53853,38073,41844,39924,25869,23198,28365,32572,24998,26005,Upgrade
9,Currency Exchange Gain (Loss),39248,-,-54906,82001,-11732,-,43212,9917,-25282,-,8010,6004,3829,-,4976,3915,3622,-,3016,-7697,Upgrade
10,Other Non Operating Income (Expenses),10739,6395,-749.78,14781,1480,7242,13605,154.76,-8143,-1022,-4798,13841,-929.56,-3284,-1229,4039,2670,-1178,7116,-3438,Upgrade
11,EBT Excluding Unusual Items,396124,131547,443593,382658,540885,104692,323764,285469,1103063,785576,1097972,1606414,1077915,393340,323510,160851,224805,110107,281373,99905,Upgrade
12,Gain (Loss) on Sale of Assets,-3392,-,3392,-,-,-,-,-,1385,-,1756,-,-,-,552.26,-,-,-,-,-,Upgrade
13,Other Unusual Items,492.37,-,167649,-,-279,-,279,-,29.06,-,9.59,107.72,65.94,-,-516.88,552.26,107.06,-,67.08,168.61,Upgrade
14,Pretax Income,393224,131547,614634,382658,540606,104692,324043,285469,1104477,785576,1099738,1606521,1077981,393340,323546,161403,222762,110107,283591,100073,Upgrade
15,Income Tax Expense,21151,10931,28913,33062,46989,30563,34207,32907,55454,54767,76057,88953,74518,19490,26082,10056,22298,7695,16513,7582,Upgrade
16,Earnings From Continuing Operations,372073,120616,585721,349595,493617,74129,289836,252561,1049023,730809,1023681,1517568,1003464,373850,297464,151347,200464,102413,267078,92492,Upgrade
17,Minority Interest in Earnings,-3249,-248.77,-1258,-3593,1382,-423.63,-1282,-926.14,-1543,-3042,1479,-2021,872.22,2844,-1711,-4671,983.43,-1210,-,-1174,Upgrade
18,Net Income,368825,120368,584464,346002,494999,73705,288553,251635,1047479,727767,1025160,1515547,1004336,376695,295753,146675,201447,101203,267078,91318,Upgrade
19,Preferred Dividends & Other Adjustments,87312,-,21287,43657,96313,-,20106,41050,184303,-,17964,36526,137497,-,19223,40071,66952,-,24797,30922,Upgrade
20,Net Income to Common,281512,120368,563176,302345,398686,73705,268447,210585,863176,727767,1007196,1479022,866839,376695,276530,106604,134496,101203,242281,60396,Upgrade
21,Net Income Growth,-25.49%,63.31%,102.55%,37.50%,-52.74%,-89.87%,-71.85%,-83.40%,4.30%,93.20%,246.63%,933.27%,398.56%,272.22%,10.74%,60.62%,70.13%,1413.33%,133.49%,-51.09%,Upgrade
22,Shares Outstanding (Basic),666,644,437,508,610,730,369,490,648,572,494,522,585,559,529,529,777,229,1205,154,Upgrade
23,Shares Outstanding (Diluted),666,644,437,508,610,730,369,490,648,572,494,522,585,559,529,529,777,229,1205,154,Upgrade
24,Shares Change (YoY),9.20%,-11.80%,18.39%,3.73%,-5.89%,27.55%,-25.35%,-6.20%,10.73%,2.37%,-6.68%,-1.40%,-24.75%,143.54%,-56.07%,244.67%,26.35%,-56.65%,92.04%,-64.38%,Upgrade
25,EPS (Basic),422.86,187.00,1289.90,595.27,653.98,101.00,727.92,430.06,1332.52,1272.00,2038.64,2833.36,1481.72,674.00,522.35,201.37,172.99,441.00,201.04,393.22,Upgrade
26,EPS (Diluted),422.86,187.00,1289.90,595.27,653.98,101.00,727.92,430.06,1332.52,1272.00,2038.64,2833.36,1481.72,674.00,522.35,201.37,172.99,441.00,201.04,393.22,Upgrade
27,EPS Growth,-35.34%,85.15%,77.20%,38.41%,-50.92%,-92.06%,-64.29%,-84.82%,-10.07%,88.72%,290.29%,1307.05%,756.51%,52.83%,159.82%,-48.79%,87.25%,-,27.92%,10.79%,Upgrade
28,Free Cash Flow,587206,-1112270,109431,-297967,-36796,687425,912993,205261,1246222,1792138,584968,1961351,350836,439729,1096706,524608,662467,720400,236800,-111900,Upgrade
