,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,167,76,76,92,106,116,130,98,106,132,-
1,Market Cap Growth,-17.39%,-17.39%,-28.30%,-20.69%,-18.46%,18.37%,22.64%,-25.76%,-,-,-
2,Enterprise Value,152,90,92,81,56,60,80,38,42,151,-
3,Last Close Price,0.08,0.04,0.04,0.05,0.05,0.06,0.06,0.04,0.05,0.06,-
4,PE Ratio,6.89,3.12,-,-,8.44,5.24,8.68,6.27,64.36,-,-
5,PS Ratio,0.35,0.16,0.20,0.26,0.26,0.28,0.36,0.32,0.41,0.45,-
6,PB Ratio,0.78,0.35,0.39,0.45,0.44,0.47,0.52,0.41,0.45,0.61,-
7,P/TBV Ratio,0.35,0.35,0.39,0.46,0.46,0.49,0.53,0.42,0.45,0.61,-
8,P/FCF Ratio,3.95,1.80,-7.00,-,-,3.75,14.30,-,-,-,-
9,P/OCF Ratio,1.28,1.28,3.58,-,2.20,1.56,2.92,-,5.20,3.63,-
10,EV/Sales Ratio,0.32,0.19,0.25,0.23,0.14,0.14,0.22,0.13,0.16,0.51,-
11,EV/EBITDA Ratio,2.14,1.56,1371.42,-,2.61,1.46,2.41,1.24,1.44,3.64,-
12,EV/EBIT Ratio,3.92,2.31,-5.21,-,-,2.46,4.72,-,2.96,-,-
13,EV/FCF Ratio,3.59,2.13,-8.46,-,-,1.94,8.84,-,-,-,-
14,Debt / Equity Ratio,0.19,0.19,0.25,0.24,0.21,0.18,0.18,0.21,0.23,0.27,0.44
15,Debt / FCF Ratio,0.98,0.98,-4.44,-,-,1.46,5.08,-,-,-,1.30
16,Return on Capital Employed (ROCE),16.41%,16.51%,-8.15%,-,-,9.07%,6.25%,-,5.42%,-,25.89%
17,Earnings Yield,14.59%,32.07%,-33.78%,-16.82%,11.85%,19.07%,11.53%,15.94%,1.55%,2.56%,-
18,FCF Yield,25.32%,55.69%,-14.29%,-44.82%,-4.54%,26.67%,6.99%,-10.09%,-2.55%,22.14%,-
19,Buyback Yield / Dilution,-,-,-,-,-,0.05%,-10.81%,-33.40%,-20.33%,-,
20,Total Shareholder Return,-,-,-,-,-,0.05%,-10.81%,-33.40%,-20.33%,-,
