,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,56.76,34.16,32.84,62.33,95.51,102.1,99.44,114.74,123.83,43.81
1,Cash & Short-Term Investments,56.76,34.16,32.84,62.33,95.51,102.1,99.44,114.74,123.83,43.81
2,Cash Growth,72.86%,-45.19%,-65.62%,-38.96%,-3.96%,-11.02%,-19.70%,161.93%,-,-
3,Accounts Receivable,45.95,44.91,33.66,42.92,49.19,53.69,34.28,36.72,24.89,48.33
4,Other Receivables,0.07,0.07,0.07,0.77,-,0.08,1.47,0.88,0.13,0.38
5,Receivables,46.02,44.98,33.73,43.69,49.19,53.77,35.75,37.61,25.02,48.7
6,Inventory,64.51,70.16,73.32,68.76,58.07,65.11,59.2,52.94,50.46,44.57
7,Prepaid Expenses,22.2,17.88,15.02,16.98,16.8,15.39,23.88,8.14,8.18,12.97
8,Other Current Assets,4.34,14.58,14.14,14.14,-,-,-,-,-,-
9,Total Current Assets,193.84,181.76,169.05,205.9,219.57,236.37,218.27,213.44,207.5,150.05
10,"Property, Plant & Equipment",178.87,172.2,160.42,166.89,152.21,151.38,131.75,134.1,123.57,135.05
11,Long-Term Investments,11.92,11.62,14.88,5.8,5.72,5.6,5.51,5.4,5.3,-
12,Goodwill,-,-,0.36,0.36,1.9,1.53,1.53,1.52,-,-
13,Other Intangible Assets,0.63,0.68,5.61,6.06,6.32,0.98,0.26,0.27,-,-
14,Long-Term Deferred Tax Assets,0.48,0.51,0.5,0.5,0.41,0.41,0.4,0.4,-,-
15,Other Long-Term Assets,2.78,2.67,10.32,9.56,4.01,4.77,0.89,6.56,4.16,1.31
16,Total Assets,388.52,369.43,361.14,395.07,390.15,401.03,358.6,361.69,340.53,286.4
17,Accounts Payable,54.94,57.32,38.75,53.57,56.58,55.76,35.78,34.65,24.03,35.38
18,Accrued Expenses,-,20.79,-,20.24,-,20.28,-,21.55,-,26.19
19,Short-Term Debt,-,20.1,-,16.28,-,12.99,-,18.7,-,16.92
20,Current Portion of Long-Term Debt,13.45,1.68,23.1,1.59,11.45,0.63,17.42,1.84,17.38,1.74
21,Current Portion of Leases,10.19,10.4,13.91,14.98,13.01,11.42,12.11,12.11,9.25,11.63
22,Current Income Taxes Payable,17.09,12.48,8.24,8.3,9.72,7.85,4.79,3.77,11.55,10.35
23,Current Unearned Revenue,-,8.63,-,9.7,-,11.12,-,6.65,-,4.11
24,Other Current Liabilities,56.52,21.75,53.69,10.87,30.1,8.53,30.07,2.46,27.57,2.26
25,Total Current Liabilities,152.18,153.16,137.69,135.52,120.85,128.59,100.18,101.72,89.77,108.58
26,Long-Term Debt,-,1.33,2.13,3.02,-,-,-,0.63,5.6,2.47
27,Long-Term Leases,17.97,14.66,9.58,15.21,20.72,21.11,20.28,21.34,27.29,30.21
28,Long-Term Unearned Revenue,0.29,3.42,3.48,0.44,0.67,0.63,0.71,0.75,0.76,0.84
29,Long-Term Deferred Tax Liabilities,1.73,1.82,1.62,1.62,1.27,1.04,1.13,1.12,0.33,0.33
30,Total Liabilities,172.17,174.39,154.49,155.81,143.51,151.36,122.29,125.57,123.76,142.43
31,Common Stock,20,20,20,20,20,20,20,20,20,-
32,Additional Paid-In Capital,277.05,277.05,277.05,277.05,277.05,277.05,277.05,277.05,277.05,201.49
33,Retained Earnings,155.85,124.56,131.47,154.24,155.95,146.68,135.33,133.19,119.71,141.55
34,Comprehensive Income & Other,-236.56,-226.58,-221.88,-212.03,-206.36,-194.06,-196.07,-194.12,-199.99,-199.06
35,Shareholders' Equity,216.35,195.03,206.65,239.26,246.65,249.67,236.32,236.13,216.77,143.97
36,Total Liabilities & Equity,388.52,369.43,361.14,395.07,390.15,401.03,358.6,361.69,340.53,286.4
37,Total Debt,41.61,48.18,48.72,51.07,45.18,46.15,49.81,54.61,59.52,62.96
38,Net Cash (Debt),15.16,-14.02,-15.89,11.26,50.33,55.95,49.63,60.13,64.31,-19.16
39,Net Cash Growth,-,-,-,-79.88%,1.41%,-6.95%,-22.83%,-,-,-
40,Net Cash Per Share,0.01,-0.01,-0.01,0.01,0.03,0.03,0.02,0.03,0.04,-0.01
41,Filing Date Shares Outstanding,2000,2000,2000,2000,2000,2000,2000,2000,2000,1500
42,Total Common Shares Outstanding,2000,2000,2000,2000,2000,2000,2000,2000,2000,1500
43,Working Capital,41.65,28.6,31.36,70.38,98.72,107.78,118.09,111.72,117.73,41.47
44,Book Value Per Share,0.11,0.10,0.10,0.12,0.12,0.12,0.12,0.12,0.11,0.10
45,Tangible Book Value,215.71,194.36,200.67,232.84,238.42,247.16,234.53,234.33,216.77,143.97
46,Tangible Book Value Per Share,0.11,0.10,0.10,0.12,0.12,0.12,0.12,0.12,0.11,0.10
47,Buildings,-,39.77,-,-,-,-,-,-,-,-
48,Machinery,-,254.35,-,242.53,-,238.74,-,215.92,-,183.14
49,Construction In Progress,-,-,-,29.96,-,14.25,-,-,-,-
50,Leasehold Improvements,-,13.64,-,20.07,-,17.35,-,15.65,-,14.82
