,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Cash & Equivalents,15.14,17.69,36,35.08,44.58,65.98,52.03,57.3,43.79,27.11,Upgrade
1,Short-Term Investments,-,-,0.6,0.69,0.22,0.75,2.98,3.19,2.77,3.36,Upgrade
2,Cash & Short-Term Investments,15.14,17.69,36.6,35.77,44.81,66.73,55.01,60.5,46.56,30.47,Upgrade
3,Cash Growth,-58.63%,-50.56%,-18.31%,-46.39%,-18.56%,10.30%,18.16%,98.58%,36.74%,-60.77%,Upgrade
4,Accounts Receivable,1.66,1.26,2.66,2.6,3.9,9.56,15.98,8.06,4.72,8.99,Upgrade
5,Other Receivables,-,-,249.53,196.65,186.28,45.57,59.86,86.22,57.29,50.61,Upgrade
6,Receivables,1.66,1.26,252.19,199.26,190.17,55.13,75.84,94.28,62.01,59.6,Upgrade
7,Inventory,731.25,716.12,687.34,714.21,766.14,824.97,3044,2857,2794,2392,Upgrade
8,Prepaid Expenses,174.66,176.55,89.73,107.51,106.39,117.7,246.22,198.56,190.89,156.02,Upgrade
9,Restricted Cash,9.1,12.47,-,-,-,-,-,-,-,-,Upgrade
10,Other Current Assets,-,-,-,-,-,2954,-,-,-,-,Upgrade
11,Total Current Assets,931.81,924.07,1066,1057,1108,4019,3421,3210,3093,2638,Upgrade
12,"Property, Plant & Equipment",359.5,364.87,356.4,380.03,374.4,425.23,602.44,604.79,593.18,581.46,Upgrade
13,Long-Term Investments,0.8,0.8,3.28,3.28,9.12,9.12,12.11,12.13,27.59,21.14,Upgrade
14,Goodwill,106.05,105.46,109.04,114.3,110.64,123.3,120.11,118.39,113.87,109.52,Upgrade
15,Long-Term Deferred Tax Assets,0.02,0.01,-,-,-,-,-,-,-,-,Upgrade
16,Other Long-Term Assets,577.8,589.43,528.21,595.65,573.64,646.52,1337,1340,1365,1324,Upgrade
17,Total Assets,1976,1985,2063,2150,2175,5223,5492,5286,5193,4674,Upgrade
18,Accounts Payable,381.39,383.73,376.01,389.27,475.31,527.02,1182,1171,1215,1065,Upgrade
19,Accrued Expenses,67.39,71.55,34,39.7,30.85,31.91,397.18,328.45,200.52,120.97,Upgrade
20,Short-Term Debt,96.67,63.78,56.16,51.86,30.25,20.76,36.71,57.15,57.3,55.72,Upgrade
21,Current Portion of Long-Term Debt,522.05,545.52,525.92,547.16,493.07,518.5,2221,1896,1815,683.18,Upgrade
22,Current Portion of Leases,1.23,1.32,0.26,0.11,0.24,0.25,0.32,1.34,2.24,2.14,Upgrade
23,Current Income Taxes Payable,97.95,96.69,92.91,100.56,95.86,114.89,133.58,127.23,119.1,116.23,Upgrade
24,Current Unearned Revenue,131.11,91.24,413.35,410.29,391.48,438.05,1509,1298,1053,748.03,Upgrade
25,Other Current Liabilities,21.92,25.37,24.22,29.59,44.52,4323,339.8,235.89,212.55,200.02,Upgrade
26,Total Current Liabilities,1320,1279,1523,1569,1562,5975,5820,5116,4675,2991,Upgrade
27,Long-Term Debt,-,-,-,-,-,-,119.95,436.2,411.47,1478,Upgrade
28,Long-Term Leases,9.52,10.07,0.25,-,-,0.11,0.38,-,0.2,1.34,Upgrade
29,Long-Term Unearned Revenue,413.28,411.09,60.77,63.69,61.65,68.75,66.93,65.98,63.45,61.03,Upgrade
30,Long-Term Deferred Tax Liabilities,36.98,38.89,31.43,42.11,38.73,31.76,46.9,52.56,63.61,65.01,Upgrade
31,Total Liabilities,1779,1739,1615,1674,1662,6075,6054,5670,5213,4596,Upgrade
