,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Market Capitalization,5981,5954,4265,3670,5421,7778,8548,11392,15117,14925,17415,-,-,-
1,Market Cap Growth,-23.44%,-23.44%,-50.11%,-67.78%,-64.14%,-47.89%,-50.91%,-,-,-,-,-,-,-
2,Enterprise Value,9740,9713,8513,8073,7385,9742,10371,11474,11000,10808,18181,-,-,-
3,Last Close Price,48.55,48.33,34.29,29.42,42.98,61.67,67.78,90.33,116.96,115.47,134.73,-,-,-
4,PE Ratio,-,-,-,-,-,-,-,-,-,15.57,18.11,-,-,-
5,Forward PE,16.21,5.22,5.22,5.22,8.25,26.08,5.65,5.65,8.95,-,-,-,-,-
6,PS Ratio,0.81,0.79,0.61,0.39,0.53,0.64,0.57,0.77,1.09,1.21,2.04,-,-,-
7,PB Ratio,1.01,1.01,0.72,0.60,0.84,1.18,1.17,1.53,1.76,1.71,2.03,-,-,-
8,P/TBV Ratio,1.09,1.09,0.78,0.65,0.91,1.27,1.24,1.63,1.86,1.82,2.14,-,-,-
9,P/FCF Ratio,-,-,9.07,-3.38,-1.76,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,2.04,2.27,7.72,-,-4.53,-,-,-,-,-,-,-
11,EV/Sales Ratio,1.29,1.29,1.21,0.86,0.72,0.80,0.70,0.78,0.79,0.88,2.13,-,-,-
12,EV/EBITDA Ratio,-,-,-9.70,-,-,-,-57.00,-,9.67,9.29,13.64,-,-,-
13,EV/EBIT Ratio,-,-,-,-,-,-,-24.90,-,11.13,10.35,14.62,-,-,-
14,EV/FCF Ratio,-,-,18.11,-7.43,-2.40,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,1.16,1.16,1.16,1.20,1.26,1.20,0.92,0.86,0.60,0.49,0.40,-,0.64,0.64
16,Debt / EBITDA Ratio,-,-,20.27,-,-,-,3.45,-,4.64,9.73,2.04,-,0.83,0.91
17,Debt / FCF Ratio,-,-,14.49,-6.78,-2.64,-,-,-,-,-,-,-,-,-
18,Asset Turnover,-,0.44,0.40,0.25,0.44,0.84,0.55,0.64,1.08,-,-,-,-,
19,Inventory Turnover,-,-,7.71,8.54,6.08,10.16,6.80,5.80,4.51,9.24,-,-,-,-
20,Quick Ratio,-,-,0.73,0.78,0.94,0.94,0.98,0.84,1.11,1.14,1.64,-,-,0.66
21,Current Ratio,-,-,0.90,1.04,1.17,1.17,1.27,1.28,1.59,1.56,2.09,-,-,0.87
22,Return on Equity (ROE),-16.15%,-13.28%,-18.06%,-8.77%,-32.25%,-6.57%,-41.19%,-1.80%,7.27%,-,-,59.10%,-,
23,Return on Assets (ROA),-,-0.31%,-3.58%,-1.41%,-11.89%,5.46%,-14.83%,2.97%,0.84%,-,-,-,-,
24,Return on Capital (ROIC),-11.74%,-0.41%,-4.55%,-1.82%,-16.62%,7.86%,-20.77%,4.30%,1.23%,-,-,27.72%,-,
25,Return on Capital Employed (ROCE),-,-,-,-,-,-,-3.47%,-,8.19%,8.86%,11.73%,-,-,13.57%
26,Earnings Yield,-14.42%,-14.49%,-27.03%,-29.13%,-29.52%,-19.33%,-9.15%,-3.29%,4.58%,6.42%,5.52%,-,-,-
27,FCF Yield,-,11.03%,-29.61%,-56.68%,-72.13%,-78.69%,-60.17%,-44.50%,-34.51%,-21.69%,-,-,-,
28,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,2.06%,-,-,-,-
29,Payout Ratio,0.00%,-,-,-,-,-,-,-,-,14.68%,7.81%,5.88%,5.42%,2.54%
30,Buyback Yield / Dilution,0.81%,1.25%,1.09%,1.88%,-1.02%,0.06%,-33.33%,-34.57%,-31.98%,-33.33%,-,-,-,-
31,Total Shareholder Return,0.81%,1.25%,1.09%,1.88%,-1.02%,0.06%,-33.33%,-34.57%,-31.98%,-31.27%,-,-,-,-
