,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Cash & Equivalents,-,2796,2861,3626,3714,4658,3827,4968,4780,7706,-,-,310.19
1,Trading Asset Securities,-,236.27,246.32,66.5,327.91,116.59,788.59,170.09,1340,2.89,-,-,-
2,Cash & Short-Term Investments,3032,3032,3108,3692,4042,4774,4616,5138,6120,7708,-,310.19,310.19
3,Cash Growth,-25.00%,-36.50%,-32.67%,-28.14%,-33.96%,-38.07%,-,1556.44%,1873.08%,-,-,-,-
4,Accounts Receivable,-,2295,2313,2749,3445,3482,2447,2491,3043,2270,-,-,1495
5,Other Receivables,-,25.8,14.68,12.48,9.72,16.47,14.4,17.01,18.27,9.71,-,-,0.67
6,Receivables,-,2321,2327,2761,3455,3498,2461,2508,3061,2280,-,-,1495
7,Inventory,-,862.06,979.43,786.47,746.62,1584,2577,2411,2422,1465,-,-,304.36
8,Prepaid Expenses,-,-,-,-,1.69,-,-,-,3.81,-,-,-,-
9,Other Current Assets,-,409.9,790.18,793.44,1068,920.73,1083,938.31,1018,1241,-,-,280.75
10,Total Current Assets,-,6624,7205,8033,9314,10777,10738,10995,12625,12695,-,-,2391
11,"Property, Plant & Equipment",-,9017,9094,9114,9060,8231,7468,6682,5423,3161,-,-,1911
12,Long-Term Investments,-,179.38,179.98,187.52,195.09,357.67,361.57,364.45,367.65,80.4,-,-,24
13,Other Intangible Assets,-,449.95,456.74,462.49,468.59,450.09,460.29,404.22,407.84,276.3,-,-,138.65
14,Long-Term Deferred Tax Assets,-,320.34,298.71,266.75,254.08,225.62,206.63,69.92,55.34,30.16,-,-,26.76
15,Long-Term Deferred Charges,-,31.16,34.5,17.44,18.99,2.47,3.08,3.77,4.19,1.81,-,-,2.06
16,Other Long-Term Assets,-,250.22,129.58,136.67,121.17,422.88,469.17,451.95,975.53,430.74,-,-,171.97
17,Total Assets,-,16872,17398,18218,19432,20467,19706,18971,19859,16675,-,-,4665
18,Accounts Payable,-,2914,2594,2352,3588,4339,3609,3556,5104,2849,-,-,738.95
19,Accrued Expenses,-,53.84,57.51,35.24,125.08,46.91,81.36,30.64,58.24,28.23,-,-,50.71
20,Short-Term Debt,-,2641,3118,3587,3412,2894,2507,2237,1641,2209,-,-,823.11
21,Current Portion of Long-Term Debt,-,1665,1013,823.05,660.3,-,327.07,-,119.43,162.54,-,-,11
22,Current Portion of Leases,-,-,14.01,-,11.76,-,4.68,-,1.51,-,-,-,1.04
23,Current Income Taxes Payable,-,15.17,0.75,13.98,1.57,30.48,3.38,36.83,23.11,32.59,-,-,31.7
24,Current Unearned Revenue,-,3.48,1.72,1.23,2.5,6.24,5.23,118.79,261.6,628.36,-,-,864.14
25,Other Current Liabilities,-,72.83,153.82,28.43,148.85,1149,1883,931.74,870.34,167.68,-,-,221.73
26,Total Current Liabilities,-,7365,6954,6841,7950,8466,8420,6911,8079,6078,-,-,2742
27,Long-Term Debt,-,2486,3202,3665,3744,3816,3467,2930,2398,1084,-,-,175.71
28,Long-Term Leases,-,20.08,23.46,27.1,78.19,15.66,113.63,12.61,153.35,0.01,-,-,1.15
