,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Operating Revenue,2671,1969,1728,1155,2018,4294,2608,3098,4797,4097,1807,1536,1045
1,Other Revenue,-,-64.61,64.61,-,154.7,-69.69,69.69,-,114.43,-52.05,52.05,-,39.4
2,Revenue,2671,1905,1793,1155,2173,4225,2678,3098,4911,4045,1859,1536,1084
3,Revenue Growth (YoY),22.90%,-54.92%,-33.05%,-62.73%,-55.76%,4.44%,44.09%,101.68%,353.06%,-,-,-,-
4,Cost of Revenue,3677,1775,1886,1165,2960,3539,3615,2724,4487,3419,1499,1158,744.95
5,Gross Profit,-1006,129.92,-92.84,-9.86,-787.43,686.04,-937.25,374.01,424.23,626.23,359.64,378.55,339.09
6,"Selling, General & Admin",-262.01,86.38,96.21,79.42,97.53,82.24,82.21,66.67,57.48,63.98,30.53,33.21,27.33
7,Research & Development,-194.48,50.8,68.38,75.29,93.09,106.06,86.06,136.35,218.87,133.97,31.75,50.65,31.25
8,Other Operating Expenses,1.38,7.33,-1.3,-7.42,-49.07,-3.33,8.64,5.84,25.32,7.75,-4.03,4.1,6.8
9,Operating Expenses,-409.47,151.2,162.24,96.02,161.7,247.11,210.31,143.34,362.81,221.37,68.64,92.01,78.26
10,Operating Income,-596.5,-21.29,-255.08,-105.87,-949.13,438.94,-1148,230.66,61.42,404.86,291,286.54,260.83
11,Interest Expense,-41,-63.55,-67.54,-69.48,-88.37,-60.93,-42.02,-41.12,-34.16,-27.93,-20.34,-12.59,-4.29
12,Interest & Investment Income,200.56,9.72,15.12,16.16,19.76,10.15,20.02,15.08,28.62,2.06,1.2,0.48,0.03
13,Currency Exchange Gain (Loss),-,-0.31,0.31,-,-2.22,0.54,-0.54,-,-0.1,0.03,-0.03,-,0
14,Other Non Operating Income (Expenses),2.85,-0.53,-1.38,-0.24,-0.48,-0.23,5.02,-0.7,-18.46,-0.17,-1.67,-0.25,-116.48
15,EBT Excluding Unusual Items,-434.1,-75.95,-308.58,-159.42,-1020,388.46,-1165,203.94,37.32,378.85,270.17,274.19,140.1
