,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,870.51,1087,1168,1144,1112,1188,1316,1377,303.37,-,-,240.63,-,-,-
1,Trading Asset Securities,284.86,171.47,146.89,81.87,120,40,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,1155,1258,1315,1226,1232,1228,1316,1377,303.37,-,240.63,240.63,-,-,282.78
3,Cash Growth,-6.21%,2.46%,-0.12%,-10.93%,306.04%,-,446.91%,472.13%,-,-,-14.91%,-,-,-,-
4,Accounts Receivable,828.59,725.64,734.74,917.95,797.5,718.31,742.79,799.11,710.14,-,-,727.64,-,-,-
5,Other Receivables,12.63,11.86,10.33,7.37,8.03,8.04,4.58,5.27,4.6,-,-,2.63,-,-,-
6,Receivables,841.22,737.5,745.07,925.32,805.53,726.36,747.37,804.38,714.74,-,-,730.27,-,-,-
7,Inventory,343.46,283.55,300.14,306.18,282.27,242.42,240.43,269.73,241.26,-,-,300.2,-,-,-
8,Prepaid Expenses,-,2.82,-,0.76,-,-,-,-,-,-,-,-,-,-,-
9,Other Current Assets,35.17,23.95,36.89,31.26,17.92,16.36,16.68,13.23,8.98,1174,-,15.28,-,-,-
10,Total Current Assets,2375,2306,2397,2490,2338,2213,2321,2464,1268,1174,-,1286,-,-,-
11,"Property, Plant & Equipment",1647,1411,1383,1393,1372,1322,1225,1145,1124,-,-,1103,-,-,-
12,Long-Term Investments,0.1,0.09,0.09,0.09,0.09,0.1,0.1,-,-,-,-,-,-,-,-
13,Goodwill,15.15,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Other Intangible Assets,141.92,120.21,122.25,124.57,97.81,99.41,99.67,101.24,102.77,-,-,108.25,-,-,-
15,Long-Term Accounts Receivable,-,-,0.88,0.88,0.87,0.86,0.85,0.84,-,-,-,1.01,-,-,-
16,Long-Term Deferred Tax Assets,13.84,23.04,17.49,18.07,15.28,14.57,15.91,15.97,16.13,-,-,18.08,-,-,-
17,Long-Term Deferred Charges,17.51,3.78,3.41,3.37,1.24,0.9,1.84,1.84,0.37,-,-,0.27,-,-,-
18,Other Long-Term Assets,0.95,0.74,2.76,3.63,-,-,1.45,37.82,0.84,1211,-,-,-,-,-
19,Total Assets,4211,3865,3927,4033,3825,3651,3665,3767,2513,2385,-,2517,-,-,-
20,Accounts Payable,865.51,827.96,865.21,975.65,807.92,705.82,722.32,846.1,711.22,-,-,739.36,-,-,-
21,Accrued Expenses,88.96,77.11,60.08,103.86,76.62,79.15,58.69,98.48,76.57,-,-,94.96,-,-,-
22,Short-Term Debt,59.01,-,-,-,-,-,-,-,80.64,-,-,181.17,-,-,-
23,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,30.77,-,-,30.42,-,-,-
24,Current Portion of Leases,12.43,12.05,8.02,8.84,4.39,7.77,9.1,9.18,-,-,-,4.75,-,-,-
25,Current Income Taxes Payable,20.44,-0.9,14.08,7.49,14.04,-2.11,17.43,4.04,24.37,-,-,9.02,-,-,-
26,Current Unearned Revenue,4.49,3,5.1,5.19,7.93,8.73,6.36,6.72,13.24,-,-,6.46,-,-,-
27,Other Current Liabilities,20.37,10.1,8.93,6.02,14.19,4.34,9.98,7.26,4.46,860.18,-,7.57,-,-,-
28,Total Current Liabilities,1071,929.32,961.42,1107,925.09,803.7,823.88,971.78,941.27,860.18,-,1074,-,-,-
29,Long-Term Debt,25,-,-,-,-,-,-,-,20.43,-,-,38.38,-,-,-
30,Long-Term Leases,12.45,11.57,10.77,12.7,12.05,10.94,10.85,12.45,9.89,-,-,11.28,-,-,-
31,Long-Term Unearned Revenue,50.6,52.98,55.4,55.8,58.2,57.71,60.16,62.61,59.96,-,-,66.56,-,-,-
32,Long-Term Deferred Tax Liabilities,-,0.39,0.04,0.13,0.04,0.03,-,0.11,0.08,-,-,0.15,-,-,-
33,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,-,99.49,-,-,-,-,-
34,Total Liabilities,1159,994.26,1028,1176,995.39,872.37,894.89,1047,1032,959.67,-,1190,-,-,-
35,Common Stock,193.13,193.13,193.13,193.13,193.13,193.13,193.13,193.13,144.83,1425,-,144.83,-,-,-
36,Additional Paid-In Capital,1547,1552,1550,1547,1545,1545,1545,1545,414.92,-,-,415.16,-,-,-
37,Retained Earnings,1170,1128,1157,1116,1068,1010,1005,954.13,895.45,-,-,740.72,-,-,-
38,Treasury Stock,-8.11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,Comprehensive Income & Other,-3.91,-5.54,-2.91,-1.39,0.51,3.4,0.35,0.74,-,-,-,-,-,-,-
40,Total Common Equity,2898,2867,2897,2855,2807,2751,2744,2693,1455,1425,1301,1301,-,-,1086
41,Minority Interest,154.12,3.6,2.65,3.05,22.06,27.39,26.86,27.04,26.14,-,-,25.75,-,-,-
42,Shareholders' Equity,3052,2871,2899,2858,2829,2779,2771,2720,1481,1425,1326,1326,-,-,1090
43,Total Liabilities & Equity,4211,3865,3927,4033,3825,3651,3665,3767,2513,2385,-,2517,-,-,-
44,Total Debt,108.89,23.62,18.79,21.54,16.44,18.71,19.95,21.63,141.72,-,266,266,-,-,339.12
45,Net Cash (Debt),1046,1235,1296,1205,1215,1209,1296,1355,161.65,-,-25.37,-25.37,-,-,-56.33
46,Net Cash Growth,-13.90%,2.09%,-0.03%,-11.10%,651.86%,-,-,-,-,-,-,-,-,-,-
47,Net Cash Per Share,5.29,6.60,6.59,6.34,6.19,6.43,6.63,7.71,1.12,-,-0.18,-0.17,-,-,-
48,Filing Date Shares Outstanding,192.56,193.13,193.13,193.13,193.13,193.13,193.13,193.13,144.83,144.35,144.81,144.83,144.94,-,-
49,Total Common Shares Outstanding,192.56,193.13,193.13,193.13,193.13,193.13,193.13,193.13,144.83,144.35,144.81,144.83,144.94,-,-
50,Working Capital,1304,1377,1435,1383,1412,1410,1497,1492,327.1,313.54,-,212.67,-,-,-
51,Book Value Per Share,15.05,14.85,15.00,14.78,14.53,14.25,14.21,13.94,10.05,-,8.98,8.98,-,-,7.50
52,Tangible Book Value,2741,2747,2774,2730,2709,2652,2644,2592,1352,1425,1192,1192,-,-,975.22
53,Tangible Book Value Per Share,14.23,14.23,14.37,14.14,14.03,13.73,13.69,13.42,9.34,-,8.23,8.23,-,-,6.73
54,Buildings,-,706.59,-,707.28,-,634.52,-,634.52,-,-,-,635.18,-,-,-
55,Machinery,-,1407,-,1308,-,1213,-,1217,-,-,-,1153,-,-,-
56,Construction In Progress,-,300.79,-,316.8,-,368.34,-,131.83,-,-,-,47.16,-,-,-
