,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,752.35,625.46,547.89,689.17,689.23,580.43,567.1,630.82,684.23,539.49,573.58,650.11,659.82,596.74,596.74
1,Other Revenue,-33.6,33.6,-,66.59,-18.92,18.92,-,45.24,-20.93,20.93,-,40.35,-,-,-
2,Revenue,718.74,659.07,547.89,755.77,670.31,599.35,567.1,676.06,663.3,560.41,573.58,690.47,659.82,596.74,596.74
3,Revenue Growth (YoY),7.23%,9.96%,-3.39%,11.79%,1.06%,6.95%,-1.13%,-2.09%,0.53%,-6.09%,-3.88%,-,-,-,-
4,Cost of Revenue,573.62,559.26,434.58,630.25,521.28,475.2,439.51,545.36,493.41,453.91,437.38,540.39,511.35,468.45,468.45
5,Gross Profit,145.12,99.81,113.3,125.52,149.02,124.15,127.59,130.7,169.89,106.51,136.19,150.08,148.46,128.29,128.29
6,"Selling, General & Admin",59.12,57.52,55.4,69.76,50.88,55.62,48.54,55.76,57.61,41.53,45.14,61.02,134.29,-,-
7,Research & Development,27.85,28.74,22.61,24.33,26.49,29.29,23.01,22.96,30.21,25.97,22.84,21.76,74.45,-,-
8,Other Operating Expenses,-0.85,0,-3.49,-15.45,0.79,0.99,-1.1,7.77,0.32,-1.87,1.28,17.21,-146.07,73.54,73.54
9,Operating Expenses,89.86,86.34,65.08,85.38,79.88,86.75,66.71,90.95,91.57,65.77,63.89,104.26,65.58,73.54,73.54
10,Operating Income,55.26,13.46,48.22,40.14,69.15,37.4,60.88,39.74,78.33,40.74,72.31,45.82,82.88,54.75,54.75
11,Interest Expense,-0.06,-0.16,-0.1,-0.23,-0.11,-0.02,-0.17,-0.05,-1.84,-2.07,-2.71,-3.13,-10.27,-,-
12,Interest & Investment Income,4.48,3.38,4.49,9.14,3.36,3.9,4.07,3.03,0.94,0.63,0.51,0.61,1.7,-,-
13,Currency Exchange Gain (Loss),-0.95,0.95,-,3.05,-3.11,3.11,-,5.51,-2.25,2.25,-,-0.73,-,-,-
14,Other Non Operating Income (Expenses),-0.4,-0.95,0.34,-3.03,1.46,1.3,-0.81,-5.61,3.06,2.26,-0.74,0.82,-1,-0.32,-0.32
15,EBT Excluding Unusual Items,58.32,16.68,52.95,49.07,70.75,45.68,63.96,42.63,78.24,43.81,69.37,43.39,73.31,54.43,54.43
16,Gain (Loss) on Sale of Assets,0.6,-0.04,2.91,2.56,0.33,-0.76,-0.2,-0.32,-0.01,-0.15,-0.19,0.26,-0.58,-,-
17,Asset Writedown,-15.49,8.77,-8.8,6.39,-6.37,5.71,-5.71,12.49,-12.5,5.95,-5.95,9.56,-9.57,-,-
18,Other Unusual Items,-0.67,0.5,-0.17,-6.6,-,-,-,6.67,-,-,-,14.55,-,-,-
19,Pretax Income,42.77,25.92,46.89,51.61,64.72,50.63,58.05,61.54,65.73,49.62,63.23,67.76,63.16,54.43,54.43
20,Income Tax Expense,1.43,-1.5,6,4.47,6.06,3.11,7.33,2.04,9.26,5.57,8.63,8.57,6.05,6.08,6.08
21,Earnings From Continuing Operations,41.33,27.41,40.88,47.15,58.65,47.52,50.72,59.5,56.46,44.05,54.6,59.19,57.11,48.35,48.35
22,Minority Interest in Earnings,0.09,0.34,0.4,0.29,0.1,-0.53,0.08,-0.87,-0.05,-0.14,-0.19,-0.77,-0.18,-,-
23,Net Income,41.42,27.75,41.28,47.44,58.75,46.99,50.8,58.63,56.41,43.91,54.41,58.42,56.94,48.35,48.35
24,Net Income to Common,41.42,27.75,41.28,47.44,58.75,46.99,50.8,58.63,56.41,43.91,54.41,58.42,56.94,48.35,48.35
25,Net Income Growth,-29.50%,-40.93%,-18.73%,-19.09%,4.14%,7.01%,-6.63%,0.36%,-0.92%,-9.18%,12.53%,-,-,-,-
26,Shares Outstanding (Basic),198,187,197,190,196,188,195,176,145,144,145,146,145,-,-
27,Shares Outstanding (Diluted),198,187,197,190,196,188,195,176,145,144,145,146,145,-,-
28,Shares Change (YoY),0.78%,-0.61%,0.62%,8.06%,35.69%,30.31%,34.92%,20.27%,-0.19%,-,-,-,-,-,-
29,EPS (Basic),0.21,0.15,0.21,0.25,0.30,0.25,0.26,0.33,0.39,0.30,0.38,0.40,0.39,-,-
30,EPS (Diluted),0.21,0.15,0.21,0.25,0.30,0.25,0.26,0.33,0.39,0.30,0.38,0.40,0.39,-,-
31,EPS Growth,-30.04%,-40.57%,-19.23%,-25.13%,-23.25%,-17.88%,-30.80%,-16.55%,-0.73%,-,-,-,-,-,-
32,Free Cash Flow,-10.82,-13.03,84.26,-7.46,-3.32,-9.52,-69.21,-3.13,51.32,107.24,38.59,30.23,-24.02,27.79,27.79
33,Free Cash Flow Per Share,-0.05,-0.07,0.43,-0.04,-0.02,-0.05,-0.35,-0.02,0.35,0.74,0.27,0.21,-0.17,-,-
34,Dividend Per Share,-,-,-,0.300,-,-,-,0.220,-,-,-,-,-,-,-
35,Dividend Growth,-,-,-,36.36%,-,-,-,-,-,-,-,-,-,-,-
36,Gross Margin,20.19%,15.14%,20.68%,16.61%,22.23%,20.71%,22.50%,19.33%,25.61%,19.01%,23.74%,21.74%,22.50%,21.50%,21.50%
37,Operating Margin,7.69%,2.04%,8.80%,5.31%,10.32%,6.24%,10.74%,5.88%,11.81%,7.27%,12.61%,6.64%,12.56%,9.18%,9.18%
38,Profit Margin,5.76%,4.21%,7.54%,6.28%,8.76%,7.84%,8.96%,8.67%,8.50%,7.84%,9.49%,8.46%,8.63%,8.10%,8.10%
39,Free Cash Flow Margin,-1.50%,-1.98%,15.38%,-0.99%,-0.50%,-1.59%,-12.21%,-0.46%,7.74%,19.14%,6.73%,4.38%,-3.64%,4.66%,4.66%
40,EBITDA,86.54,47.79,79.5,71.42,101.02,70.05,92.75,71.62,107.94,73.03,101.92,75.44,108.8,80.67,80.67
41,EBITDA Margin,12.04%,7.25%,14.51%,9.45%,15.07%,11.69%,16.36%,10.59%,16.27%,13.03%,17.77%,10.93%,16.49%,13.52%,13.52%
42,D&A For EBITDA,31.28,34.33,31.28,31.28,31.87,32.65,31.87,31.87,29.61,32.29,29.61,29.61,25.92,25.92,25.92
43,EBIT,55.26,13.46,48.22,40.14,69.15,37.4,60.88,39.74,78.33,40.74,72.31,45.82,82.88,54.75,54.75
44,EBIT Margin,7.69%,2.04%,8.80%,5.31%,10.32%,6.24%,10.74%,5.88%,11.81%,7.27%,12.61%,6.64%,12.56%,9.18%,9.18%
45,Effective Tax Rate,3.35%,-,12.81%,8.65%,9.37%,6.15%,12.62%,3.32%,14.10%,11.22%,13.65%,12.64%,9.58%,11.17%,11.17%
46,Revenue as Reported,718.74,659.07,547.89,755.77,670.31,599.35,567.1,676.06,663.3,560.41,573.58,690.47,1853,-,-
