,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,3193,3320,2841,3040,3499,3648,3615,3805,3631,-,-,-,-,-,-,-
1,Market Cap Growth,-9.00%,-9.00%,-21.42%,-20.10%,-3.62%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2300,2089,1548,1847,2306,2466,2346,3669,3495,-,-,-,-,-,-,-
3,Last Close Price,16.58,17.19,14.71,15.42,17.75,18.50,18.33,19.07,18.20,-,-,-,-,-,-,-
4,PE Ratio,20.25,21.03,16.21,15.63,17.16,16.96,16.99,18.14,17.02,-,-,-,-,-,-,-
5,PS Ratio,1.19,1.24,1.08,1.18,1.35,1.45,1.44,1.54,1.47,-,-,-,-,-,-,-
6,PB Ratio,1.10,1.09,0.99,1.05,1.22,1.29,1.30,1.37,1.33,-,-,-,-,-,-,-
7,P/TBV Ratio,1.21,1.21,1.03,1.10,1.28,1.35,1.36,1.44,1.40,-,-,-,-,-,-,-
8,P/FCF Ratio,60.29,-,-,47.52,-,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,10.97,10.97,8.55,7.51,11.49,10.48,10.09,9.85,8.80,-,-,-,-,-,-,-
10,EV/Sales Ratio,0.86,0.78,0.59,0.72,0.89,0.98,0.94,1.49,1.41,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,8.26,7.32,5.16,5.73,6.88,7.35,6.85,10.62,9.86,-,-,-,-,-,-,-
12,EV/EBIT Ratio,15.87,13.30,9.05,9.47,11.11,11.90,10.84,16.70,15.12,-,-,-,-,-,-,-
13,EV/FCF Ratio,43.44,-,-,28.87,-,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.04,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.10,-,0.20,0.20,-,-,0.31
15,Debt / EBITDA Ratio,0.39,0.31,0.11,0.06,0.07,0.04,0.06,0.05,0.07,0.33,-,0.65,0.84,-,-,1.05
16,Debt / FCF Ratio,2.06,-,-,0.29,-,-,-,-,-,0.62,-,3.66,4.31,-,-,12.20
17,Asset Turnover,0.71,0.68,0.55,0.77,0.72,0.66,0.61,0.86,1.08,-,-,-,-,-,-,
18,Inventory Turnover,7.02,7.32,7.67,5.73,8.57,7.95,7.87,6.89,8.54,-,-,-,-,-,-,-
19,Quick Ratio,1.86,1.86,2.15,2.14,1.94,2.20,2.43,2.50,2.24,1.08,-,-,0.90,-,-,-
20,Current Ratio,2.22,2.22,2.48,2.49,2.25,2.53,2.75,2.82,2.54,1.35,1.36,-,1.20,-,-,-
21,Return on Equity (ROE),5.58%,3.80%,5.68%,6.63%,8.37%,6.85%,7.39%,11.33%,15.54%,12.81%,16.46%,-,-,-,-,
22,Return on Assets (ROA),3.42%,0.86%,3.03%,2.55%,4.62%,2.56%,4.10%,3.16%,8.00%,-,-,-,-,-,-,
23,Return on Capital (ROIC),4.56%,1.16%,4.16%,3.51%,6.13%,3.35%,5.50%,4.55%,12.85%,6.75%,11.35%,-,-,-,-,
24,Return on Capital Employed (ROCE),4.62%,5.00%,5.82%,6.57%,7.09%,7.15%,7.60%,7.73%,8.27%,15.09%,15.86%,-,16.51%,-,-,-
25,Earnings Yield,4.95%,4.76%,6.17%,6.40%,5.83%,5.90%,5.89%,5.51%,5.88%,-,-,-,-,-,-,-
26,FCF Yield,1.66%,1.60%,2.13%,2.10%,-2.56%,-2.33%,-0.84%,2.27%,5.34%,-,-,-,-,-,-,-
27,Dividend Yield,1.80%,-,-,-,1.69%,-,-,-,1.21%,-,-,-,-,-,-,-
28,Payout Ratio,36.69%,-,208.75%,-,-,-,90.42%,-,1.16%,2.90%,4.47%,4.68%,4.85%,18.21%,-,-
29,Buyback Yield / Dilution,-2.09%,-0.78%,0.61%,-0.62%,-8.06%,-35.69%,-30.31%,-34.92%,-20.27%,0.19%,-,-,-,-,-,-
30,Total Shareholder Return,-0.29%,-0.78%,0.61%,-0.62%,-6.37%,-35.69%,-30.31%,-34.92%,-19.06%,0.19%,-,-,-,-,-,-
