,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,1659,1819,2088,2153,2331,845,682,1200,384,144,138
1,Market Cap Growth,-15.49%,-15.49%,-10.44%,154.80%,242.00%,-29.60%,77.50%,733.33%,179.07%,-53.85%,-60.46%
2,Enterprise Value,1632,1733,2013,2045,2271,743,540,1063,247,3,-3
3,Last Close Price,1.54,1.69,1.94,2.05,2.22,0.88,0.71,1.25,0.48,0.18,0.17
4,PE Ratio,-,-,-,-,-,-,-,-,263.39,-40.78,-
5,PS Ratio,13.92,15.43,19.66,24.04,29.95,12.46,12.03,19.29,6.46,3.26,3.24
6,PB Ratio,14.96,16.42,13.51,15.46,13.39,6.98,4.25,5.59,2.39,0.90,0.87
7,P/TBV Ratio,16.45,16.45,13.52,15.48,13.39,6.98,4.25,6.01,2.39,0.90,0.87
8,P/FCF Ratio,-,-,-,-,-,-,-,-,-93.22,-,10.87
9,P/OCF Ratio,-,-,-,-,-,-,-,-,-107.48,-,10.77
10,EV/Sales Ratio,13.84,14.70,18.96,22.84,29.17,10.96,9.53,17.09,4.16,0.08,-
11,EV/EBITDA Ratio,-,-,-,-,-,-,-,-,2771.44,-,-
12,EV/EBIT Ratio,-,-,-,-,-,-,-,-,-493.65,-,-
13,EV/FCF Ratio,-17.84,-,-,-,-,-,-,-,-59.93,-,-
14,Debt / Equity Ratio,0.07,0.07,0.03,0.03,0.02,0.04,0.05,0.04,0.00,0.00,0.00
15,Debt / FCF Ratio,-,-,-,-,-,-,-,-,0.00,-,0.03
16,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-0.31%,-,-
17,Earnings Yield,-4.59%,-4.19%,-3.49%,-3.83%,-3.61%,-11.63%,-9.32%,-0.75%,0.38%,-2.45%,0.24%
18,FCF Yield,-5.51%,-5.03%,-3.51%,-3.67%,-3.74%,-11.51%,-8.69%,-0.61%,-1.07%,-0.85%,9.20%
19,Buyback Yield / Dilution,0.18%,-2.49%,2.77%,-16.85%,-13.14%,-7.20%,-19.87%,-4.78%,-,-,-
20,Total Shareholder Return,0.18%,-2.49%,2.77%,-16.85%,-13.14%,-7.20%,-19.87%,-4.78%,-,-,-
