,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Jan '22 Jan 1, 2022","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,10790,7146,10618,13403,19135,28865,44889,17523,9660,10776,8702,Upgrade
1,Market Cap Growth,-22.38%,-46.69%,-44.51%,-53.57%,-57.37%,64.73%,364.70%,62.60%,11.01%,60.25%,51.80%,Upgrade
2,Enterprise Value,14580,10944,13782,16674,21863,31303,47176,19797,11394,12304,10013,Upgrade
3,Last Close Price,11.66,7.82,11.62,15.29,21.70,32.74,50.73,19.80,10.92,12.15,9.81,Upgrade
4,PE Ratio,-,-11.51,-,346.76,-,42.54,160.15,4136.84,-,31.61,32.03,Upgrade
5,Forward PE,-,15.48,15.48,15.48,15.48,15.48,15.48,15.48,15.48,15.48,15.48,Upgrade
6,PS Ratio,2.42,1.70,2.57,6.53,-,4.97,10.05,4.56,2.80,3.23,2.54,Upgrade
7,PB Ratio,3.79,2.09,3.14,3.66,5.11,6.85,12.02,4.89,2.78,3.02,2.59,Upgrade
8,P/TBV Ratio,4.61,3.43,5.12,5.76,7.97,10.03,18.15,7.44,4.35,5.02,4.36,Upgrade
9,P/FCF Ratio,-,-,-,-,-,-,-212.97,-,-,-,-700.70,Upgrade
10,P/OCF Ratio,-,-,-,-,-,31.60,77.93,38.89,27.99,40.47,22.78,Upgrade
11,EV/Sales Ratio,3.35,2.60,3.34,8.12,-,5.39,10.56,5.16,3.30,3.69,2.92,Upgrade
12,EV/EBITDA Ratio,-,-60.69,-,88.64,-,21.44,46.17,32.73,23.51,21.34,17.03,Upgrade
13,EV/EBIT Ratio,-,-17.96,-,-,-,27.39,64.21,59.22,50.42,37.29,27.67,Upgrade
14,EV/FCF Ratio,-17.19,-,-,-,-,-,-223.83,-,-,-,-806.27,Upgrade
15,Debt / Equity Ratio,1.34,1.27,1.25,1.12,0.92,0.78,0.75,0.79,0.69,0.66,0.63,Upgrade
16,Debt / FCF Ratio,-,-,-,-,-,-,-13.25,-,-,-,-171.18,Upgrade
17,Return on Capital Employed (ROCE),-,-11.72%,-,-,-,20.79%,14.84%,7.06%,4.88%,7.79%,9.37%,Upgrade
18,Earnings Yield,-5.66%,-8.69%,-5.84%,0.29%,-,2.35%,0.62%,0.02%,1.24%,3.16%,3.12%,Upgrade
19,FCF Yield,-7.86%,-14.50%,-9.43%,-3.46%,-,-0.27%,-0.47%,-3.75%,-8.14%,-2.80%,-0.14%,Upgrade
20,Buyback Yield / Dilution,-0.56%,7.08%,-,-6.84%,-,-1.74%,-6.05%,1.49%,-0.06%,4.25%,1.13%,Upgrade
21,Total Shareholder Return,-0.56%,7.08%,-,-6.84%,-,-1.74%,-6.05%,1.49%,-0.06%,4.25%,1.13%,Upgrade
