,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Jan '22 Jan 1, 2022","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,908.62,1109,913.84,959.29,937.3,666.04,551.5,554.2,601.21,705.63,Upgrade
1,Short-Term Investments,-,-,-,80,-,-,-,-,-,-,Upgrade
2,Trading Asset Securities,5.06,37,19,21,24.54,113.1,157.72,176.11,250.81,216.92,Upgrade
3,Cash & Short-Term Investments,913.68,1146,932.84,1060,961.84,779.14,709.22,730.31,852.03,922.54,Upgrade
4,Cash Growth,-2.05%,8.10%,-3.01%,36.08%,35.62%,6.69%,-16.76%,-20.84%,-13.27%,5.79%,Upgrade
5,Accounts Receivable,1277,1225,1103,1323,1399,1017,746.92,767.8,757.29,691.09,Upgrade
6,Other Receivables,117.72,108.43,75.53,158.78,100.67,135.2,182.23,95.14,38.2,19.25,Upgrade
7,Receivables,1395,1333,1179,1482,1500,1152,929.15,862.94,795.49,710.34,Upgrade
8,Inventory,1112,1099,1723,1656,1389,1202,928.71,790.92,716.46,724.27,Upgrade
9,Other Current Assets,425.82,217.83,465.64,270.18,466.79,457.65,311.16,337.61,467.18,315.75,Upgrade
10,Total Current Assets,3846,3796,4300,4468,4317,3591,2878,2722,2831,2673,Upgrade
11,"Property, Plant & Equipment",5599,5670,5257,5145,4763,4321,3314,3172,2605,2509,Upgrade
12,Long-Term Investments,325.54,330.66,327.9,314.38,328.47,308.32,284.15,269.34,174.6,176.94,Upgrade
13,Goodwill,600.94,600.94,600.94,600.94,630.29,630.29,659.67,659.67,693.71,693.71,Upgrade
14,Other Intangible Assets,518.39,486.67,443.53,425.89,424.49,418.52,426.69,464.76,566.75,506.03,Upgrade
15,Long-Term Deferred Tax Assets,251.03,263.85,116.61,123.34,99.23,108.04,104.4,112.09,64.84,73.53,Upgrade
16,Long-Term Deferred Charges,152.04,125.72,159.69,153.99,157.92,165.91,171.98,156.4,158.12,161.78,Upgrade
17,Other Long-Term Assets,109.94,130.38,232.74,122.64,280.38,181.11,256,189.85,120.51,72.86,Upgrade
18,Total Assets,11402,11404,11438,11354,11002,9724,8096,7745,7214,6866,Upgrade
19,Accounts Payable,1496,1567,1605,1963,2164,1745,1233,1183,895.21,974.44,Upgrade
20,Accrued Expenses,66.75,128.71,64.02,129.84,69.67,118.82,45.07,86.31,46.59,65.54,Upgrade
21,Short-Term Debt,2021,1702,1750,1970,1944,1678,1531,1454,1747,1617,Upgrade
22,Current Portion of Long-Term Debt,917.3,950.73,682.99,458.75,62,174.57,190.18,-,99.76,139.64,Upgrade
23,Current Portion of Leases,1.86,2.51,0.6,0.86,123.6,2.03,178.84,-,53.48,70.93,Upgrade
24,Current Income Taxes Payable,7.5,12.56,7.41,41.06,58.21,69.35,40.48,28.79,29.56,41.08,Upgrade
25,Current Unearned Revenue,657.06,891.68,922.61,927.87,941.34,706.75,96.8,50.38,90.89,-,Upgrade
26,Other Current Liabilities,1037,961.78,229.03,275.34,142.39,278.15,45.89,315.82,14.18,95.19,Upgrade
27,Total Current Liabilities,6205,6217,5262,5766,5504,4772,3361,3118,2977,3004,Upgrade
28,Long-Term Debt,1392,1563,1664,1023,1043,935.76,754.62,795.25,377.63,233.53,Upgrade
29,Long-Term Leases,1.75,2.5,-,0.88,99.83,1.7,195.71,145.65,91.74,64.43,Upgrade
30,Long-Term Unearned Revenue,134.23,145.62,139.27,130.9,120.36,128.1,155.79,165.75,146.99,154.36,Upgrade
31,Long-Term Deferred Tax Liabilities,8.03,8.63,15.86,16.39,18.18,32.3,42.48,45.97,54.4,47.65,Upgrade
32,Other Long-Term Liabilities,243.38,89.24,692.1,671,1.17,119.67,1.17,1.17,1,1,Upgrade
33,Total Liabilities,7984,8025,7773,7609,6787,5990,4510,4272,3649,3505,Upgrade
34,Common Stock,913.76,913.76,876.57,876.57,876.57,876.57,876.57,876.57,876.57,879,Upgrade
35,Additional Paid-In Capital,1209,1209,209,770,771.66,771.66,874.39,874.39,874.39,888.13,Upgrade
36,Retained Earnings,1600,1562,2221,2270,2209,1804,1619,1523,1614,1403,Upgrade
37,Treasury Stock,-,-,-,-,-,-,-,-,-,-16.18,Upgrade
38,Comprehensive Income & Other,-519.67,-522.48,65.84,-489.15,74,70.64,71.83,71.98,42.82,41.99,Upgrade
39,Total Common Equity,3203,3163,3372,3427,3932,3522,3441,3346,3408,3196,Upgrade
40,Minority Interest,214.64,215.99,293.32,318.57,282.66,212.27,143.85,127.47,157.54,165.04,Upgrade
41,Shareholders' Equity,3418,3379,3666,3746,4214,3735,3585,3474,3566,3361,Upgrade
42,Total Liabilities & Equity,11402,11404,11438,11354,11002,9724,8096,7745,7214,6866,Upgrade
43,Total Debt,4334,4220,4097,3454,3272,2792,2850,2394,2370,2126,Upgrade
44,Net Cash (Debt),-3420,-3074,-3164,-2393,-2311,-2013,-2141,-1664,-1518,-1203,Upgrade
45,Net Cash Per Share,-3.91,-3.65,-3.36,-,-2.62,-2.27,-2.47,-1.99,-1.73,-1.44,Upgrade
46,Filing Date Shares Outstanding,913.76,913.76,913.76,876.57,876.57,876.57,876.57,876.57,876.57,879,Upgrade
47,Total Common Shares Outstanding,913.76,913.76,876.57,876.57,876.57,876.57,876.57,876.57,876.57,879,Upgrade
48,Working Capital,-2359,-2421,-961.71,-1298,-1187,-1181,-482.41,-396.2,-145.89,-331.27,Upgrade
49,Book Value Per Share,3.51,3.46,3.85,3.91,4.49,4.02,3.93,3.82,3.89,3.64,Upgrade
50,Tangible Book Value,2084,2075,2328,2400,2877,2474,2355,2222,2148,1996,Upgrade
51,Tangible Book Value Per Share,2.28,2.27,2.66,2.74,3.28,2.82,2.69,2.53,2.45,2.27,Upgrade
52,Buildings,2122,2038,1826,1860,1728,1602,1450,1563,1404,1363,Upgrade
53,Machinery,3968,3457,3042,2972,2688,2385,2242,2000,1929,1885,Upgrade
54,Construction In Progress,1650,2110,2144,1940,1812,1742,1138,1081,678.29,552.79,Upgrade
