,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Jan '22 Jan 1, 2022","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Operating Revenue,2134,2081,2047,-,3196,2460,1969,1845,1576,1816,Upgrade
1,Other Revenue,5.08,-6.58,6.58,-,120.79,32.29,7.56,18.61,11.04,-66.54,Upgrade
2,Revenue,2139,2074,2053,-,3317,2493,1976,1864,1587,1749,Upgrade
3,Revenue Growth (YoY),4.19%,-,-38.10%,-,67.85%,33.76%,24.54%,6.54%,-5.59%,-12.56%,Upgrade
4,Cost of Revenue,1693,2218,1651,-,2207,1586,1350,1401,1131,1255,Upgrade
5,Gross Profit,445.78,-143.83,402.1,-,1110,906.27,625.82,462.68,456.03,494.41,Upgrade
6,"Selling, General & Admin",312.29,408.58,340.12,-,307.46,358.97,265.02,295.17,235.37,271.81,Upgrade
7,Research & Development,49.43,72.34,76.16,-,85.85,69.37,57.14,76.85,39.64,49.36,Upgrade
8,Other Operating Expenses,21.54,20.85,1.77,-,12.41,20.95,16.61,33.58,2.67,17.85,Upgrade
9,Operating Expenses,366.22,545.04,411.43,-,409.72,463.91,333.5,420.68,272.07,348.37,Upgrade
10,Operating Income,79.56,-688.88,-9.33,-,700.31,442.37,292.32,42,183.96,146.04,Upgrade
11,Interest Expense,-80.2,-81.08,-76.54,-,-64.43,-71.55,-56.95,-52.64,-50.82,-61,Upgrade
12,Interest & Investment Income,29.85,13.45,19.51,-,35.11,38.46,29.04,119.36,13.88,13.59,Upgrade
13,Currency Exchange Gain (Loss),16.18,-22.34,27.01,-,37.73,-10.5,-4.05,-39.48,2.37,1.15,Upgrade
14,Other Non Operating Income (Expenses),3.14,-24.48,33.79,-,-5.86,-3.33,-10.83,-6.75,-4.96,-19.42,Upgrade
15,EBT Excluding Unusual Items,48.53,-803.32,-5.56,-,702.86,395.45,249.53,62.5,144.42,80.35,Upgrade
16,Impairment of Goodwill,-,-,-,-,-,-29.37,-,-34.04,-,-40.6,Upgrade
17,Gain (Loss) on Sale of Investments,0.31,-14.16,-2.58,-,-10.27,15.1,-20.8,-88.37,107.59,56.72,Upgrade
18,Gain (Loss) on Sale of Assets,-13.06,20.44,51.49,-,-2.73,-106.65,-82.62,0.17,4.64,56.18,Upgrade
19,Asset Writedown,-,-28.22,-,-,-0.88,-17.14,-0.75,-133.83,-0.02,-3.07,Upgrade
20,Other Unusual Items,24.35,-16.59,-0.84,-,-,21.31,15.32,32.17,-,31.43,Upgrade
21,Pretax Income,60.13,-841.84,42.51,-,688.97,278.7,160.67,-161.4,256.63,181.01,Upgrade
22,Income Tax Expense,28.58,-128.48,30.33,-,124.98,57.74,49.41,-35.53,53.06,59.48,Upgrade
23,Earnings From Continuing Operations,31.55,-713.37,12.18,-,563.99,220.96,111.26,-125.87,203.57,121.53,Upgrade
24,Earnings From Discontinued Operations,2.65,-23.32,0.98,-,-,-,-,-,-,-,Upgrade
25,Net Income to Company,34.2,-736.68,13.16,-,563.99,220.96,111.26,-125.87,203.57,121.53,Upgrade
26,Minority Interest in Earnings,3.45,78.27,25.49,-,-70.39,-35.97,-15.96,34.81,7.5,8.35,Upgrade
27,Net Income,37.65,-658.41,38.65,-,493.6,184.99,95.3,-91.06,211.07,129.88,Upgrade
28,Net Income to Common,37.65,-658.41,38.65,-,493.6,184.99,95.3,-91.06,211.07,129.88,Upgrade
29,Net Income Growth,-2.59%,-,-92.17%,-,417.95%,-,-54.85%,-,48.83%,63.60%,Upgrade
30,Shares Outstanding (Basic),875,842,942,-,881,885,866,835,879,834,Upgrade
31,Shares Outstanding (Diluted),875,842,942,-,881,885,866,835,879,834,Upgrade
32,Shares Change (YoY),-7.08%,-,6.84%,-,1.74%,6.05%,-1.49%,0.06%,-4.25%,-1.13%,Upgrade
33,EPS (Basic),0.04,-0.78,0.04,-,0.56,0.21,0.11,-0.11,0.24,0.16,Upgrade
34,EPS (Diluted),0.04,-0.78,0.04,-,0.56,0.21,0.11,-0.11,0.24,0.16,Upgrade
35,EPS Growth,4.83%,-,-92.67%,-,409.09%,-,-54.17%,-,55.44%,65.47%,Upgrade
36,Free Cash Flow,-498.48,-537.89,-463.11,-,-125.22,47.46,-258.24,-398.99,-387.68,85.81,Upgrade
37,Free Cash Flow Per Share,-0.57,-0.64,-0.49,-,-0.14,0.05,-0.30,-0.48,-0.44,0.10,Upgrade
38,Operating Margin,3.72%,-33.21%,-0.45%,-,21.11%,17.75%,14.79%,2.25%,11.59%,8.35%,Upgrade
39,Profit Margin,1.76%,-31.74%,1.88%,-,14.88%,7.42%,4.82%,-4.89%,13.30%,7.43%,Upgrade
40,Free Cash Flow Margin,-23.30%,-25.93%,-22.56%,-,-3.78%,1.90%,-13.07%,-21.41%,-24.43%,4.91%,Upgrade
41,EBITDA,302.74,-483.07,188.12,-,871.3,588.47,433.39,171.56,313.02,263.46,Upgrade
42,D&A For EBITDA,223.17,205.81,197.45,188.6,170.99,146.11,141.07,129.55,129.06,117.42,Upgrade
43,EBIT,79.56,-688.88,-9.33,-,700.31,442.37,292.32,42,183.96,146.04,Upgrade
44,Revenue as Reported,2139,2075,2053,-,3317,2493,1976,1864,1587,1749,Upgrade
