,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,582.01,424.11,651.52,602.19,483.38,319.98,359.82,443.23,249.18,306.13,255.92,273.58,163.62,320.63,-,173.28,-,-,133.83
1,Trading Asset Securities,49.34,65.01,99.07,91.08,64.08,33.87,84.11,34.13,155.01,20.17,48.03,49.9,180,32.62,-,3.5,-,-,-
2,Cash & Short-Term Investments,631.35,489.12,750.59,693.27,547.46,353.85,443.92,477.36,404.2,326.3,303.95,323.48,343.62,353.25,176.79,176.79,-,133.83,133.83
3,Cash Growth,15.32%,38.23%,69.08%,45.23%,35.44%,8.44%,46.05%,47.57%,17.63%,-7.63%,71.93%,82.98%,-,163.96%,32.10%,-,-,-,-
4,Accounts Receivable,336.53,360.35,161.33,165.12,226.7,211.75,101.49,119.64,131.16,114.1,84.16,60.56,66.64,76.19,-,63.13,-,-,37.88
5,Other Receivables,18.36,18.73,11.19,12.77,10.79,10.46,9.92,17.35,8.7,10.72,5.87,10.19,6.97,6.78,-,5.4,-,-,3.78
6,Receivables,354.89,379.08,172.51,177.88,237.48,222.21,111.41,136.99,139.86,124.82,90.03,70.75,73.61,82.98,-,68.53,-,-,41.66
7,Inventory,371.46,296.02,203.23,175.89,214.43,206.67,191.06,149.59,123.29,131.11,106.65,112.72,116.56,103.55,-,60.04,-,-,60.46
8,Other Current Assets,53.48,39.35,27.05,22.7,30.79,38.06,96.24,27.04,25.28,9.55,19.33,10.93,3.1,3.24,-,6.75,-,-,13.13
9,Total Current Assets,1411,1204,1153,1070,1030,820.79,842.63,790.99,692.62,591.78,519.96,517.88,536.88,543.02,-,312.12,-,-,249.08
10,"Property, Plant & Equipment",701.13,607.73,471.42,417.61,355.44,320.13,285.6,277.74,235.99,186.17,171.63,160.07,115.35,97.54,-,93.71,-,-,94.67
11,Long-Term Investments,1,1.04,1.06,1.09,0.95,0.99,1.06,1.09,0.96,0.96,1.14,1.14,1.01,1.01,-,1.01,-,-,1.07
12,Other Intangible Assets,113.85,114.46,116.54,117.67,120.37,122.7,44.43,44.74,43.95,44.23,48.19,47.91,52.28,52.77,-,53.85,-,-,55.2
13,Long-Term Deferred Tax Assets,14.08,22.96,20.24,10.12,17.48,19.38,11.11,8.81,4.92,3.02,1.63,1.5,0.73,0.73,-,0.22,-,-,0.82
14,Long-Term Deferred Charges,8.86,5.34,6.26,5.98,5.31,3.28,2.88,2.75,7.5,6.99,5.24,4.12,4.18,4.46,-,3.87,-,-,3.85
15,Other Long-Term Assets,28.03,19.75,21.98,21.18,6.35,3.17,9.02,5.74,21.2,13.15,4.76,4.5,2.98,1.17,-,0.42,-,-,1.47
16,Total Assets,2278,1975,1791,1643,1536,1290,1197,1132,1007,846.3,752.55,737.12,713.42,700.69,-,465.19,-,-,406.16
17,Accounts Payable,374.91,321.31,167.35,164.78,205.59,143.08,102.39,144.71,132.25,106.58,49.92,66.75,75.01,72.84,-,47.95,-,-,40.23
