,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,851.01,702.08,432.08,496.87,597.09,388.92,242.46,393.21,390.05,263.15,183.05,177.71,183.64,130.73,79.17,123.12,83.39,70.91,73.05
1,Other Revenue,-29.74,29.74,-,50.07,-21.92,21.92,-,30.08,-11.19,11.19,-,14.38,-8.43,8.43,-,5.12,-2.15,2.15,-
2,Revenue,821.27,731.82,432.08,546.94,575.17,410.83,242.46,423.29,378.86,274.34,183.05,192.1,175.2,139.16,79.17,128.24,81.23,73.07,73.05
3,Revenue Growth (YoY),42.79%,78.13%,78.20%,29.21%,51.82%,49.75%,32.46%,120.35%,116.24%,97.14%,131.21%,49.79%,115.68%,90.46%,8.38%,-,-,-,-
4,Cost of Revenue,497.04,438.25,264.87,314.95,344.09,247.95,152.76,266.57,248.64,192.9,133.99,139.92,125.53,100.14,54.16,84.26,51.67,45.23,48.61
5,Gross Profit,324.23,293.57,167.21,231.99,231.08,162.89,89.71,156.72,130.22,81.44,49.06,52.18,49.67,39.03,25.01,43.98,29.56,27.84,24.43
6,"Selling, General & Admin",35.08,35.73,21.65,36.81,23.1,26.8,19.92,26.8,21.43,21.67,8.46,14.56,11.61,9,6.81,10.11,9.69,9.58,7.65
7,Research & Development,27.83,22.55,13.9,23.2,15.59,18.26,9.95,15.64,11.56,9.7,6.31,8.53,6.81,7.3,4.79,4.89,5.12,4.48,3.74
8,Other Operating Expenses,5.53,3.07,6.34,3.78,1.77,-6.72,1.22,11.36,-0.19,-4.25,-3.06,2.58,-0.34,-0.65,0.74,7.51,-0.12,-5.47,0.11
