,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+1 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+1 Quarters
0,Market Capitalization,18,38,32,47,134,167,191,62,62,40,97,Upgrade
1,Market Cap Growth,-19.54%,-19.54%,-75.81%,-71.94%,-30.14%,167.63%,207.67%,54.44%,-35.71%,-64.55%,-33.33%,Upgrade
2,Enterprise Value,33,46,46,32,92,110,140,-1,-54,-44,-154,Upgrade
3,Last Close Price,0.16,0.07,0.06,0.09,0.25,0.31,0.35,0.14,0.15,0.12,0.28,Upgrade
4,PS Ratio,0.62,1.33,0.93,1.13,1.84,1.90,2.21,0.74,0.83,0.52,0.95,Upgrade
5,PB Ratio,0.23,0.49,0.36,0.43,1.00,1.01,1.01,0.28,0.28,0.11,0.24,Upgrade
6,P/TBV Ratio,0.49,0.49,0.36,0.43,1.00,1.01,1.01,0.29,0.28,0.11,0.25,Upgrade
7,P/FCF Ratio,4.23,-,139.82,-,26.89,-,-,-,-,-2.50,-,Upgrade
8,P/OCF Ratio,4.23,-,139.82,-,22.07,-,-,-,-,-2.53,-,Upgrade
9,EV/Sales Ratio,1.15,1.61,1.31,0.78,1.26,1.25,1.61,-,-,-,-,Upgrade
10,EV/EBITDA Ratio,-,-2.07,-,-,-,-,-,-,-,-,-,Upgrade
11,EV/FCF Ratio,5.14,-,197.77,-,18.48,-,-,-,-,-,-,Upgrade
12,Debt / Equity Ratio,0.40,0.40,0.34,0.28,0.25,0.20,0.20,0.13,0.08,-,-,Upgrade
13,Debt / FCF Ratio,3.46,-,133.62,-,6.81,-,-,-,-,-,-,Upgrade
14,Earnings Yield,-196.80%,-91.65%,-134.65%,-114.24%,-40.79%,-36.41%,-28.13%,-266.95%,-279.19%,-342.48%,-146.87%,Upgrade
15,FCF Yield,23.63%,23.63%,0.72%,-8.58%,3.72%,-5.51%,-6.05%,-39.92%,-33.05%,-40.06%,-5.95%,Upgrade
16,Buyback Yield / Dilution,-,-,-,-4.36%,-27.40%,-29.15%,-22.44%,-15.74%,-,-,Upgrade,
17,Total Shareholder Return,-,-,-,-4.36%,-27.40%,-29.15%,-22.44%,-15.74%,-,-,Upgrade,
