,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,182.39,240.17,110.54,198.01,199.81,191.75,201.23,266.39,207.87,201.55
1,Revenue Growth (YoY),65.01%,21.29%,-44.68%,3.26%,-0.71%,-28.02%,-3.20%,32.17%,17.82%,-
2,Cost of Revenue,151.86,206.57,97.75,165.93,167.67,152.82,155.39,205.94,129.05,154.68
3,Gross Profit,30.53,33.6,12.78,32.08,32.14,38.93,45.84,60.45,78.82,46.87
4,"Selling, General & Admin",40.86,33.62,32.24,33.02,33.95,35.34,33.91,39.69,26.04,26.77
5,Operating Expenses,43.09,35.43,33.22,35.69,35.97,38.61,32.78,41.74,25.81,27.51
6,Operating Income,-12.56,-1.83,-20.44,-3.62,-3.82,0.32,13.06,18.71,53.01,19.36
7,Interest Expense,-0.73,-0.76,-0.77,-1.04,-1.15,-0.98,-0.63,-0.62,-0.67,-0.62
8,Interest & Investment Income,1.68,1.92,1.98,1.68,1.56,2.44,1.34,1.06,0.49,0.16
9,Currency Exchange Gain (Loss),1.35,-0.12,3.82,-0.11,2.72,-0.27,0.65,-0.04,0.04,0.18
10,Other Non Operating Income (Expenses),1.67,1.03,0.57,0.45,1.11,-4.78,5.5,-4.1,-11.32,10.64
11,EBT Excluding Unusual Items,-8.58,0.25,-14.85,-2.63,0.42,-3.28,19.92,15.01,41.55,29.73
12,Impairment of Goodwill,-,-1.37,-,-,-,-,-,-,-,-
13,Gain (Loss) on Sale of Investments,-3.52,-21.02,-0.48,-3.82,-5.11,0.03,-,-,-,-
14,Gain (Loss) on Sale of Assets,-,-,-,-,-,-0,0,-0.04,0.04,-
15,Asset Writedown,-1.72,-,-,-,-,-,-,-,-,-
16,Legal Settlements,-,-,-,1.6,-1.6,2,-,-2,-,-
17,Other Unusual Items,0.38,0.11,0.63,3.53,2.21,8.5,-,8.74,-,-9.85
18,Pretax Income,-13.44,-22.04,-14.69,-1.32,-4.08,7.25,19.92,21.71,41.59,19.88
19,Income Tax Expense,0.12,-0.33,1.13,-2.5,0.33,-1.32,2.19,4.01,9.18,2.79
20,Earnings From Continuing Operations,-13.56,-21.71,-15.82,1.18,-4.4,8.56,17.73,17.7,32.41,17.09
21,Minority Interest in Earnings,1.93,1.28,0.46,0.01,0.07,0.08,0.6,-2.35,-7.81,-2.27
22,Net Income,-11.63,-20.43,-15.36,1.19,-4.34,8.64,18.34,15.35,24.6,14.82
23,Net Income to Common,-11.63,-20.43,-15.36,1.19,-4.34,8.64,18.34,15.35,24.6,14.82
24,Net Income Growth,-,-,-,-86.26%,-,-43.69%,-25.47%,3.56%,112.09%,-
25,Shares Outstanding (Basic),564,564,564,564,564,564,471,471,366,348
26,Shares Outstanding (Diluted),564,564,564,564,564,564,471,471,366,348
27,Shares Change (YoY),-,-,-,-0.09%,19.86%,19.88%,28.73%,35.31%,5.03%,-
28,EPS (Basic),-0.02,-0.04,-0.03,0.00,-0.01,0.02,0.04,0.03,0.07,0.04
29,EPS (Diluted),-0.02,-0.04,-0.03,0.00,-0.01,0.02,0.04,0.03,0.07,0.04
30,EPS Growth,-,-,-,-86.25%,-,-53.03%,-42.11%,-23.47%,101.94%,-
31,Free Cash Flow,-140,-32.85,-27.41,-1.84,9.44,-19.28,-52.93,34.26,81.08,12.85
32,Free Cash Flow Per Share,-0.25,-0.06,-0.05,-0.00,0.02,-0.03,-0.11,0.07,0.22,0.04
33,Operating Margin,-6.88%,-0.76%,-18.49%,-1.83%,-1.91%,0.17%,6.49%,7.02%,25.50%,9.61%
34,Profit Margin,-6.37%,-8.51%,-13.90%,0.60%,-2.17%,4.51%,9.11%,5.76%,11.84%,7.35%
35,Free Cash Flow Margin,-76.76%,-13.68%,-24.80%,-0.93%,4.72%,-10.05%,-26.30%,12.86%,39.01%,6.38%
36,EBITDA,-1.87,-8.48,-12.14,-10.39,4.81,-4.7,20.62,15.51,60.63,17.73
37,D&A For EBITDA,10.69,-6.65,8.29,-6.78,8.64,-5.02,7.56,-3.2,7.63,-1.63
38,EBIT,-12.56,-1.83,-20.44,-3.62,-3.82,0.32,13.06,18.71,53.01,19.36
