,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,620,637,694,699,491,457,474,682,259,409,-
1,Market Cap Growth,-8.87%,-8.87%,41.38%,53.09%,3.57%,-33.06%,83.26%,66.89%,-,-,-
2,Enterprise Value,772,664,630,608,414,358,225,444,82,471,-
3,Last Close Price,1.10,1.13,1.23,1.24,0.87,0.81,0.84,1.21,0.53,0.83,-
4,PE Ratio,-,-,-,-,-137.92,-,14.30,16.84,5.45,9.45,-
5,PS Ratio,1.37,1.40,1.80,2.10,1.09,1.00,0.98,1.21,0.46,0.91,-
6,PB Ratio,1.98,2.03,2.06,2.00,1.28,1.16,1.13,1.70,0.78,1.32,-
7,P/TBV Ratio,2.04,2.04,2.08,2.01,1.29,1.17,1.14,1.71,0.80,1.46,-
8,P/FCF Ratio,-,-,-,-,-,-39.62,-,-,1.89,3.97,-
9,P/OCF Ratio,133.19,-,32.47,15.49,8.33,-46.80,-,-,1.85,3.92,-
10,EV/Sales Ratio,1.70,1.46,1.63,1.82,0.92,0.78,0.47,0.79,0.15,1.05,-
11,EV/EBITDA Ratio,-,-,-,-,-,2635.78,-,10.22,0.90,5.47,-
12,EV/EBIT Ratio,-,-,-,-,-,-,13.70,11.63,0.96,5.93,-
13,EV/FCF Ratio,-4.16,-,-,-,-,-31.06,-,-,0.60,4.57,-
14,Debt / Equity Ratio,0.78,0.78,0.31,0.19,0.12,0.15,0.19,0.13,0.09,0.08,0.23
15,Debt / FCF Ratio,-,-,-,-,-,-5.17,-,-,0.22,0.24,1.39
16,Return on Capital Employed (ROCE),-,-,-,-,-,-,3.73%,9.03%,23.93%,24.14%,28.73%
17,Earnings Yield,-5.55%,-5.41%,-5.68%,-2.19%,-0.73%,1.10%,6.99%,5.94%,18.35%,10.58%,-
18,FCF Yield,-29.94%,-29.14%,-9.57%,-4.52%,1.75%,-2.52%,-18.71%,-3.29%,52.99%,25.20%,-
19,Buyback Yield / Dilution,-,-,-,0.09%,-19.86%,-19.88%,-28.73%,-35.31%,-5.03%,-,
20,Total Shareholder Return,-,-,-,0.09%,-19.86%,-19.88%,-28.73%,-35.31%,-5.03%,-,
