,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,605543,563762,620090,547493,587119,575902,517103,619111,580507,604273,590144,623994,571312,568101,549709,471718,602029,458624,455871,392347,Upgrade
1,Revenue Growth (YoY),3.14%,-2.11%,19.92%,-11.57%,1.14%,-4.70%,-12.38%,-0.78%,1.61%,6.37%,7.36%,32.28%,-5.10%,23.87%,20.58%,20.23%,11.64%,22.24%,6.05%,7.16%,Upgrade
2,Cost of Revenue,287456,264912,305735,242331,295008,277310,207556,274428,272726,262796,223003,297196,276060,271852,258813,206678,266981,208822,228267,173387,Upgrade
3,Gross Profit,318087,298850,314355,305162,292112,298592,309547,344683,307781,341478,367141,326798,295252,296249,290896,265040,335048,249801,227604,218960,Upgrade
4,"Selling, General & Admin",218816,248440,225651,237094,216702,224976,219084,250800,259183,248597,264514,220324,212466,208314,204857,195217,246152,185160,168056,162974,Upgrade
5,Operating Expenses,218816,248440,225651,237094,216702,224976,219084,250800,259183,248597,264514,220324,212466,208314,204857,195217,246152,185160,168056,162974,Upgrade
6,Operating Income,99271,50410,88703,68068,75410,73617,90463,93883,48598,92881,102627,106473,82785,87934,86039,69823,88896,64642,59548,55986,Upgrade
7,Interest Expense,-1335,-516.77,-1086,-943.24,-1512,-2098,-,-570.6,-72.99,-253.7,-229.68,-531.53,-892.01,-1344,-1504,-1693,-1969,-2805,-3213,-3456,Upgrade
8,Interest & Investment Income,5258,4855,4395,7068,7313,9816,11126,1920,5047,4531,4481,2972,5941,1604,2220,616.18,1542,2069,1739,764.06,Upgrade
9,Currency Exchange Gain (Loss),-,-,1222,-724.5,171.41,-,-308.21,282.45,318.94,-,-621.9,197.73,-1063,-,510.47,463.75,120,-,123.46,-10.09,Upgrade
10,Other Non Operating Income (Expenses),-207.23,-13.62,-2187,2400,-7705,7026,-2755,4590,301.04,602.37,-2158,3295,-1740,508.93,353.76,146.97,1192,681.45,384.91,413.62,Upgrade
11,EBT Excluding Unusual Items,102987,54734,91047,75869,73676,88361,98525,100105,54192,97760,104098,112406,85031,88703,87619,69357,89781,64587,58583,53698,Upgrade
12,Pretax Income,102987,54734,91047,75869,73676,88361,98525,100105,54192,97760,104098,112406,85031,88703,87619,69357,89781,64587,58583,53698,Upgrade
13,Income Tax Expense,21644,11027,18728,15870,16912,18038,19775,20673,11736,20848,18556,23801,16532,17698,17949,14064,14467,13421,9559,12454,Upgrade
14,Earnings From Continuing Operations,81343,43708,72319,59999,56764,70323,78750,79432,42456,76912,85542,88605,68499,71005,69670,55293,75314,51166,49024,41244,Upgrade
15,Minority Interest in Earnings,-1975,-5498,-4826,-6045,-3408,-5719,-6368,-6526,-3797,-5111,-10284,-5179,-6450,-6233,-5940,-4253,-8830,-2687,-6398,-3046,Upgrade
16,Net Income,79368,38210,67493,53954,53356,64604,72383,72905,38660,71801,75258,83426,62050,64771,63730,51040,66483,48479,42626,38198,Upgrade
17,Preferred Dividends & Other Adjustments,-,-,3589,13933,10646,-,7616,15548,9064,-,7738,17157,13756,-,5997,11937,23176,-,-,-,Upgrade
18,Net Income to Common,79368,38210,63904,40022,42710,64604,64767,57358,29595,71801,67519,66269,48293,64771,57734,39103,43308,48479,42626,38198,Upgrade
19,Net Income Growth,48.75%,-40.86%,-6.76%,-25.99%,38.01%,-10.02%,-3.82%,-12.61%,-37.70%,10.85%,18.09%,63.45%,-6.67%,33.61%,49.51%,33.62%,17.41%,54.34%,69.09%,-4.94%,Upgrade
20,Shares Outstanding (Basic),41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,46,50,41,Upgrade
21,Shares Outstanding (Diluted),41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,46,50,41,Upgrade
22,Shares Change (YoY),-,-,-,-,-,-,-,-,-,-,-,-,-,-9.76%,-17.78%,-,-,10.82%,21.63%,-,Upgrade
23,EPS (Basic),1914.77,921.82,1541.68,965.53,1030.39,1558.59,1562.51,1383.76,713.99,1732.21,1628.92,1598.75,1165.08,1562.61,1392.83,943.37,1044.80,1055.42,845.47,921.54,Upgrade
24,EPS (Diluted),1914.77,921.82,1541.68,965.53,1030.13,1558.59,1562.51,1383.76,713.99,1732.21,1628.92,1598.75,1165.08,1562.61,1392.83,943.37,1044.53,1055.42,845.47,921.54,Upgrade
25,EPS Growth,85.88%,-40.86%,-1.33%,-30.22%,44.28%,-10.02%,-4.08%,-13.45%,-38.72%,10.85%,16.95%,69.47%,11.54%,48.06%,64.74%,2.37%,-9.10%,39.27%,58.89%,13.29%,Upgrade
26,Free Cash Flow,179330,59895,39257,-90094,43299,98410,26280,19455,-13738,44023,48754,109919,48288,124125,121055,-34619,243088,-9131,180919,-112716,Upgrade
27,Free Cash Flow Per Share,4326.37,1444.98,947.08,-2173.53,1044.60,2374.16,634.01,469.36,-331.43,1062.07,1176.19,2651.82,1164.95,2994.54,2920.46,-835.18,5864.54,-198.79,3588.44,-2719.28,Upgrade
28,Dividend Per Share,-,-,-,-,-,2000.000,-,-,1000.000,2000.000,-,-,1000.000,2000.000,-,-,1000.000,2000.000,-,-,Upgrade
29,Gross Margin,52.53%,53.01%,50.70%,55.74%,49.75%,51.85%,59.86%,55.67%,53.02%,56.51%,62.21%,52.37%,51.68%,52.15%,52.92%,56.19%,55.65%,54.47%,49.93%,55.81%,Upgrade
30,Operating Margin,16.39%,8.94%,14.30%,12.43%,12.84%,12.78%,17.49%,15.16%,8.37%,15.37%,17.39%,17.06%,14.49%,15.48%,15.65%,14.80%,14.77%,14.09%,13.06%,14.27%,Upgrade
31,Profit Margin,13.11%,6.78%,10.31%,7.31%,7.27%,11.22%,12.52%,9.26%,5.10%,11.88%,11.44%,10.62%,8.45%,11.40%,10.50%,8.29%,7.19%,10.57%,9.35%,9.74%,Upgrade
32,Free Cash Flow Margin,29.61%,10.62%,6.33%,-16.46%,7.37%,17.09%,5.08%,3.14%,-2.37%,7.29%,8.26%,17.62%,8.45%,21.85%,22.02%,-7.34%,40.38%,-1.99%,39.69%,-28.73%,Upgrade
33,EBITDA,121666,72432,110028,89934,98717,95558,114899,116728,71362,114611,121024,130438,103107,109073,106837,91346,111519,82998,80636,75683,Upgrade
34,EBITDA Margin,20.09%,12.85%,17.74%,16.43%,16.81%,16.59%,22.22%,18.85%,12.29%,18.97%,20.51%,20.90%,18.05%,19.20%,19.44%,19.36%,18.52%,18.10%,17.69%,19.29%,Upgrade
35,D&A For EBITDA,22395,22022,21325,21866,23308,21942,24436,22845,22765,21730,18398,23964,20322,21139,20799,21523,22623,18356,21088,19697,Upgrade
36,EBIT,99271,50410,88703,68068,75410,73617,90463,93883,48598,92881,102627,106473,82785,87934,86039,69823,88896,64642,59548,55986,Upgrade
37,EBIT Margin,16.39%,8.94%,14.30%,12.43%,12.84%,12.78%,17.49%,15.16%,8.37%,15.37%,17.39%,17.06%,14.49%,15.48%,15.65%,14.80%,14.77%,14.09%,13.06%,14.27%,Upgrade
38,Effective Tax Rate,21.02%,20.15%,20.57%,20.92%,22.96%,20.41%,20.07%,20.65%,21.66%,21.33%,17.83%,21.17%,19.44%,19.95%,20.48%,20.28%,16.11%,20.78%,16.32%,23.19%,Upgrade
39,Revenue as Reported,605543,563762,620090,547493,587119,575902,517103,619111,580507,604273,590144,623994,571312,568101,549709,471718,602029,458624,455871,392347,Upgrade
40,Advertising Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15936,Upgrade
