,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,208296,177558,206010,167170,367085,301240,166310,159908,176030,329738,305748,318269,210880,269565,171434,277380,308894,269090,265931,134831,Upgrade
1,Short-Term Investments,511787,430622,362713,401465,405307,412633,396842,316004,315672,227855,203235,198401,287149,1376,194173,13820,110446,17320,16682,18794,Upgrade
2,Trading Asset Securities,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,-,-,219366,-,-,-,-,-,-,Upgrade
3,Cash & Short-Term Investments,730083,618180,578723,578634,782392,723873,573152,485911,501701,567593,518982,516670,498029,490307,365607,291200,419340,286410,282613,153625,Upgrade
4,Cash Growth,-6.69%,-14.60%,0.97%,19.08%,55.95%,27.53%,10.44%,-5.95%,0.74%,15.76%,41.95%,77.43%,18.77%,71.19%,29.37%,89.55%,33.51%,79.01%,72.93%,-22.07%,Upgrade
5,Accounts Receivable,234256,262851,257747,238883,205749,161012,188533,200859,177401,170569,163216,154937,149041,250261,179803,149892,157704,161303,150979,157731,Upgrade
6,Other Receivables,9061,11097,4464,17898,19969,20361,12535,16678,9469,12413,3450,8192,3742,10481,7587,17675,15914,10790,4274,9475,Upgrade
7,Receivables,243317,273948,262210,256781,225719,181374,201068,217537,186870,182983,166666,163129,152783,260742,187391,167567,173617,172093,155252,167206,Upgrade
8,Inventory,549326,499211,500398,489558,467898,426732,471376,463289,479008,411684,399058,399166,382432,369542,368805,369560,351804,375363,365831,402239,Upgrade
9,Prepaid Expenses,1504,1768,2211,2740,2694,3442,3035,2502,1223,3844,3414,3705,2533,3105,2646,4095,1510,2040,2486,2724,Upgrade
10,Other Current Assets,69802,85370,94939,85009,51792,94663,86702,76743,57695,79647,71124,57105,58199,73673,68107,75461,63900,94471,75507,77396,Upgrade
11,Total Current Assets,1594032,1478478,1438482,1412723,1530495,1430083,1335334,1245983,1226499,1245750,1159244,1139775,1093977,1197369,992554,907882,1010170,930377,881689,803191,Upgrade
12,"Property, Plant & Equipment",449600,449335,436752,444224,462906,444119,447138,461666,464870,469944,467770,479559,492590,501947,515511,524770,542055,534070,545732,562804,Upgrade
13,Long-Term Investments,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,Upgrade
14,Goodwill,-,-,-,-,-,-,-,-,-,-,-,-,-,235.04,940.17,1645,2350,3056,3761,4466,Upgrade
15,Other Intangible Assets,59995,59741,57368,57763,58824,59583,59065,58775,59631,58236,58033,58825,59630,55015,55234,55452,54452,54142,52421,52370,Upgrade
16,Long-Term Deferred Tax Assets,21791,24227,18861,15112,24146,24517,22931,25193,21147,22641,22026,24313,21055,18525,18374,17611,17347,8949,6178,5056,Upgrade
17,Other Long-Term Assets,42992,41681,42010,42950,47030,42024,44289,44793,43619,42090,37930,37162,39344,38464,40398,20953,23951,35076,34483,36955,Upgrade
18,Total Assets,2168911,2053961,1993973,1973273,2123901,2000826,1909258,1836910,1816265,1839161,1745505,1740134,1707097,1812054,1623513,1528814,1650826,1566170,1524763,1465341,Upgrade
19,Accounts Payable,180757,124515,154797,132904,144122,57239,124515,152155,185882,118237,128605,125785,123430,215272,159923,111123,144624,116694,101071,111302,Upgrade
20,Accrued Expenses,108804,164390,110031,130192,138398,180886,133457,162945,138460,212558,175859,186223,140516,167378,106037,92089,113735,94167,67486,36934,Upgrade
21,Current Portion of Long-Term Debt,189909,138559,74566,127029,167968,142855,98205,-,40000,-,-,18377,26857,34434,37448,32420,34434,35434,35434,25954,Upgrade
22,Current Income Taxes Payable,19105,19805,14015,6905,31201,22823,20807,24352,11559,22773,18069,27094,17762,22113,19967,14143,23243,19344,13058,10772,Upgrade
23,Current Unearned Revenue,43996,39011,30164,22820,58836,52276,46456,36156,47305,34131,40648,28171,37997,40940,24623,10242,26362,17968,12035,-,Upgrade
24,Other Current Liabilities,10726,7157,88608,93968,94321,7093,10508,53994,12501,10631,10112,58957,93010,11084,13167,51081,91424,7807,48502,52603,Upgrade
25,Total Current Liabilities,553297,493437,472182,513818,634846,463172,433947,429602,435706,398330,373294,444607,439571,491221,361165,311099,433821,291415,277586,237565,Upgrade
26,Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,17855,23575,37336,44556,72289,91023,109236,Upgrade
27,Other Long-Term Liabilities,-,-,-0,0,-,-,-,0,-,-,0,-,-,-,-,-,-,0,-,0,Upgrade
28,Total Liabilities,553297,493437,472182,513818,634846,463172,433947,429602,435706,398330,373294,444607,439571,509076,384740,348435,478376,363704,368609,346801,Upgrade
