,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,34.94,28.35,24.29,20.87,28.48,40.66,55.04,50.32,48.58,36.08
1,Short-Term Investments,-,0.45,-,0.44,-,0.54,-,0.54,-,0.93
2,Cash & Short-Term Investments,34.94,28.8,24.29,21.32,28.48,41.21,55.04,50.86,48.58,37.02
3,Cash Growth,43.85%,35.11%,-14.70%,-48.27%,-48.25%,-18.98%,13.30%,37.39%,48.66%,134.96%
4,Accounts Receivable,6.72,8.6,11.05,10.29,8.85,8.34,9.63,11.85,13.66,14.52
5,Other Receivables,-,0.26,-,0.03,-,0.02,-,0.29,-,0.12
6,Receivables,6.72,8.86,11.05,10.33,8.85,8.36,9.63,12.14,13.66,14.64
7,Inventory,27.68,33.17,37.82,43.47,45.49,32.06,20.4,19.65,18.84,26.43
8,Prepaid Expenses,2.2,1.22,2.45,2.15,2.29,1.36,2.23,0.93,3.06,0.79
9,Total Current Assets,71.54,72.04,75.61,77.26,85.11,82.99,87.3,83.57,84.14,78.88
10,"Property, Plant & Equipment",14.41,13.95,14.38,15.58,16.42,16.5,16.43,16.24,13.43,5.32
11,Long-Term Deferred Tax Assets,0.45,0.44,0.45,0.44,0.38,0.37,0.37,0.36,-,-
12,Other Long-Term Assets,0.51,0.49,0.35,0.36,0.37,0.35,0.31,0.31,0.6,0.36
13,Total Assets,86.91,86.92,90.78,93.65,102.28,100.21,104.4,100.47,98.16,84.55
14,Accounts Payable,2.53,2.85,3.23,3.52,4.81,5.73,3.59,4.02,4.22,5.46
15,Accrued Expenses,4.1,5.12,4.87,6.18,9.59,8.46,7.48,6.09,5.38,6.44
16,Short-Term Debt,-,-,-,-,-,-,-,0.78,-,-
17,Current Portion of Long-Term Debt,0.04,0.05,0.02,0.02,0.01,0.02,0.02,0.02,1.36,0.03
18,Current Portion of Leases,3.24,3.1,2.97,3.13,2.68,2.41,2.32,1.96,2.26,2.55
19,Current Income Taxes Payable,0.26,0.56,0.77,1.32,0.94,1.11,1.68,1.98,2.03,1.55
20,Current Unearned Revenue,6.2,6.11,8.75,8.39,9.12,8.83,9.67,8.59,7.97,6.68
21,Other Current Liabilities,3.53,1.07,3.23,2.66,6.73,4.7,13.31,5,4.42,5.11
22,Total Current Liabilities,19.9,18.84,23.84,25.2,33.88,31.25,38.07,28.44,27.64,27.81
23,Long-Term Debt,0.05,0.08,0.03,0.04,0.03,0.03,0.04,0.06,0.07,0.08
24,Long-Term Leases,10.46,10.9,11.5,12.72,13.66,13.51,13.61,13.19,11.05,1.74
25,Long-Term Deferred Tax Liabilities,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
26,Other Long-Term Liabilities,0.75,0.52,0.54,0.53,0.54,0.46,0.25,0.22,0.07,0.1
27,Total Liabilities,31.18,30.37,35.94,38.52,48.13,45.28,52.01,41.93,38.85,29.76
28,Common Stock,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45
29,Additional Paid-In Capital,8.66,9.98,9.98,11.28,11.28,14.82,14.82,20.35,20.35,20.35
30,Retained Earnings,38.84,38.58,36.35,35.69,32.77,31.15,29.32,30.77,-,26.53
31,Comprehensive Income & Other,2.83,2,2.82,2.56,3.49,2.66,2.49,2.16,33.25,2.61
32,Total Common Equity,53.78,54.01,52.6,52.98,51,52.08,50.07,56.73,57.06,52.94
33,Minority Interest,1.95,2.54,2.25,2.15,3.14,2.86,2.32,1.81,2.25,1.85
34,Shareholders' Equity,55.73,56.55,54.85,55.14,54.15,54.93,52.4,58.54,59.31,54.79
35,Total Liabilities & Equity,86.91,86.92,90.78,93.65,102.28,100.21,104.4,100.47,98.16,84.55
36,Total Debt,13.78,14.13,14.52,15.91,16.39,15.97,16,16.01,14.73,4.4
37,Net Cash (Debt),21.16,14.67,9.78,5.41,12.09,25.24,39.04,34.85,33.84,32.61
38,Net Cash Growth,116.49%,171.24%,-19.16%,-78.57%,-69.02%,-27.58%,15.37%,6.86%,16.83%,109.49%
39,Net Cash Per Share,0.01,0.01,0.00,0.00,0.01,0.01,0.02,0.02,0.02,0.02
40,Filing Date Shares Outstanding,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
41,Total Common Shares Outstanding,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
42,Working Capital,51.64,53.2,51.77,52.07,51.23,51.74,49.22,55.12,56.49,51.07
43,Book Value Per Share,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
44,Tangible Book Value,53.78,54.01,52.6,52.98,51,52.08,50.07,56.73,57.06,52.94
45,Tangible Book Value Per Share,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
46,Machinery,-,3.27,-,2.92,-,2.84,-,3.13,-,2.39
47,Leasehold Improvements,-,2.86,-,2.85,-,2.81,-,1.99,-,1.98
