,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 10, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,138,144,134,166,194,226,258,326,250,188,270
1,Market Cap Growth,-13.25%,-13.25%,-30.93%,-26.55%,-24.81%,-30.67%,3.20%,73.40%,-7.41%,-32.86%,-
2,Enterprise Value,27,72,90,147,144,97,46,132,74,10,117
3,Last Close Price,0.07,0.07,0.06,0.08,0.09,0.10,0.11,0.12,0.08,0.05,0.08
4,PE Ratio,9.63,10.04,7.83,8.02,7.34,11.60,9.29,7.92,5.75,5.01,7.67
5,PS Ratio,0.32,0.34,0.25,0.29,0.35,0.47,0.50,0.54,0.37,0.29,0.40
6,PB Ratio,0.45,0.45,0.40,0.52,0.61,0.74,0.81,1.08,0.73,0.57,0.85
7,P/TBV Ratio,0.46,0.46,0.42,0.55,0.63,0.79,0.86,1.13,0.75,0.59,0.88
8,P/FCF Ratio,1.57,1.64,1.81,6.79,-,-,-,3.91,2.02,2.12,5.39
9,P/OCF Ratio,1.47,1.47,1.64,5.71,-,-,-,3.51,1.87,2.08,5.32
10,EV/Sales Ratio,0.06,0.17,0.17,0.26,0.26,0.20,0.09,0.22,0.11,0.02,0.17
11,EV/EBITDA Ratio,0.64,3.10,2.92,4.23,3.25,2.71,1.12,2.43,1.31,0.17,1.96
12,EV/EBIT Ratio,1.54,-,3.55,4.95,3.64,3.13,1.28,2.66,1.41,0.19,2.10
13,EV/FCF Ratio,0.31,0.82,1.22,6.02,-,-,-,1.59,0.60,0.11,2.33
14,Debt / Equity Ratio,0.25,0.25,0.25,0.26,0.29,0.30,0.29,0.31,0.27,0.25,0.08
15,Debt / FCF Ratio,0.90,0.90,1.13,3.44,-,-,-,1.11,0.76,0.92,0.51
16,Return on Capital Employed (ROCE),4.61%,-,6.32%,7.67%,9.89%,8.00%,9.02%,12.98%,12.53%,13.53%,16.89%
17,Earnings Yield,10.39%,9.96%,12.77%,12.47%,13.62%,8.62%,10.77%,12.63%,17.40%,19.97%,13.03%
18,FCF Yield,63.61%,60.96%,55.39%,14.72%,-33.20%,-32.86%,9.20%,25.55%,49.60%,47.12%,18.54%
19,Buyback Yield / Dilution,-,-,-,-,-,-,-,0.13%,-18.69%,-33.51%,
20,Total Shareholder Return,5.51%,-,-,-,-,-,-,-,0.13%,-18.69%,-33.51%
