,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,7404,7541,9349,6531,8135,13707,14213,21037,26566,45480,49334,39040,-,-,-,-,-
1,Market Cap Growth,-44.98%,-44.98%,-34.22%,-68.96%,-69.38%,-69.86%,-71.19%,-46.11%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,5776,5914,7919,5200,6771,12342,12602,18762,23370,42285,46107,38866,-,-,-,-,-
3,Last Close Price,47.91,48.80,60.53,41.41,51.35,85.90,89.07,131.84,165.09,282.64,306.59,242.61,-,-,-,-,-
4,PE Ratio,44.36,-,49.39,37.57,57.08,62.24,49.33,57.49,59.37,126.15,165.58,199.72,-,-,-,-,-
5,Forward PE,22.18,24.10,30.41,19.16,20.70,21.15,21.76,21.82,35.51,74.63,92.30,110.28,-,-,-,-,-
6,PS Ratio,3.52,4.20,4.71,3.93,5.76,9.65,10.31,14.03,16.60,33.98,42.11,43.75,-,-,-,-,-
7,PB Ratio,2.02,2.04,2.53,1.79,2.20,3.70,3.77,5.70,6.91,12.20,13.75,11.29,-,-,-,-,-
8,P/TBV Ratio,2.09,2.09,2.59,1.83,2.24,3.77,3.84,5.78,6.93,12.25,13.78,11.31,-,-,-,-,-
9,P/FCF Ratio,-,-,15.17,68.51,-21.38,-14.63,-,-,-,-,-,442.44,-,-,-,-,-
10,P/OCF Ratio,-,-,13.57,47.86,-26.70,-15.90,-,-,-,-,-,387.23,-,-,-,-,-
11,EV/Sales Ratio,3.22,3.30,3.99,3.13,4.79,8.69,9.14,12.52,14.60,31.59,39.36,43.55,-,-,-,-,-
12,EV/EBITDA Ratio,29.54,-,47.39,56.87,151.10,-,49.54,-,57.14,128.81,150.18,183.45,-,-,-,-,-
13,EV/EBIT Ratio,31.27,-,51.02,64.26,188.24,-,50.75,-,57.80,130.50,152.07,186.85,-,-,-,-,-
14,EV/FCF Ratio,-,-,12.85,54.55,-17.80,-13.17,-,-,-,-,-,440.47,-,-,-,-,-
15,Debt / Equity Ratio,0.14,0.14,0.14,0.19,0.17,0.19,0.30,0.27,0.12,0.02,0.01,0.00,0.16,0.16,-,-,0.20
16,Debt / EBITDA Ratio,2.61,-,0.98,3.62,2.18,-,5.13,193.33,0.96,0.18,0.10,0.04,0.29,0.20,-,-,0.40
17,Debt / FCF Ratio,-,-,0.83,7.16,-1.70,-0.76,-,-,-,-,-,0.14,0.54,0.96,-,-,7.06
18,Asset Turnover,-,0.51,0.39,0.36,0.36,0.23,0.16,0.33,0.35,0.41,-,-,-,-,-,-,
19,Inventory Turnover,-,-,1.22,0.92,0.74,1.02,0.37,0.38,0.68,1.06,2.13,-,-,-,-,-,-
20,Quick Ratio,-,-,2.63,2.15,2.92,2.51,2.00,1.87,2.04,2.68,4.72,8.37,-,1.32,-,-,-
21,Current Ratio,-,-,3.98,3.51,4.77,4.37,3.39,3.11,3.29,4.02,5.71,9.33,-,2.06,-,-,-
22,Return on Equity (ROE),-1.40%,7.66%,4.94%,4.29%,4.62%,4.57%,1.42%,12.29%,11.74%,14.08%,20.92%,42.12%,-,-,-,-,
23,Return on Assets (ROA),-,6.45%,2.21%,3.81%,-4.32%,2.51%,-0.10%,5.72%,4.15%,7.42%,-,-,-,-,-,-,
24,Return on Capital (ROIC),-3.41%,7.48%,2.47%,4.09%,-4.67%,2.79%,-0.12%,7.37%,5.24%,8.71%,10.96%,28.89%,-,-,-,-,
25,Return on Capital Employed (ROCE),-,-,4.06%,2.15%,0.95%,-,6.37%,-,10.31%,8.52%,8.30%,5.92%,-,38.76%,-,-,-
26,Earnings Yield,1.92%,1.89%,2.02%,2.66%,1.75%,1.61%,2.03%,1.74%,1.68%,0.79%,0.60%,0.50%,-,-,-,-,-
27,FCF Yield,-,6.59%,1.46%,-4.68%,-6.84%,-9.35%,-5.84%,-3.18%,-0.80%,-0.05%,0.23%,-,-,-,-,-,
28,Dividend Yield,1.45%,-,-,-,-,0.83%,-,-,-,0.40%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,92.66%,76.03%,78.15%,4.99%,22.09%,1101.50%,1.44%,0.12%,0.05%,1.13%,2.00%,0.90%,3.27%,2.21%,2.21%
30,Buyback Yield / Dilution,16.24%,62.19%,3.18%,-1.98%,0.98%,-114.40%,34.09%,-31.95%,-32.84%,35.75%,-105.35%,0.67%,0.30%,-,-,-,-
31,Total Shareholder Return,17.68%,62.19%,3.18%,-1.98%,0.98%,-113.57%,34.09%,-31.95%,-32.84%,36.14%,-105.35%,0.67%,0.30%,-,-,-,-
