,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,261.15,651.29,454.24,427.75,428.25,315.23,217.54,435.74,401.34,434.39,319.92,173.57,237.67,152.56,134.4,134.4
1,Other Revenue,-,-16.98,16.98,-,23.38,-4.8,4.8,-,9.18,-3.94,3.94,-,5.92,-1.2,0.6,0.6
2,Revenue,261.15,634.31,471.22,427.75,451.63,310.43,222.34,435.74,410.52,430.45,323.86,173.57,243.59,151.36,135.01,135.01
3,Revenue Growth (YoY),-42.18%,104.33%,111.94%,-1.83%,10.01%,-27.88%,-31.35%,151.05%,68.53%,184.39%,139.89%,28.56%,-,-,-,-
4,Cost of Revenue,-1034,425.3,334.1,274.52,413.62,155.85,161.49,254.52,258.74,259.13,198.49,103.77,153.83,93.27,85.09,85.09
5,Gross Profit,1295,209.01,137.12,153.23,38.01,154.58,60.85,181.22,151.78,171.32,125.38,69.8,89.77,58.09,49.92,49.92
6,"Selling, General & Admin",-158.78,49.67,57.12,51.99,81.61,66.22,47.05,43.67,43.36,37.01,26.65,21.65,23.42,21.28,20.97,20.97
7,Research & Development,-87.04,30.42,30.65,25.97,24.19,37.22,24.49,18.81,19.33,12.4,11.27,11.89,8.34,9.09,6.87,6.87
8,Other Operating Expenses,1608,1.06,0.13,0.19,0.81,-1.04,-7.01,0.26,9.02,-7.14,-1.07,-1.14,-3.68,-0.5,-1.24,-1.24
9,Operating Expenses,1352,81.33,94.3,81.6,124.93,101.17,62.99,61.91,74.05,47.49,41.91,30.79,32.86,29.46,26.77,26.77
10,Operating Income,-57.43,127.69,42.82,71.63,-86.93,53.41,-2.14,119.31,77.72,123.82,83.47,39.01,56.9,28.63,23.15,23.15
11,Interest Expense,-28.28,-4.01,-5.26,-5.54,-5.21,-9.96,-5.9,-3,-,-0.83,-0.97,-0.7,-0.58,-0.54,-0.41,-0.41
12,Interest & Investment Income,14.8,3.77,11.9,12.61,5.87,11.69,26.86,10.4,12.59,17.94,6.91,0.1,0.1,0.19,0.1,0.1
13,Currency Exchange Gain (Loss),-,14.14,-14.14,-,81.4,-11.83,11.83,-,50.2,-19.52,19.52,-,-13.87,4.25,-2.12,-2.12
14,Other Non Operating Income (Expenses),-5.89,-1.81,3.92,-6.19,-25.58,25.21,-16.68,16.02,-40.57,40.14,1.08,-1.3,5.96,-6.09,-0.08,-0.08
15,EBT Excluding Unusual Items,-76.79,139.78,39.24,72.51,-30.45,68.52,13.96,142.73,99.94,161.54,110.01,37.11,48.51,26.44,20.62,20.62
16,Gain (Loss) on Sale of Investments,-10.86,10.37,-0.44,0.93,25.45,2.28,2.16,1.15,3.29,0.6,1.45,-0.22,0.04,-,0.08,0.08
17,Gain (Loss) on Sale of Assets,-0,0,-0,-,-,0.01,-0,-,-,0.02,-0.01,-,-0,-0,-,-
18,Asset Writedown,63.98,-63.98,15.76,-15.76,22.66,-22.85,6.26,-6.26,7.29,-7.34,2.46,-2.46,1.39,-1.39,-,-
19,Other Unusual Items,-2.13,3.7,-1.83,0.27,-1.65,-0.06,0.06,-,9.02,-,-,-,-,-,-,-
20,Pretax Income,-25.8,89.87,52.72,57.95,16,47.9,22.43,137.63,119.53,154.83,113.91,34.42,49.94,25.04,20.7,20.7
21,Income Tax Expense,-12.9,19.61,7.44,18.28,-27.19,5.27,9.09,21.26,12.18,30.81,15.81,3.69,4.82,3.51,2.48,2.48
22,Earnings From Continuing Operations,-12.91,70.26,45.27,39.68,43.19,42.62,13.35,116.37,107.35,124.01,98.1,30.73,45.13,21.53,18.22,18.22
23,Minority Interest in Earnings,5.75,-8.61,2.61,0.25,-3.35,3.56,3.21,1.27,0.37,-0,-0.02,-0.01,0.01,0,-0.09,-0.09
