,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,995.98,1292,1126,963.16,2008,2168,2351,1630,2663,2556,-,219.57,-,-,-
1,Trading Asset Securities,-,1173,843.41,876.8,1079,502.6,445.11,391.79,1103,584.65,683.56,-,-,-,-,-
2,Cash & Short-Term Investments,2169,2169,2136,2003,2042,2510,2613,2743,2733,3248,3240,219.57,219.57,-,-,162.69
3,Cash Growth,6.20%,-13.60%,-18.28%,-26.97%,-25.26%,-22.70%,-19.34%,1149.25%,1144.62%,-,-,34.96%,-,-,-,-
4,Accounts Receivable,-,601.43,530.63,462.15,318.22,300.8,327.46,406.66,367.19,330.62,229.24,-,159.54,-,-,-
5,Other Receivables,-,8.14,23.92,6.89,7.12,4.35,6.12,3.42,1.13,3.02,1.91,-,0.81,-,-,-
6,Receivables,-,609.58,554.54,469.04,325.35,305.16,333.58,410.08,368.33,333.63,231.14,-,160.35,-,-,-
7,Inventory,-,1271,1516,1396,1560,1679,1699,1674,1304,641.1,332.12,-,177.75,-,-,-
8,Other Current Assets,-,160.9,188.96,172.32,206.02,286.33,239.73,258.77,246.79,113.5,64.35,-,34.39,-,-,-
9,Total Current Assets,-,4210,4395,4041,4133,4781,4885,5086,4652,4336,3867,-,592.06,-,-,-
10,"Property, Plant & Equipment",-,115.56,97.55,88.16,84.15,70.3,65.68,58.64,56.43,40.1,31.25,-,24.71,-,-,-
11,Long-Term Investments,-,354.79,354.62,356.54,354.67,323.22,249.58,249.17,147.26,17.75,16.78,-,-,-,-,-
12,Other Intangible Assets,-,64.57,43.96,44.62,45.13,45.18,45.62,6.48,6.33,6.66,7,-,7.32,-,-,-
13,Long-Term Accounts Receivable,-,0.05,0.05,0.11,0.11,0.16,0.16,0.16,0.16,0.16,0.15,-,0.21,-,-,-
14,Long-Term Deferred Tax Assets,-,99.39,102,107.38,119.02,83.41,78.66,63.21,34.69,7.49,5.44,-,2.88,-,-,-
15,Long-Term Deferred Charges,-,1.67,2.25,3.19,2.31,2.95,3.54,3.07,3.06,2.92,2.11,-,-,-,-,-
16,Other Long-Term Assets,-,32.99,19.29,10.7,11.04,0.62,20.96,1.63,58.82,2.15,-,-,-,-,-,-
17,Total Assets,-,4879,5015,4652,4750,5307,5350,5468,4958,4413,3930,-,627.16,-,-,-
18,Accounts Payable,-,510.66,430.05,181.58,126.71,202.54,479.79,942.73,971.27,626.19,344.99,-,206.88,-,-,-
19,Accrued Expenses,-,23.83,23.41,12.63,48.31,17.72,40.44,12.92,30.52,14.35,29.07,-,23.21,-,-,-
20,Short-Term Debt,-,435.77,494.98,565.94,523.66,1077,993.54,454.7,50.12,50.13,10.01,-,45.06,-,-,-
21,Current Portion of Long-Term Debt,-,3.84,178.69,20.23,186.48,2.5,2.18,1.08,1.53,-,-,-,-,-,-,-
22,Current Portion of Leases,-,-,0.28,-,0.99,-,1.05,-,2.61,1.82,1.81,-,0.24,-,-,-
23,Current Income Taxes Payable,-,19.45,8.06,37.08,18.4,40.56,24.06,107.59,72.19,51.17,15.58,-,7.03,-,-,-
24,Current Unearned Revenue,-,55.2,33.07,26.22,17.57,67.04,18.96,25.65,22.14,10,8.13,-,2.99,-,-,-
25,Other Current Liabilities,-,8.44,82.16,4.16,22.75,2.27,12.92,2.07,6.52,5.17,4.87,-,1.66,-,-,-
26,Total Current Liabilities,-,1057,1251,847.84,944.87,1409,1573,1547,1157,758.83,414.47,-,287.08,-,-,-
27,Long-Term Debt,-,66.93,3.17,58.54,1.7,44.11,2.12,4.4,1.56,-,-,-,-,-,-,-
28,Long-Term Leases,-,3.02,5.37,2.17,1.99,0.24,0.3,0.92,0.99,0.32,0.38,-,0.46,-,-,-
29,Long-Term Unearned Revenue,-,0.27,59.94,0.28,50.35,46.57,44.96,34.71,34.3,29.75,28.99,-,23.74,-,-,-
30,Long-Term Deferred Tax Liabilities,-,5.54,5.54,5.55,5.55,0,0,0,0,-,-,-,-,-,-,-
31,Other Long-Term Liabilities,-,47.58,48.29,40.81,42.37,33.23,38.55,35.3,37.94,37.63,27.34,-,24.05,-,-,-
32,Total Liabilities,-,1181,1373,955.19,1047,1533,1659,1622,1232,826.52,471.18,-,335.33,-,-,-
33,Common Stock,-,156.28,112,112,112,112,112,80,80,80,80,-,60,-,-,-
34,Additional Paid-In Capital,-,3132,3170,3164,3159,3167,3136,3160,3152,3142,3142,-,124.87,-,-,-
35,Retained Earnings,-,559.97,498.32,561.11,521.2,481.36,435.18,594.79,476.98,369.26,245.25,-,116.45,-,-,-
36,Treasury Stock,-,-161.82,-141.92,-141.92,-99.22,-,-,-,-,-,-,-,-,-,-,-
37,Comprehensive Income & Other,-,-18.84,-19.72,-24.41,-16.39,-9.01,3.74,4.49,9.38,-4.43,-8.22,-,-9.45,-,-,-
38,Total Common Equity,3667,3667,3619,3671,3677,3751,3687,3839,3719,3587,3459,291.87,291.87,-,-,192.14
39,Minority Interest,-,31.74,23.11,25.73,25.99,22.63,3.43,6.63,7.91,-0,-0.01,-,-0.04,-,-,-
40,Shareholders' Equity,3699,3699,3642,3697,3703,3774,3691,3846,3727,3587,3459,291.83,291.83,-,-,192.29
41,Total Liabilities & Equity,-,4879,5015,4652,4750,5307,5350,5468,4958,4413,3930,-,627.16,-,-,-
42,Total Debt,509.57,509.57,682.48,646.88,714.82,1123,999.19,461.09,56.82,52.27,12.2,45.76,45.76,-,-,38.16
43,Net Cash (Debt),1659,1659,1453,1356,1328,1387,1614,2282,2676,3195,3228,173.81,173.81,-,-,124.54
44,Net Cash Growth,24.99%,19.65%,-9.98%,-40.56%,-50.39%,-56.60%,-49.99%,1212.89%,1439.63%,-,-,39.56%,-,-,-,-
