,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+7 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+7 Quarters
0,Revenue,32849,36286,28207,26986,21670,30439,23611,21079,17045,34950,33504,27076,5664,13993,13544,18844,13555,49285,74453,82326,Upgrade
1,Revenue Growth (YoY),51.58%,19.21%,19.47%,28.02%,27.14%,-12.91%,-29.53%,-22.15%,200.91%,149.78%,147.38%,43.69%,-58.21%,-71.61%,-81.81%,-77.11%,-80.61%,-25.23%,47.79%,42.60%,Upgrade
2,Cost of Revenue,23934,25206,19901,19796,17688,23476,19916,17548,16852,31893,31218,27163,14637,19999,21638,24231,22124,44371,54076,57899,Upgrade
3,Gross Profit,8915,11080,8306,7190,3982,6963,3695,3531,192.64,3057,2285,-86.21,-8972,-6007,-8094,-5387,-8569,4913,20377,24427,Upgrade
4,"Selling, General & Admin",9956,8551,8209,8832,6788,7058,5932,6031,4774,7543,7259,6642,3884,6628,5606,6032,5137,9234,10308,11633,Upgrade
5,Operating Expenses,9956,8551,8209,8832,6788,7058,5932,6031,4774,7543,7259,6642,3884,6628,5606,6032,5137,9234,10308,11633,Upgrade
6,Operating Income,-1041,2528,96.63,-1642,-2806,-95.73,-2237,-2499,-4581,-4486,-4974,-6728,-12856,-12634,-13700,-11419,-13706,-4321,10070,12794,Upgrade
7,Interest Expense,-,-,-,-,-,-,-,-,-367.69,-899.08,-848.09,-877.22,-864.27,-806.45,-866.9,-1137,-789.92,-733.24,-963.2,-1113,Upgrade
8,Interest & Investment Income,1682,2207,3443,2627,2318,2973,3248,2932,83945,2294,1431,1145,1377,787.23,956.2,2303,1666,2118,909.89,869.79,Upgrade
9,Earnings From Equity Investments,-2741,-,395.32,197.66,1527,-,-1076,-538,1609,-,-,-,-,-,-,-,-,-,-,-,Upgrade
10,Other Non Operating Income (Expenses),910.25,-565.95,177.37,305.41,1227,-1281,60.65,1202,-896.35,-885.71,-2573,-528.69,90.26,243.48,18.96,305.94,-6541,39.5,-731.35,-286.81,Upgrade
11,Pretax Income,-1190,4169,4112,1488,2266,1596,-4.23,1097,79709,-3976,-6964,-6989,-12253,-12410,-13592,-9947,-19371,-2896,9285,12264,Upgrade
12,Income Tax Expense,780.71,872.86,-223.54,-106.55,18.43,516.88,-13.7,16.42,1152,402.65,601.34,168.99,15.58,23.71,9.21,-1994,-4571,48.46,2079,2453,Upgrade
13,Earnings From Continuing Operations,-1970,3296,4336,1595,2247,1079,9.47,1081,78557,-4379,-7565,-7158,-12268,-12434,-13601,-7953,-14800,-2945,7206,9810,Upgrade
14,Minority Interest in Earnings,-,-,-,-,-,-,2.28,39.28,722.77,5305,3694,1847,5375,2542,2833,1841,2111,598.34,-1772,-1766,Upgrade
15,Net Income,-1970,3296,4336,1595,2247,1079,11.74,1120,79280,926.5,-3871,-5311,-6893,-9892,-10768,-6113,-12689,-2347,5434,8044,Upgrade
16,Net Income to Common,-1970,3296,4336,1595,2247,1079,11.74,1120,79280,926.5,-3871,-5311,-6893,-9892,-10768,-6113,-12689,-2347,5434,8044,Upgrade
17,Net Income Growth,-,205.60%,36819.19%,42.38%,-97.17%,16.42%,-,-,-,-,-,-,-,-,-,-,-,-,-,264.77%,Upgrade
18,Shares Outstanding (Basic),19,19,19,19,19,19,12,19,20,19,13,19,12,19,18,6,-,20,-,-,Upgrade
19,Shares Outstanding (Diluted),19,19,19,19,19,19,12,19,20,19,13,19,12,19,18,6,-,20,-,-,Upgrade
