,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,681836,479516,259741,359619,613190,427644,210130,236726,668884,398961,243044,301774,438592,132367,183942,336274,495986,345145,170970,206455,Upgrade
1,Revenue Growth (YoY),11.19%,12.13%,23.61%,51.91%,-8.33%,7.19%,-13.54%,-21.56%,52.51%,201.41%,32.13%,-10.26%,-11.57%,-61.65%,7.59%,62.88%,-18.95%,-10.54%,-18.27%,-30.40%,Upgrade
2,Cost of Revenue,426457,296249,186159,250192,408312,273693,139859,169278,500785,269140,166511,200917,297405,102147,137533,234792,351938,231678,164362,141323,Upgrade
3,Gross Profit,255379,183267,73582,109427,204878,153951,70271,67448,168099,129822,76533,100858,141186,30220,46408,101482,144048,113466,6609,65132,Upgrade
4,"Selling, General & Admin",199882,146577,73211,97652,138205,132112,75748,72105,131745,108873,82717,102934,125843,35887,48921,96096,120442,104180,24273,69221,Upgrade
5,Operating Expenses,199882,146577,73211,97652,138205,132112,75748,72105,131745,108873,82717,102934,125843,35887,48921,96096,120442,104180,24273,69221,Upgrade
6,Operating Income,55497,36690,371.85,11775,66673,21838,-5477,-4657,36354,20949,-6184,-2076,15344,-5667,-2513,5386,23606,9286,-17664,-4089,Upgrade
7,Interest Expense,-2482,-3690,-3014,-5287,-5513,-4458,-1520,-9088,-1095,-4267,-951.42,-14.93,-771.24,-,-350.63,-2179,-1838,-2412,-1044,-,Upgrade
8,Interest & Investment Income,11689,11465,9831,12090,11149,11683,-,21627,4506,12537,3657,4787,1368,2462,3445,5223,4263,6429,6973,4610,Upgrade
9,Currency Exchange Gain (Loss),-,-,-1315,-1364,-1651,-,1121,374.57,-769.4,-,3643,687.04,-529.5,295.38,-295.38,-,-445.99,-616.62,-172.4,789.02,Upgrade
10,Other Non Operating Income (Expenses),-558.6,-5594,5948,70.2,382.67,738.63,7119,-6467,2880,-1807,-539.77,303.29,2278,-510.59,-81.98,622.81,-65423,3052,75149,2890,Upgrade
11,EBT Excluding Unusual Items,64146,38870,11823,17285,71040,29802,1244,1789,41875,27412,-375.23,3686,17689,-3420,203.72,9053,-39838,15739,63241,4200,Upgrade
12,Gain (Loss) on Sale of Investments,-,-,-648.42,132.82,445.57,-,253.86,642.64,-418.64,-,-915.57,-36.26,639.42,24.35,-24.35,-,604.87,-,146.84,-146.84,Upgrade
13,Gain (Loss) on Sale of Assets,-,-,-,-,913.28,-,-123.17,329.33,-,-,25.59,161770,16.78,-,-,-,78902,-,-,-,Upgrade
14,Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,5712,-,-,-,-,-,-,-,Upgrade
15,Pretax Income,64146,38870,11174,17418,72399,29802,1374,2761,41456,27412,-1265,165420,24056,-3396,179.37,9053,39669,15739,63388,4053,Upgrade
16,Income Tax Expense,7883,4797,2228,-,2560,6435,1143,36.37,546.42,5405,166.52,33988,4425,-,1484,1584,2594,6309,14375,2954,Upgrade
17,Earnings From Continuing Operations,56263,34073,8946,17418,69839,23367,231.91,2725,40910,22007,-1432,131432,19631,-3396,-1304,7469,37076,9429,49013,1099,Upgrade
