,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,12038,13225,20728,22435,38719,46605,53115,58966,59794,59692,Upgrade
1,Short-Term Investments,719.99,318.02,1167,1153,1225,1210,1460,1450,602.3,373.39,Upgrade
2,Trading Asset Securities,429.14,270.7,386.62,545.2,697.05,1029,719.46,869.29,650.1,733.87,Upgrade
3,Cash & Short-Term Investments,13187,13814,22282,24134,40642,48844,55295,61286,61046,60799,Upgrade
4,Cash Growth,-40.82%,-42.76%,-45.17%,-50.59%,-26.50%,-20.30%,-9.42%,0.80%,51.88%,46.74%,Upgrade
5,Accounts Receivable,44843,50929,59031,61517,68807,77126,84621,70309,72091,70759,Upgrade
6,Receivables,44843,50929,59031,61517,68807,77126,84621,70309,72091,70759,Upgrade
7,Inventory,133431,142531,189207,204413,247460,250383,283940,270617,252379,231284,Upgrade
8,Restricted Cash,4161,6275,8283,10018,6888,9049,3982,4402,6302,5882,Upgrade
9,Other Current Assets,5095,5433,6176,6288,4512,7486,16652,15208,13388,2542,Upgrade
10,Total Current Assets,200717,218982,284979,306369,368309,392888,444490,421822,405206,371266,Upgrade
11,"Property, Plant & Equipment",6128,6209,8735,10051,9189,9401,7674,8234,6295,5518,Upgrade
12,Long-Term Investments,24338,25204,26329,26371,27010,27782,26473,23945,23771,20639,Upgrade
13,Goodwill,0.78,0.78,0.78,0.78,10.26,10.26,10.26,10.26,10.26,10.26,Upgrade
14,Other Intangible Assets,48.06,284.02,327.1,366.15,399.86,428.22,404.29,412.76,509.84,474.95,Upgrade
15,Long-Term Accounts Receivable,0.64,0.64,0.65,0.63,0.6,0.58,163.5,257.22,264.78,250.65,Upgrade
16,Long-Term Deferred Tax Assets,6603,6608,7958,7641,6289,6277,5642,4767,3830,3901,Upgrade
17,Other Long-Term Assets,120659,119801,114612,112675,109262,103322,93994,85040,72484,66183,Upgrade
18,Total Assets,358494,377089,442942,463474,520471,540109,578851,544488,512372,468242,Upgrade
