,Fiscal Quarter,Current,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,58,39,85,264,912,-,-,-,-
1,Market Cap Growth,-85.09%,-85.09%,-90.63%,-,-,-,-,-,-
2,Enterprise Value,-123,-163,-114,-16,787,-,-,-,-
3,Last Close Price,0.05,0.04,0.09,0.33,1.14,-,-,-,-
4,PE Ratio,-,-,-,3.55,15.21,-,-,-,-
5,PS Ratio,0.07,0.06,0.14,0.54,2.21,-,-,-,-
6,PB Ratio,0.11,0.09,0.19,0.55,2.14,-,-,-,-
7,P/TBV Ratio,0.09,0.09,0.20,0.56,2.15,-,-,-,-
8,P/FCF Ratio,-,-,-,-,12.00,-,-,-,-
9,P/OCF Ratio,-,-,-,-,11.90,-,-,-,-
10,EV/Sales Ratio,-,-,-,-,1.91,-,-,-,-
11,EV/EBITDA Ratio,-,-,-,-,9.20,-,-,-,-
12,EV/EBIT Ratio,-,-,-,-,9.64,-,-,-,-
13,EV/FCF Ratio,-,-,-,-,10.35,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.04,0.10,0.18,0.25,0.43,-
15,Debt / FCF Ratio,-,-,-,-,0.54,0.58,0.57,5.16,-
16,Return on Capital Employed (ROCE),-,-,-,19.11%,19.05%,24.66%,27.52%,28.76%,-
17,Earnings Yield,-97.89%,-144.85%,-3.41%,28.17%,6.57%,-,-,-,-
18,FCF Yield,-,-105.20%,-14.39%,8.33%,-,-,-,-,
19,Buyback Yield / Dilution,-12.38%,-17.63%,-7.03%,-33.36%,-31.11%,-,-,-,-
20,Total Shareholder Return,-12.38%,-17.63%,-7.03%,-33.36%,-31.11%,-,-,-,-
