,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,150.54,189.13,199.19,296.81,156.83,138.2,127.32,-
1,Short-Term Investments,20,0.15,0.22,0.23,0.26,0.23,0.34,-
2,Cash & Short-Term Investments,170.54,189.27,199.41,297.04,157.09,138.42,127.66,-
3,Cash Growth,-14.48%,-36.28%,26.94%,114.59%,23.05%,-,-,-
4,Accounts Receivable,94.81,59.08,92.3,62.31,64.02,62.38,63.16,-
5,Other Receivables,0.24,27.06,7.06,-,6.75,15.45,11.6,-
6,Receivables,95.05,86.14,99.36,62.31,70.77,77.83,74.77,-
7,Inventory,114.2,79.08,98.27,78.08,90.67,97.19,106.46,-
8,Other Current Assets,0.98,0.58,0.61,0.23,7.18,5.29,4.52,-
9,Total Current Assets,380.76,355.08,397.65,437.66,325.71,318.73,313.4,-
10,"Property, Plant & Equipment",94.8,107.32,113.18,46.43,48.3,49.55,49.26,-
11,Long-Term Investments,1.35,1.35,1.35,1.23,1.23,1.18,1.12,-
12,Goodwill,0.27,0.27,0.27,0.27,0.27,0.27,0.27,-
13,Other Intangible Assets,9.53,9.53,9.53,0.26,0.33,0.52,0.69,-
14,Long-Term Deferred Tax Assets,0.84,0.84,0.8,0.49,0.95,0.6,0.62,-
15,Total Assets,487.55,474.38,522.78,486.34,376.79,370.85,365.36,-
16,Accounts Payable,71.13,42.75,48.36,42.11,47.76,61.45,42.51,-
17,Accrued Expenses,-,-,16.77,-,13.2,14.3,8.59,-
18,Current Portion of Long-Term Debt,-,0.54,18.2,35.6,44.48,55.02,87.03,-
19,Current Portion of Leases,0.08,0.08,0.08,0.08,0.08,0.04,0.08,-
20,Current Income Taxes Payable,1.04,7.62,2.42,4.57,2.02,1.5,5.49,-
21,Current Unearned Revenue,-,-,0.01,0.58,0.51,1.71,0.59,-
22,Other Current Liabilities,3.59,7.2,-,7.15,8.69,1.64,5.8,-
23,Total Current Liabilities,75.84,58.2,85.84,90.1,116.75,135.66,150.1,-
24,Long-Term Debt,-,-,-,2.63,1.6,2.63,3.63,-
25,Total Liabilities,75.84,58.2,85.84,92.73,118.34,138.29,153.73,-
26,Common Stock,66.94,66.94,55.58,55.58,0.37,0.37,0.37,-
27,Additional Paid-In Capital,-,64.09,55.64,50.3,-,-,-,-
28,Retained Earnings,-,233.86,274.43,236.57,206.91,181.08,160.21,-
29,Comprehensive Income & Other,344.76,51.28,51.28,51.16,51.16,51.11,51.05,-
30,Shareholders' Equity,411.71,416.18,436.94,393.61,258.45,232.56,211.64,-
31,Total Liabilities & Equity,487.55,474.38,522.78,486.34,376.79,370.85,365.36,-
32,Total Debt,0.08,0.63,18.28,38.31,46.16,57.69,90.74,-
33,Net Cash (Debt),170.46,188.65,181.13,258.73,110.93,80.73,36.91,-
34,Net Cash Growth,-5.89%,-27.09%,63.28%,220.47%,200.50%,-,-,-
35,Net Cash Per Share,0.18,0.22,0.23,0.33,0.18,0.13,-,-
36,Filing Date Shares Outstanding,1120,960,800,800,600,800,600,-
37,Total Common Shares Outstanding,960,960,800,800,600,600,600,-
38,Working Capital,304.92,296.88,311.81,347.55,208.96,183.07,163.3,-
39,Book Value Per Share,0.43,0.43,0.55,0.49,0.43,0.39,0.35,-
40,Tangible Book Value,401.91,406.38,427.14,393.08,257.85,231.77,210.68,-
41,Tangible Book Value Per Share,0.42,0.42,0.53,0.49,0.43,0.39,0.35,-
42,Buildings,-,-,44.3,-,28.3,28.3,28.3,-
43,Machinery,-,-,78.32,-,23.32,21.41,20.61,-
44,Construction In Progress,-,-,-,-,-,1.33,-,-
45,Leasehold Improvements,-,-,6.56,-,6.56,6.56,6.56,-
