,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,299.95,298.11,253.49,191.72,189.89,166.96,196.4,145.6
1,Revenue Growth (YoY),18.33%,55.49%,33.49%,14.83%,-3.32%,14.67%,-,-
2,Cost of Revenue,291.59,297.02,170.79,127.16,124.6,112.99,129.31,104.21
3,Gross Profit,8.36,1.09,82.7,64.56,65.29,53.97,67.09,41.39
4,"Selling, General & Admin",14.9,25.54,40.19,29.27,25.54,29.99,28.5,22.85
5,Other Operating Expenses,-0.49,-3.68,-5.38,-0.33,-0.1,-0.29,-1.86,-2.01
6,Operating Expenses,14.41,21.86,34.81,28.94,25.43,29.7,26.64,19.94
7,Operating Income,-6.05,-20.77,47.89,35.63,39.86,24.27,40.45,21.45
8,Interest Expense,-,-0.15,-1.64,-1.27,-1.44,-1.81,-2.89,-3.24
9,Interest & Investment Income,0.06,-,0.65,-,0.39,-,0.15,0.16
10,Currency Exchange Gain (Loss),-,-,-0.16,-,-,-,-,-
11,Other Non Operating Income (Expenses),-6.83,-,-5.6,1.21,-8.54,0.27,-0.1,-0.75
12,EBT Excluding Unusual Items,-12.81,-20.92,41.14,35.56,30.26,22.72,37.61,17.62
13,Gain (Loss) on Sale of Assets,-,-,-0,-,-0.06,-,-0,-0.26
14,Asset Writedown,-,-,-,-,-,-,0.09,1.01
15,Other Unusual Items,-,-,-,-,-,-,0.88,0.9
16,Pretax Income,-12.81,-20.92,41.14,35.56,30.2,22.72,38.58,19.26
17,Income Tax Expense,0.19,19.65,3.28,5.9,4.37,1.85,7.05,2.5
18,Net Income,-13,-40.57,37.86,29.66,25.83,20.87,31.53,16.76
19,Net Income to Common,-13,-40.57,37.86,29.66,25.83,20.87,31.53,16.76
20,Net Income Growth,-,-,46.57%,42.13%,-18.09%,24.51%,-,-
21,Shares Outstanding (Basic),941,842,800,787,600,600,-,-
22,Shares Outstanding (Diluted),941,842,800,787,600,600,-,-
23,Shares Change (YoY),17.63%,7.03%,33.36%,31.11%,-,-,-,-
24,EPS (Basic),-0.01,-0.05,0.05,0.04,0.04,0.03,-,-
25,EPS (Diluted),-0.01,-0.05,0.05,0.04,0.04,0.03,-,-
26,EPS Growth,-,-,9.90%,8.41%,-,-,-,-
27,Free Cash Flow,-,-11.92,-71.73,37.25,33.08,46.48,54.95,-37.36
28,Free Cash Flow Per Share,-,-0.01,-0.09,0.05,0.06,0.08,-,-
29,Operating Margin,-2.02%,-6.97%,18.89%,18.58%,20.99%,14.54%,20.60%,14.73%
30,Profit Margin,-4.34%,-13.61%,14.93%,15.47%,13.60%,12.50%,16.05%,11.51%
31,Free Cash Flow Margin,-,-4.00%,-28.30%,19.43%,17.42%,27.84%,27.98%,-25.66%
32,EBITDA,-5.4,-15.08,52.55,37.31,41.86,26.24,43.06,22.99
33,D&A For EBITDA,0.65,5.69,4.66,1.68,2,1.97,2.61,1.54
34,EBIT,-6.05,-20.77,47.89,35.63,39.86,24.27,40.45,21.45
