,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,212.79,218.56,134.1,228.32,354.03,190.25,157.26,186.56,283.28,262.87,148.92,155.35,127.69,104.4,104.4
1,Other Revenue,-8.18,8.18,-,18.99,-1.81,1.81,-,22.08,-20.18,20.18,-,0.15,-0.26,0.13,0.13
2,Revenue,204.62,226.74,134.1,247.31,352.22,192.06,157.26,208.65,263.1,283.05,148.92,155.5,127.42,104.53,104.53
3,Revenue Growth (YoY),-41.91%,18.05%,-14.73%,18.53%,33.87%,-32.14%,5.60%,34.18%,106.48%,170.79%,42.47%,-,-,-,-
4,Cost of Revenue,184.04,213.61,125.02,252.42,279.88,198.24,119.69,158,194.32,207.4,100.38,109.63,81.27,51.24,51.24
5,Gross Profit,20.57,13.13,9.08,-5.11,72.34,-6.18,37.57,50.64,68.78,75.66,48.54,45.87,46.15,53.28,53.28
6,"Selling, General & Admin",20.97,20.67,22.18,23.55,17.35,7.82,8.14,16.39,5.83,6.72,5.74,6.89,7.95,6.24,6.24
7,Research & Development,5.94,5.46,4.84,15.13,4.52,4.6,7.23,14.18,12,10.15,6.53,9.74,5.13,4.11,4.11
8,Other Operating Expenses,1.49,0.86,0.91,-1.09,1.01,0.43,0.06,2.32,0.87,0.86,0.61,2.83,-0.75,1.14,1.14
9,Operating Expenses,30.09,28.73,26.78,39.3,23.26,11.22,15.07,34.05,20.28,18.31,13.87,18.82,11.75,11.56,11.56
10,Operating Income,-9.51,-15.61,-17.7,-44.41,49.08,-17.4,22.49,16.6,48.5,57.34,34.67,27.05,34.4,41.72,41.72
11,Interest Expense,-,-2.89,-1.03,-4.64,-,-3.09,-0.15,-2.98,-0.68,-1.09,-1.34,-0.57,-0.62,-0.41,-0.41
12,Interest & Investment Income,17.99,3.05,4.61,6.72,13.49,13.47,3.47,3.07,0.52,0.14,0.01,0.02,0.02,0.01,0.01
13,Other Non Operating Income (Expenses),-2.1,-0.12,-0.04,3.63,-3.33,0.62,-2.06,2.06,-0.77,-1.34,-0.56,-14.78,11.76,-0.01,-0.01
14,EBT Excluding Unusual Items,6.38,-15.56,-14.16,-38.7,59.23,-6.4,23.75,18.75,47.58,55.05,32.79,11.72,45.56,41.3,41.3
15,Gain (Loss) on Sale of Investments,-7.69,7.71,5.32,3.63,-0.39,-1.95,8.52,9.97,-,-,-,-,-,-,-
16,Gain (Loss) on Sale of Assets,-,-0.02,-,-1,-,-,0.05,-0.12,-,-,-,0.01,-0.01,0,0
17,Asset Writedown,-3.41,0.51,-0.51,19.97,-19.97,-,-,-,-,-,-,-,0,-0,-0
18,Other Unusual Items,0.15,7.97,0.81,0.43,-0.1,0.1,-,1.66,-0.08,0.08,-,20.16,-1.06,0.53,0.53
19,Pretax Income,-4.57,0.61,-8.53,-15.66,38.77,-8.25,32.32,30.26,47.5,55.13,32.79,31.89,44.49,41.83,41.83
20,Income Tax Expense,0.18,-5.14,2.61,-4.45,6.05,-1.76,3.84,2.31,4.97,4.69,4.72,4.07,6.62,5.84,5.84
21,Earnings From Continuing Operations,-4.74,5.74,-11.14,-11.21,32.72,-6.49,28.48,27.96,42.53,50.44,28.06,27.82,37.88,35.99,35.99
22,Minority Interest in Earnings,-2.23,-1.56,-0.71,0.47,-2.67,-,-,-,-,-,-,-,-,-,-
23,Net Income,-6.97,4.18,-11.85,-10.74,30.05,-6.49,28.48,27.96,42.53,50.44,28.06,27.82,37.88,35.99,35.99
24,Net Income to Common,-6.97,4.18,-11.85,-10.74,30.05,-6.49,28.48,27.96,42.53,50.44,28.06,27.82,37.88,35.99,35.99
25,Net Income Growth,-,-,-,-,-29.35%,-,1.48%,0.50%,12.29%,40.13%,-22.04%,-,-,-,-
26,Shares Outstanding (Basic),101,101,101,102,102,102,102,102,77,76,77,76,77,77,77
27,Shares Outstanding (Diluted),101,101,101,102,102,102,102,102,77,76,77,76,77,77,77
28,Shares Change (YoY),-1.05%,-0.83%,-0.52%,-0.04%,33.31%,33.35%,33.32%,34.11%,-0.37%,-0.12%,-0.11%,-,-,-,-
29,EPS (Basic),-0.07,0.04,-0.12,-0.11,0.29,-0.06,0.28,0.27,0.56,0.66,0.37,0.37,0.49,0.47,0.47
30,EPS (Diluted),-0.07,0.04,-0.12,-0.11,0.29,-0.06,0.28,0.27,0.56,0.66,0.37,0.37,0.49,0.47,0.47
31,EPS Growth,-,-,-,-,-47.00%,-,-23.88%,-25.07%,12.70%,40.30%,-21.96%,-,-,-,-
32,Free Cash Flow,-25.08,73.79,-127.65,26.84,64.97,98.96,-311.9,-196.83,-13.49,83.9,-19.37,-40.2,0.47,-2.49,-2.49
33,Free Cash Flow Per Share,-0.25,0.73,-1.26,0.26,0.64,0.97,-3.06,-1.93,-0.18,1.10,-0.25,-0.53,0.01,-0.03,-0.03
34,Dividend Per Share,-,-,-,0.300,-,-,-,0.667,-,-,-,-,-,-,-
35,Dividend Growth,-,-,-,-55.00%,-,-,-,-,-,-,-,-,-,-,-
36,Gross Margin,10.06%,5.79%,6.77%,-2.07%,20.54%,-3.22%,23.89%,24.27%,26.14%,26.73%,32.60%,29.50%,36.22%,50.98%,50.98%
37,Operating Margin,-4.65%,-6.88%,-13.20%,-17.96%,13.93%,-9.06%,14.30%,7.95%,18.43%,20.26%,23.28%,17.40%,27.00%,39.91%,39.91%
38,Profit Margin,-3.41%,1.84%,-8.84%,-4.34%,8.53%,-3.38%,18.11%,13.40%,16.16%,17.82%,18.84%,17.89%,29.72%,34.44%,34.44%
39,Free Cash Flow Margin,-12.25%,32.54%,-95.19%,10.85%,18.45%,51.53%,-198.33%,-94.34%,-5.13%,29.64%,-13.01%,-25.85%,0.37%,-2.38%,-2.38%
