,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,188.32,238.66,168.82,261.57,261.42,471.67,200.14,45.01,2180,70.29,-,19.75,-,-,-
1,Trading Asset Securities,1499,1435,1495,1419,1281,1333,1654,2014,20,-,-,-,-,-,-
2,Cash & Short-Term Investments,1687,1673,1664,1681,1542,1805,1854,2059,2200,70.29,19.75,19.75,-,-,14.13
3,Cash Growth,9.43%,-7.26%,-10.27%,-18.36%,-29.91%,2467.21%,9286.78%,10324.41%,-,-,39.74%,-,-,-,-
4,Accounts Receivable,229.83,227.6,250.33,224.8,196.88,160.89,307.78,241.81,197.8,160.17,-,160.93,-,-,-
5,Other Receivables,0.39,28.97,1.2,24.38,1.91,35.01,0.09,16.13,0.64,0.67,-,17.95,-,-,-
6,Receivables,230.22,256.56,251.53,279.19,198.79,195.89,307.87,257.94,198.45,160.83,-,178.88,-,-,-
7,Inventory,264.42,279.3,289.17,267.39,357.32,391.92,384.85,206.1,71.3,66.09,-,72.97,-,-,-
8,Other Current Assets,59.66,20.17,51.03,14.03,67.62,70.52,87.54,40.4,31.46,16.48,-,13.02,-,-,-
9,Total Current Assets,2242,2229,2255,2242,2166,2463,2634,2563,2501,313.7,-,284.62,-,-,-
10,"Property, Plant & Equipment",567.84,571.39,581.99,587.38,588.52,386.22,381.27,383.41,337.51,315.08,-,279.86,-,-,-
11,Long-Term Investments,36.8,36.8,-,-,-,-,-,-,-,-,-,-,-,-,-
12,Goodwill,185.5,185.5,185.5,185.5,185.5,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,112.18,113.2,114.2,115.22,116.23,69.63,70.26,70.89,71.53,72.12,-,73.37,-,-,-
14,Long-Term Deferred Tax Assets,22.53,21.35,12.1,13.99,10.62,9,4.9,3.98,1.32,1.39,-,1.08,-,-,-
15,Long-Term Deferred Charges,1.44,1.19,1.15,1.13,-,-,-,-,-,5.33,-,4.67,-,-,-
16,Other Long-Term Assets,3.22,7.25,16.87,11.11,11.05,68.16,10.6,10.06,18.94,25.77,-,16.23,-,-,-
17,Total Assets,3171,3166,3167,3156,3078,2996,3101,3032,2931,733.39,-,659.85,-,-,-
18,Accounts Payable,25.71,25.28,30.87,45.62,49.76,29.06,36.4,47.78,43.35,27.53,-,27.35,-,-,-
19,Accrued Expenses,3.92,5.61,3.62,9.39,5.08,3.9,2.85,21.47,2.54,18.18,-,9.25,-,-,-
20,Short-Term Debt,150.33,135.85,116.46,117.09,115.36,152.4,170.97,85.5,15,15,-,15,-,-,-
21,Current Portion of Long-Term Debt,29.27,7.11,7.94,7.06,-,-,-,-,30,27,-,29.54,-,-,-
22,Current Portion of Leases,-,0.8,-,0.79,-,-,-,-,-,-,-,-,-,-,-
