,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,3837,3025,2796,3686,4802,4461,5114,6222,7511,8031,-,-,-,-,-,-
1,Market Cap Growth,-32.20%,-32.20%,-45.34%,-40.75%,-36.07%,-44.45%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2481,1667,1430,2265,3381,2809,3431,4067,5356,8026,-,-,-,-,-,-
3,Last Close Price,38.01,29.95,27.64,35.82,46.67,43.36,49.70,59.70,72.07,77.06,-,-,-,-,-,-
4,PE Ratio,-,-,240.26,-,-,55.77,-,41.65,50.42,53.96,-,-,-,-,-,-
5,Forward PE,56.31,24.47,19.38,23.12,30.71,22.02,18.99,22.70,30.75,42.87,-,-,-,-,-,-
6,PS Ratio,4.74,3.72,2.91,3.98,5.06,4.90,6.23,6.82,8.31,9.44,-,-,-,-,-,-
7,PB Ratio,1.42,1.12,1.03,1.34,1.73,1.60,1.86,2.20,2.68,2.90,-,-,-,-,-,-
8,P/TBV Ratio,1.26,1.26,1.16,1.51,1.95,1.80,1.90,2.25,2.75,2.97,-,-,-,-,-,-
9,P/FCF Ratio,-,-,73.65,-,-39.65,-12.94,-12.08,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,1163.40,-,29.08,-,-71.67,-15.37,-13.90,-,-,66.82,-,-,-,-,-,-
11,EV/Sales Ratio,3.05,2.05,1.49,2.45,3.56,3.09,4.18,4.46,5.93,9.44,-,-,-,-,-,-
12,EV/EBITDA Ratio,-,-37.59,-,-,-,31.59,-,25.59,31.39,44.44,-,-,-,-,-,-
13,EV/EBIT Ratio,-,-,-,-,-,39.70,-,28.06,34.09,47.90,-,-,-,-,-,-
14,EV/FCF Ratio,-47.63,-,37.67,-,-27.92,-8.15,-8.11,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.12,0.12,0.11,0.11,0.08,0.04,0.06,0.06,0.03,0.02,0.11,0.16,0.16,-,-,0.06
16,Debt / EBITDA Ratio,-,308.09,-,-,-,0.55,-,1.63,1.05,0.22,0.27,0.50,0.62,-,-,0.11
17,Debt / FCF Ratio,-,-,8.13,-,-1.80,-0.34,-0.36,-,-,-,2.62,-,-,-,-,-
18,Asset Turnover,0.26,0.29,0.17,0.32,0.46,0.25,0.21,0.28,0.57,-,-,-,-,-,-,
19,Inventory Turnover,2.49,2.71,3.01,1.80,3.23,2.99,2.04,1.62,4.56,11.31,-,-,-,-,-,-
20,Quick Ratio,6.67,6.67,7.66,8.60,7.48,6.92,9.60,9.05,11.75,19.10,2.03,-,1.71,-,-,-
21,Current Ratio,7.80,7.80,8.85,10.13,8.69,8.61,11.82,11.03,13.00,19.91,2.76,-,2.45,-,-,-
22,Return on Equity (ROE),-0.70%,0.84%,-1.62%,-1.61%,4.72%,-0.93%,4.04%,4.01%,10.19%,38.32%,23.04%,-,-,-,-,
23,Return on Assets (ROA),-0.75%,-1.23%,-1.40%,-3.56%,4.04%,-1.43%,1.83%,1.39%,6.62%,-,-,-,-,-,-,
24,Return on Capital (ROIC),-0.78%,-1.29%,-1.47%,-3.76%,4.22%,-1.47%,1.91%,1.45%,7.03%,24.02%,15.40%,-,-,-,-,
25,Return on Capital Employed (ROCE),-,-,-,-,-,2.50%,-,5.06%,5.54%,5.97%,24.76%,-,26.66%,-,-,-
26,Earnings Yield,-0.66%,-0.84%,0.42%,0.03%,0.86%,1.79%,1.81%,2.40%,1.98%,1.85%,-,-,-,-,-,-
27,FCF Yield,-1.36%,-1.72%,1.36%,1.71%,-2.52%,-7.73%,-8.28%,-7.04%,-1.94%,0.13%,-,-,-,-,-,-
28,Dividend Yield,0.79%,-,-,-,0.64%,-,-,-,0.93%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,782.99%,-,-,4.62%,-,1.05%,-,-,-,4.21%,-,-,-,-
30,Buyback Yield / Dilution,0.61%,1.05%,0.83%,0.52%,0.04%,-33.31%,-33.35%,-33.32%,-34.11%,0.37%,0.12%,0.11%,-,-,-,-
31,Total Shareholder Return,1.40%,1.05%,0.83%,0.52%,0.68%,-33.31%,-33.35%,-33.32%,-33.19%,0.37%,0.12%,0.11%,-,-,-,-
