,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,919.96,1054,-,-
1,Short-Term Investments,3.52,4.62,-,-
2,Trading Asset Securities,0.03,8.32,-,-
3,Cash & Short-Term Investments,923.51,1066,-,1690
4,Accounts Receivable,243.06,129.89,-,-
5,Other Receivables,77.87,78.12,-,-
6,Receivables,320.93,208.01,-,-
7,Inventory,94.12,81.81,-,-
8,Other Current Assets,53.34,55.44,-,-
9,Total Current Assets,1392,1412,-,-
10,"Property, Plant & Equipment",146.19,158.17,-,-
11,Long-Term Investments,35.5,36.04,-,-
12,Other Intangible Assets,57.24,66.8,-,-
13,Long-Term Accounts Receivable,-,13.97,-,-
14,Other Long-Term Assets,15.65,15.63,-,-
15,Total Assets,1646,1702,-,-
16,Accounts Payable,94.85,52.37,-,-
17,Accrued Expenses,220.81,214.62,-,-
18,Short-Term Debt,80.46,-,-,-
19,Current Portion of Long-Term Debt,10757,11045,-,-
20,Current Portion of Leases,19.53,19.02,-,-
21,Current Income Taxes Payable,10.54,9.43,-,-
22,Current Unearned Revenue,54.98,55.44,-,-
23,Other Current Liabilities,49.17,56.34,-,-
24,Total Current Liabilities,11288,11452,-,-
25,Long-Term Debt,121.27,-,-,-
26,Long-Term Leases,32.08,35.65,-,-
27,Long-Term Unearned Revenue,2.68,2.68,-,-
28,Other Long-Term Liabilities,10.6,9.94,-,-
29,Total Liabilities,11454,11500,-,-
30,Common Stock,0.08,0.05,-,-
31,Retained Earnings,-10342,-10244,-,-
32,Treasury Stock,-105.56,-105.56,-,-
33,Comprehensive Income & Other,640.25,551.36,-,-
34,Shareholders' Equity,-9808,-9798,-,-6506
35,Total Liabilities & Equity,1646,1702,-,-
36,Total Debt,11011,11100,-,8362
37,Net Cash (Debt),-10087,-10033,-,-6671
38,Net Cash Per Share,-133.18,-20.67,-,-93.96
39,Filing Date Shares Outstanding,569.17,71,71,71
40,Total Common Shares Outstanding,117.88,71,71,71
41,Working Capital,-9896,-10040,-,-
42,Book Value Per Share,-83.20,-138.00,-,-91.64
43,Tangible Book Value,-9865,-9865,-,-6524
44,Tangible Book Value Per Share,-83.69,-138.94,-,-91.88
45,Machinery,173.87,167.45,-,-
46,Leasehold Improvements,11.15,11.14,-,-
