,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Revenue,152.67,27.47,77.23,29.26
1,Cost of Revenue,79.33,10.74,63.34,23.79
2,Gross Profit,73.34,16.74,13.9,5.46
3,"Selling, General & Admin",118.74,114.94,100,85.1
4,Research & Development,347.95,339.38,297.9,266.48
5,Other Operating Expenses,-2.3,-4.6,-0.63,-12.24
6,Operating Expenses,472.82,455.27,401.28,341.22
7,Operating Income,-399.48,-438.54,-387.38,-335.76
8,Interest Expense,-2.18,-1.17,-0.73,-0.76
9,Interest & Investment Income,9.24,9.51,2.36,5.22
10,Earnings From Equity Investments,-0.63,-1.96,-0.97,-0.25
11,Currency Exchange Gain (Loss),-1.35,-0.87,-20.77,-1.34
12,Other Non Operating Income (Expenses),295.84,1636,-2219,-780.17
13,EBT Excluding Unusual Items,-98.56,1203,-2627,-1113
14,Gain (Loss) on Sale of Investments,0.03,0.11,4.29,6.39
15,Pretax Income,-98.54,1203,-2622,-1107
16,Net Income,-98.54,1203,-2622,-1107
17,Net Income to Common,-98.54,1203,-2622,-1107
18,Shares Outstanding (Basic),76,71,71,71
19,Shares Outstanding (Diluted),76,485,71,71
20,EPS (Basic),-1.30,16.95,-36.94,-15.59
21,EPS (Diluted),-1.30,-0.89,-36.94,-15.60
22,Free Cash Flow,-289.99,-292.6,-333.22,-304.45
23,Free Cash Flow Per Share,-3.83,-0.60,-4.69,-4.29
24,Gross Margin,48.04%,60.92%,17.99%,18.67%
25,Operating Margin,-261.67%,-1596.25%,-501.59%,-1147.66%
26,Profit Margin,-64.54%,4379.94%,-3395.63%,-3782.69%
27,Free Cash Flow Margin,-189.95%,-1065.03%,-431.45%,-1040.65%
28,EBITDA,-386.41,-426.57,-378.45,-329.8
29,EBITDA Margin,-253.11%,-,-,-
30,D&A For EBITDA,13.07,11.97,8.93,5.96
31,EBIT,-399.48,-438.54,-387.38,-335.76
32,EBIT Margin,-261.67%,-,-,-
