,Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Cash & Equivalents,215.9,215.9,335.03,-,-,237.21
1,Short-Term Investments,-,-,109.83,-,-,80.47
2,Trading Asset Securities,331.65,331.65,268.23,-,-,400.9
3,Cash & Short-Term Investments,547.55,547.55,713.09,-,718.58,718.58
4,Cash Growth,-23.80%,-23.80%,-,-,-,-
5,Accounts Receivable,152.39,152.39,136.91,-,-,112.31
6,Other Receivables,7.94,7.94,20.8,-,-,19.48
7,Receivables,160.34,160.34,157.71,-,-,131.79
8,Inventory,3.5,3.5,3.68,-,-,10.99
9,Other Current Assets,89.25,89.25,83.79,-,-,77.05
10,Total Current Assets,800.63,800.63,958.27,-,-,938.41
11,"Property, Plant & Equipment",16.53,16.53,25.05,-,-,33.31
12,Long-Term Investments,156.75,156.75,123.6,-,-,243.79
13,Other Intangible Assets,6.09,6.09,6.5,-,-,6.96
14,Long-Term Accounts Receivable,0.26,0.26,0.26,-,-,0.16
15,Long-Term Deferred Charges,44.65,44.65,38.18,-,-,38.09
16,Total Assets,1025,1025,1152,-,-,1261
17,Accounts Payable,44.74,44.74,40.88,-,-,30.87
18,Accrued Expenses,86.11,86.11,93.38,-,-,68.55
19,Current Portion of Long-Term Debt,2518,2518,2213,-,-,2152
20,Current Portion of Leases,5.22,5.22,14.61,-,-,18.44
21,Current Income Taxes Payable,0.08,0.08,0.06,-,-,0.03
22,Current Unearned Revenue,113.82,113.82,122.74,-,-,165.48
23,Other Current Liabilities,67.76,67.76,67.87,-,-,48.55
24,Total Current Liabilities,2836,2836,2552,-,-,2484
25,Long-Term Debt,-,-,-,-,-,2.83
26,Long-Term Leases,0.65,0.65,1.38,-,-,7.35
27,Long-Term Deferred Tax Liabilities,-,-,-,-,-,0.15
28,Total Liabilities,2837,2837,2554,-,-,2494
29,Common Stock,140,140,140,-,-,140
30,Retained Earnings,-2682,-2682,-2237,-,-,-1887
31,Comprehensive Income & Other,736.13,736.13,700.39,-,-,517.67
32,Total Common Equity,-1806,-1806,-1396,-,-1229,-1229
33,Minority Interest,-5.77,-5.77,-5.47,-,-,-4.16
34,Shareholders' Equity,-1812,-1812,-1402,-,-1233,-1233
35,Total Liabilities & Equity,1025,1025,1152,-,-,1261
36,Total Debt,2524,2524,2229,-,2181,2181
37,Net Cash (Debt),-1977,-1977,-1516,-,-1462,-1462
38,Net Cash Per Share,-14.12,-14.12,-10.83,-,-10.44,-10.44
39,Filing Date Shares Outstanding,140,140,149.26,140,140,140
40,Total Common Shares Outstanding,140,140,140,140,140,140
41,Working Capital,-2035,-2035,-1594,-,-,-1545
42,Book Value Per Share,-12.90,-12.90,-9.97,-,-8.78,-8.78
43,Tangible Book Value,-1812,-1812,-1403,-,-1236,-1236
44,Tangible Book Value Per Share,-12.94,-12.94,-10.02,-,-8.83,-8.83
45,Machinery,28.56,28.56,28.49,-,-,24.7
46,Leasehold Improvements,15.24,15.24,14.97,-,-,14.06
