,Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Revenue,140.78,140.78,244.55,167.82,167.82,148.51
1,Revenue Growth (YoY),-16.11%,-5.21%,-,-,-,-
2,Cost of Revenue,85.62,85.62,98.84,120.39,120.39,90.45
3,Gross Profit,55.16,55.16,145.71,47.43,47.43,58.06
4,"Selling, General & Admin",59.1,59.1,77.84,108.61,108.61,47.55
5,Research & Development,51.3,51.3,52.5,43.28,43.28,35.77
6,Other Operating Expenses,-0.66,-0.66,-19.38,-0.56,-0.56,-14.75
7,Operating Expenses,111.66,111.66,115.46,151.28,151.28,68.3
8,Operating Income,-56.5,-56.5,30.25,-103.85,-103.85,-10.24
9,Interest Expense,-0.13,-0.13,-0.22,-0.29,-0.29,-0.35
10,Interest & Investment Income,0.75,0.75,1.41,1.92,1.92,2.31
11,Earnings From Equity Investments,-2.61,-2.61,0.49,-1.6,-1.6,3.42
12,Other Non Operating Income (Expenses),-11.6,-11.6,-24.14,-5.5,-5.5,-16.21
13,EBT Excluding Unusual Items,-70.08,-70.08,7.79,-109.31,-109.31,-21.07
14,Gain (Loss) on Sale of Investments,-151.5,-151.5,-153.56,-17.08,-17.08,-33.18
15,Gain (Loss) on Sale of Assets,-,-,-,-,-,-0.03
16,Legal Settlements,-1.22,-1.22,-,-,-,-
17,Pretax Income,-222.8,-222.8,-145.77,-126.39,-126.39,-54.28
18,Income Tax Expense,0.1,0.1,0.07,0.14,0.14,0.08
19,Earnings From Continuing Operations,-222.9,-222.9,-145.83,-126.53,-126.53,-54.36
20,Minority Interest in Earnings,0.15,0.15,0.12,0.43,0.43,0.55
21,Net Income,-222.75,-222.75,-145.71,-126.1,-126.1,-53.81
22,Net Income to Common,-222.75,-222.75,-145.71,-126.1,-126.1,-53.81
23,Shares Outstanding (Basic),140,140,140,140,140,140
24,Shares Outstanding (Diluted),140,140,140,140,140,140
25,EPS (Basic),-1.59,-1.59,-1.04,-0.90,-0.90,-0.38
26,EPS (Diluted),-1.59,-1.59,-1.04,-0.90,-0.90,-0.38
27,Free Cash Flow,-56.72,-56.72,28.51,-49.47,-49.47,67.13
28,Free Cash Flow Per Share,-0.41,-0.41,0.20,-0.35,-0.35,0.48
29,Gross Margin,39.18%,39.18%,59.58%,28.26%,28.26%,39.10%
30,Operating Margin,-40.14%,-40.14%,12.37%,-61.88%,-61.88%,-6.89%
31,Profit Margin,-158.23%,-158.23%,-59.58%,-75.14%,-75.14%,-36.23%
32,Free Cash Flow Margin,-40.29%,-40.29%,11.66%,-29.48%,-29.48%,45.20%
33,EBITDA,-55.01,-55.01,31.49,-102.67,-102.67,-9.25
34,EBITDA Margin,-39.07%,-39.07%,12.88%,-61.18%,-61.18%,-6.23%
35,D&A For EBITDA,1.5,1.5,1.25,1.18,1.18,0.99
36,EBIT,-56.5,-56.5,30.25,-103.85,-103.85,-10.24
37,EBIT Margin,-40.14%,-40.14%,12.37%,-61.88%,-61.88%,-6.89%
