,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 11, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,95,145,89,110,80,145,193,113,88,82,221,Upgrade
1,Market Cap Growth,31.39%,31.39%,11.00%,-23.89%,-58.33%,28.57%,120.18%,37.25%,-60.36%,-68.12%,-27.63%,Upgrade
2,Enterprise Value,15,59,17,13,4,49,121,19,20,16,174,Upgrade
3,Last Close Price,0.12,0.18,0.11,0.14,0.10,0.18,0.24,0.14,0.11,0.10,0.28,Upgrade
4,PE Ratio,4.67,7.13,6.58,234.36,-,-,-,-277.93,-,188.96,-,Upgrade
5,PS Ratio,0.74,1.13,0.72,1.18,1.16,1.99,2.62,1.50,1.15,1.24,3.09,Upgrade
6,PB Ratio,0.73,1.11,0.72,1.01,0.72,1.24,1.57,0.91,0.73,0.73,1.95,Upgrade
7,P/TBV Ratio,1.11,1.11,0.72,1.01,0.72,1.24,1.57,0.91,0.73,0.73,1.95,Upgrade
8,P/FCF Ratio,11.14,-,-22.91,-,-10.20,-,19.06,-,3.95,-,24.19,Upgrade
9,P/OCF Ratio,16.46,-,-26.86,-,-11.15,-,18.14,-,3.70,-,23.38,Upgrade
10,EV/Sales Ratio,0.12,0.46,0.14,0.14,0.06,0.67,1.64,0.26,0.27,0.25,2.43,Upgrade
11,EV/EBITDA Ratio,0.65,2.51,1.03,4.68,-2.50,-,-,-,-,87.24,-,Upgrade
12,EV/EBIT Ratio,0.72,2.77,1.18,16.89,-1.24,-,-,-,-,-11.12,-,Upgrade
13,EV/FCF Ratio,1.80,-,-4.43,-,-0.50,-,11.92,-,0.92,-,19.05,Upgrade
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,-,0.00,0.00,0.04,0.04,0.04,0.04,Upgrade
15,Debt / FCF Ratio,0.01,-,-0.05,-,-,-,0.03,-,0.19,-,0.50,Upgrade
16,Return on Capital Employed (ROCE),16.15%,16.15%,11.66%,0.69%,-2.79%,-,-,-,-,-1.29%,-,Upgrade
17,Earnings Yield,21.41%,14.03%,15.19%,0.43%,-2.94%,-2.06%,0.37%,-0.36%,-0.89%,0.53%,0.32%,Upgrade
18,FCF Yield,8.98%,5.89%,-4.36%,2.35%,-9.80%,0.65%,5.25%,-3.14%,25.31%,33.02%,4.13%,Upgrade
