,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,490,469,637,486,518,614,669,614,1215,418,550,Upgrade
1,Market Cap Growth,-1.96%,-3.57%,22.92%,-20.78%,-22.62%,0%,-44.92%,46.67%,121.01%,-21.52%,-14.26%,Upgrade
2,PE Ratio,17.84,16.95,19.85,21.70,-,65.97,-,40.16,203.23,-53.51,-,Upgrade
3,PS Ratio,2.40,2.28,3.30,5.08,-,5.16,-,0.52,13.57,5.11,7.48,Upgrade
4,PB Ratio,0.35,0.27,0.36,0.28,0.30,0.34,0.35,0.34,0.69,0.24,0.32,Upgrade
5,P/FCF Ratio,4.90,4.69,-,-,-,9.43,-,-,-,-2.34,-,Upgrade
6,P/OCF Ratio,4.65,4.65,-,-,-,9.42,-,-,-,-2.34,-,Upgrade
7,Debt / Equity Ratio,0.01,0.01,0.01,0.02,0.03,0.17,0.16,0.15,0.17,0.09,0.27,Upgrade
8,Debt / FCF Ratio,0.17,0.17,-,-,-,4.90,-,-,-,-0.84,-,Upgrade
9,Earnings Yield,5.64%,5.90%,5.04%,4.61%,-,1.52%,-,2.49%,0.49%,-1.87%,-1.44%,Upgrade
10,Earnings Yield,5.64%,5.90%,5.04%,4.61%,-,1.52%,-,2.49%,0.49%,-1.87%,-1.44%,Upgrade
11,FCF Yield,20.41%,21.34%,-4.97%,-2.49%,-,10.61%,-,-67.01%,-12.05%,-42.77%,-46.45%,Upgrade
12,Buyback Yield / Dilution,0.15%,0.29%,-,-,-,-,-,-,0.25%,0.59%,-24.77%,Upgrade
13,Total Shareholder Return,3.37%,0.29%,-,-,-,-,-,-,0.25%,0.59%,-24.77%,Upgrade
